character_code,move_code,category,name_ja,startup,active,recovery,total,on_hit,on_block,damage,is_aerial,is_projectile,is_derived,notes,notes_tool,original_move_code,command,condition_ja,condition_en,startup_basis,chain_cancel_total,fastest_unreachable,last_changed_game_version,first_hit_startup
aki,standing_light_punch,normal,立ち弱P,5,2,7,13,4,-1,300,false,false,false,,,,p_l,,,standalone,9,false,,
aki,standing_light_kick,normal,立ち弱K,4,3,12,18,3,-3,300,false,false,false,,,,k_l,,,standalone,,false,,
aki,standing_medium_punch,normal,立ち中P,6,5,16,26,3,-3,600,false,false,false,,,,p_m,,,standalone,,false,,
aki,standing_medium_kick,normal,立ち中K,8,3,17,27,6,-2,700,false,false,false,,,,k_m,,,standalone,,false,,
aki,standing_heavy_punch,normal,立ち強P,12,3,21,35,1,-4,800,false,false,false,,,,p_h,,,standalone,,false,,
aki,standing_heavy_kick,normal,立ち強K,9,4,19,31,4,-3,800,false,false,false,,,,k_h,,,standalone,,false,,
aki,crouching_light_punch,normal,しゃがみ弱P,4,2,9,14,4,-1,300,false,false,false,,,,d plus p_l,,,standalone,9,false,,
aki,crouching_light_kick,normal,しゃがみ弱K,5,3,8,15,3,-2,200,false,false,false,,,,d plus k_l,,,standalone,11,false,,
aki,crouching_medium_punch,normal,しゃがみ中P,7,3,18,27,1,-3,600,false,false,false,,,,d plus p_m,,,standalone,,false,,
aki,crouching_medium_kick,normal,しゃがみ中K,7,3,16,25,5,1,600,false,false,false,,,,d plus k_m,,,standalone,,false,,
aki,crouching_heavy_punch,normal,しゃがみ強P,10,3,28,40,,-8,900,false,false,false,,,,d plus p_h,,,standalone,,false,,
aki,crouching_heavy_kick,normal,しゃがみ強K,10,6,20,35,0,-3,900,false,false,false,,,,d plus k_h,,,standalone,,false,,
aki,jumping_light_punch,normal,ジャンプ弱P,5,9,33,46,,,300,true,false,false,,通常飛びが45と他キャラクターより2多い。なので硬直が増えるジャンプ攻撃の全体も48になる。ジャンプ攻撃系は全部同じ。,,p_l,,,standalone,,true,,
aki,jumping_light_kick,normal,ジャンプ弱K,5,6,36,46,,,300,true,false,false,,,,k_l,,,standalone,,true,,
aki,jumping_medium_punch,normal,ジャンプ中P,7,4,36,46,,,700,true,false,false,,,,p_m,,,standalone,,true,,
