character_code,move_code,category,name_ja,startup,active,recovery,total,on_hit,on_block,damage,is_aerial,is_projectile,is_derived,notes,notes_tool,original_move_code,command,condition_ja,condition_en,startup_basis,chain_cancel_total,fastest_unreachable,last_changed_game_version,first_hit_startup
akuma,standing_light_punch,normal,立ち弱P,4,3,7,13,4,-1,300,false,false,false,,,,p_l,,,standalone,9,false,,
akuma,standing_light_kick,normal,立ち弱K,5,3,11,18,2,-4,300,false,false,false,,,,k_l,,,standalone,,false,,
akuma,standing_medium_punch,normal,立ち中P,6,4,13,22,4,1,600,false,false,false,,,,p_m,,,standalone,,false,,
akuma,standing_medium_kick,normal,立ち中K,7,5,15,26,3,-3,700,false,false,false,,,,k_m,,,standalone,,false,,
akuma,standing_heavy_punch,normal,立ち強P,9,5,18,31,3,-3,800,false,false,false,,,,p_h,,,standalone,,false,,
akuma,standing_heavy_kick,normal,立ち強K,13,15,16,43,7,3,800,false,false,false,,,,k_h,,,standalone,,false,,
akuma,crouching_light_punch,normal,しゃがみ弱P,4,2,9,14,5,-1,300,false,false,false,,,,d plus p_l,,,standalone,10,false,,
akuma,crouching_light_kick,normal,しゃがみ弱K,5,2,10,16,3,-3,200,false,false,false,,,,d plus k_l,,,standalone,11,false,,
akuma,crouching_medium_punch,normal,しゃがみ中P,6,3,16,24,6,-1,600,false,false,false,,,,d plus p_m,,,standalone,,false,,
akuma,crouching_medium_kick,normal,しゃがみ中K,8,3,19,29,0,-6,500,false,false,false,,,,d plus k_m,,,standalone,,false,,
akuma,crouching_heavy_punch,normal,しゃがみ強P,8,8,19,34,1,-8,900,false,false,false,,,,d plus p_h,,,standalone,,false,,
akuma,crouching_heavy_kick,normal,しゃがみ強K,9,3,23,34,,-12,900,false,false,false,,,,d plus k_h,,,standalone,,false,,
akuma,jumping_light_punch,normal,ジャンプ弱P,4,10,33,46,,,300,true,false,false,,,,p_l,,,standalone,,true,,
akuma,jumping_light_kick,normal,ジャンプ弱K,6,10,31,46,,,300,true,false,false,,,,k_l,,,standalone,,true,,
akuma,jumping_medium_punch,normal,ジャンプ中P,8,4,35,46,,,700,true,false,false,,,,p_m,,,standalone,,true,,
akuma,jumping_medium_kick,normal,ジャンプ中K,7,6,34,46,,,500,true,false,false,,,,k_m,,,standalone,,true,,
akuma,jumping_heavy_punch,normal,ジャンプ強P,9,6,32,46,,,800,true,false,false,,,,p_h,,,standalone,,true,,
akuma,jumping_heavy_kick,normal,ジャンプ強K,12,6,29,46,,,800,true,false,false,,,,k_h,,,standalone,,true,,
akuma,drive_impact,drive_impact,ドライブインパクト,26,2,35,62,,-3,800,false,false,false,,,,p_h k_h,,,standalone,,false,,
akuma,throw_forward,throw,前投げ,5,3,23,30,,,1200,false,false,false,,,,n or r plus p_l k_l,,,standalone,,false,,
akuma,throw_back,throw,後ろ投げ,5,3,23,30,,,1200,false,false,false,,,,l plus p_l k_l,,,standalone,,false,,
akuma,drive_parry,system,ドライブパリィ,1,12,33,45,,,0,false,false,false,,,,p_m k_m,,,standalone,,false,,
akuma,skull_splitter,unique,頭蓋破殺,20,5,18,42,3,-3,600,false,false,false,,,,r plus p_m,,,standalone,,false,,
akuma,resso_snap_kick,unique,裂槍脚,10,3,19,31,5,-4,700,false,false,false,,,,r plus k_m,,,standalone,,false,,
akuma,rago_high_kick,unique,羅豪脚,12,5,27,43,,-15,800,false,false,false,,,,l plus k_h,,,standalone,,false,,
akuma,viscera_piercer,target_combo,六腑穿ち,7,3,21,30,-1,-6,1300,false,false,true,,,,p_m chain p_m,,,standalone,,false,,6
akuma,bone_crusher_axe_kick,target_combo,骸斬り,20,3,20,42,1,-3,2400,false,false,true,,,,k_m chain k_h,,,standalone,,false,,7
akuma,kikoku_combination_1hit,unique,鬼哭連撃(単発),13,4,20,36,4,-3,800,false,false,false,,,,r plus p_h,,,standalone,,false,,
