character_code,move_code,category,name_ja,startup,active,recovery,total,on_hit,on_block,damage,is_aerial,is_projectile,is_derived,notes,notes_tool,original_move_code,command,condition_ja,condition_en,startup_basis,chain_cancel_total,fastest_unreachable,last_changed_game_version,first_hit_startup
alex,standing_light_punch,normal,立ち弱P,4,2,9,14,5,-1,300,false,false,false,,,,p_l,,,standalone,11,false,,
alex,standing_light_kick,normal,立ち弱K,6,2,13,20,1,-5,300,false,false,false,,,,k_l,,,standalone,,false,,
alex,standing_medium_punch,normal,立ち中P,7,4,17,27,4,0,600,false,false,false,,,,p_m,,,standalone,,false,,
alex,standing_medium_kick,normal,立ち中K,9,3,19,30,3,-4,700,false,false,false,,,,k_m,,,standalone,,false,,
alex,standing_heavy_punch,normal,立ち強P,12,5,19,35,4,-3,900,false,false,false,,,,p_h,,,standalone,,false,,
alex,standing_heavy_punch_holding,normal,立ち強P(ホールド),23,3,22,47,5,2,1000,false,false,false,,,,p_h hold,,,standalone,,false,,
alex,standing_heavy_kick,normal,立ち強K,16,3,23,41,1,-4,900,false,false,false,,,,k_h,,,standalone,,false,,
alex,standing_heavy_kick_holding,normal,立ち強K(ホールド),25,3,20,47,,2,1000,false,false,false,,,,k_h hold,,,standalone,,false,,
alex,crouching_light_punch,normal,しゃがみ弱P,5,3,8,15,5,-2,300,false,false,false,,,,d plus p_l,,,standalone,11,false,,
alex,crouching_light_kick,normal,しゃがみ弱K,5,3,11,18,2,-2,200,false,false,false,,,,d plus k_l,,,standalone,13,false,,
alex,crouching_medium_punch,normal,しゃがみ中P,8,2,20,29,1,-2,600,false,false,false,,,,d plus p_m,,,standalone,,false,,
alex,crouching_medium_kick,normal,しゃがみ中K,8,3,18,28,5,-2,600,false,false,false,,,,d plus k_m,,,standalone,,false,,
alex,crouching_heavy_punch,normal,しゃがみ強P,9,6,22,36,-3,-6,800,false,false,false,,,,d plus p_h,,,standalone,,false,,
alex,crouching_heavy_kick,normal,しゃがみ強K,10,3,26,38,,-11,1000,false,false,false,,,,d plus k_h,,,standalone,,false,,
alex,jumping_light_punch,normal,ジャンプ弱P,5,8,34,46,,,300,true,false,false,,,,p_l,,,standalone,,true,,
alex,jumping_light_kick,normal,ジャンプ弱K,6,9,32,46,,,300,true,false,false,,,,k_l,,,standalone,,true,,
alex,jumping_medium_punch,normal,ジャンプ中P,7,4,36,46,,,700,true,false,false,,,,p_m,,,standalone,,true,,
alex,jumping_medium_kick,normal,ジャンプ中K,8,7,32,46,,,700,true,false,false,,,,k_m,,,standalone,,true,,
alex,jumping_heavy_punch,normal,ジャンプ強P,9,6,32,46,,,800,true,false,false,,,,p_h,,,standalone,,true,,
alex,jumping_heavy_kick,normal,ジャンプ強K,10,7,30,46,,,800,true,false,false,,,,k_h,,,standalone,,true,,
alex,drive_impact,drive_impact,ドライブインパクト,26,2,35,62,,-3,800,false,false,false,,,,p_h k_h,,,standalone,,false,,
alex,throw_forward,throw,前投げ,5,3,23,30,,,1200,false,false,false,,,,n or r plus p_l k_l,,,standalone,,false,,
alex,throw_back,throw,後ろ投げ,5,3,23,30,,,1200,false,false,false,,,,l plus p_l k_l,,,standalone,,false,,
alex,illegal_knees,throw,イリーガルキック,5,3,23,30,,,1300,false,false,false,,,,d plus p_l k_l,,,standalone,,false,,
alex,drive_parry,system,ドライブパリィ,1,12,33,45,,,0,false,false,false,,,,p_m k_m,,,standalone,,false,,
alex,prowler_stance,unique,ブレイカー・スタンス,,,,,,,0,false,false,false,,Prowler Stance CancelからDangerous Armbarが派生技。タイミング自由で全体等の概念がない。発生もインゲームでは計測できない。派生技は全て構えてからの最速行動で計測,,d plus p p,,,unknown,,false,,
alex,prowler_stance_cancel,unique,ブレイカー・スタンス(解除),1,42,0,42,,,0,false,false,true,,,,,,,through,,false,,
alex,low_rush,unique,ステップイン,1,38,0,38,,,0,false,false,true,,ステップインから最速で技出して計測。なお恐らくバグがあり、タクティカルリープとエアスタンピートを最速で出す場合だけ、total35になる,,r,,,through,,false,,
alex,low_retreat,unique,ステップアウト,1,49,0,49,,,0,false,false,true,,ステップアウトから最速で技出して計測,,l,,,through,,false,,
alex,light_slashing_elbow,unique,弱スラッシュエルボー,30,4,18,51,3,-1,1000,false,false,true,,,,r plus p_l,,,through,,false,,
alex,medium_slashing_elbow,unique,中スラッシュエルボー,33,4,18,54,3,-1,1000,false,false,true,,,,r plus p_m,,,through,,false,,
