character_code,move_code,category,name_ja,startup,active,recovery,total,on_hit,on_block,damage,is_aerial,is_projectile,is_derived,notes,notes_tool,original_move_code,command,condition_ja,condition_en,startup_basis,chain_cancel_total,fastest_unreachable,last_changed_game_version,first_hit_startup
blanka,standing_light_punch,normal,立ち弱P,5,3,10,17,3,-3,300,false,false,false,,,,p_l,,,standalone,,false,,
blanka,standing_light_kick,normal,立ち弱K,4,4,7,14,5,-2,300,false,false,false,,,,k_l,,,standalone,9,false,,
blanka,standing_medium_punch,normal,立ち中P,9,3,15,26,3,-4,700,false,false,false,,,,p_m,,,standalone,,false,,
blanka,standing_medium_kick,normal,立ち中K,8,3,20,30,5,-2,600,false,false,false,,,,k_m,,,standalone,,false,,
blanka,standing_heavy_punch,normal,立ち強P,10,7,22,38,3,-3,800,false,false,false,,,,p_h,,,standalone,,false,,
blanka,standing_heavy_kick,normal,立ち強K,7,9,18,33,6,-4,800,false,false,false,,,,k_h,,,standalone,,false,,
blanka,crouching_light_punch,normal,しゃがみ弱P,6,3,8,16,5,-2,300,false,false,false,,,,d plus p_l,,,standalone,11,false,,
blanka,crouching_light_kick,normal,しゃがみ弱K,5,2,10,16,3,-3,200,false,false,false,,,,d plus k_l,,,standalone,11,false,,
blanka,crouching_medium_punch,normal,しゃがみ中P,9,5,16,29,-1,-5,600,false,false,false,,,,d plus p_m,,,standalone,,false,,
blanka,crouching_medium_kick,normal,しゃがみ中K,8,3,18,28,5,-5,500,false,false,false,,,,d plus k_m,,,standalone,,false,,
blanka,crouching_heavy_punch,normal,しゃがみ強P,15,5,20,39,0,-5,900,false,false,false,,,,d plus p_h,,,standalone,,false,,
blanka,crouching_heavy_kick,normal,しゃがみ強K,11,4,23,37,,-12,900,false,false,false,,,,d plus k_h,,,standalone,,false,,
blanka,jumping_light_punch,normal,ジャンプ弱P,4,5,38,46,,,300,true,false,false,,,,p_l,,,standalone,,true,,
blanka,jumping_light_kick,normal,ジャンプ弱K,5,6,36,46,,,300,true,false,false,,,,k_l,,,standalone,,true,,
blanka,jumping_medium_punch,normal,ジャンプ中P,7,7,33,46,,,700,true,false,false,,,,p_m,,,standalone,,true,,
blanka,jumping_medium_kick,normal,ジャンプ中K,7,6,34,46,,,500,true,false,false,,,,k_m,,,standalone,,true,,
blanka,jumping_heavy_punch,normal,ジャンプ強P,9,4,34,46,,,800,true,false,false,,,,p_h,,,standalone,,true,,
blanka,jumping_heavy_kick,normal,ジャンプ強K,11,6,30,46,,,800,true,false,false,,,,k_h,,,standalone,,true,,
blanka,neutral_jumping_heavy_punch,normal,垂直ジャンプ強P,7,3,37,46,,,800,true,false,false,,,,p_h,,,standalone,,true,,
blanka,drive_impact,drive_impact,ドライブインパクト,26,2,35,62,,-3,800,false,false,false,,,,p_h k_h,,,standalone,,false,,
blanka,throw_forward,throw,前投げ,5,3,23,30,,,1200,false,false,false,,,,n or r plus p_l k_l,,,standalone,,false,,
blanka,throw_back,throw,後ろ投げ,5,3,23,30,,,1200,false,false,false,,,,l plus p_l k_l,,,standalone,,false,,
blanka,wild_bites,throw,ワイルドバイツ,5,3,39,46,,,1200,false,false,false,,,,p_l k_l,,,standalone,,false,,
blanka,drive_parry,system,ドライブパリィ,1,12,33,45,,,0,false,false,false,,,,p_m k_m,,,standalone,,false,,
blanka,rock_crusher,unique,ロッククラッシュ,20,3,20,42,3,-3,600,false,false,false,,,,r plus p_m,,,standalone,,false,,
blanka,double_knee_bombs,unique,ダブルニーボンバー,9,12,18,38,6,-2,600,false,false,false,,,,r plus k_m,,,standalone,,false,,
