character_code,move_code,category,name_ja,startup,active,recovery,total,on_hit,on_block,damage,is_aerial,is_projectile,is_derived,notes,notes_tool,original_move_code,command,condition_ja,condition_en,startup_basis,chain_cancel_total,fastest_unreachable,last_changed_game_version,first_hit_startup
c_viper,standing_light_punch,normal,立ち弱P,4,3,8,14,4,-2,300,false,false,false,,,,p_l,,,standalone,9,false,,
c_viper,standing_light_kick,normal,立ち弱K,5,3,11,18,3,-2,300,false,false,false,,,,k_l,,,standalone,,false,,
c_viper,standing_medium_punch,normal,立ち中P,8,4,12,23,6,1,600,false,false,false,,,,p_m,,,standalone,,false,,
c_viper,standing_medium_kick,normal,立ち中K,8,3,20,30,5,-3,700,false,false,false,,,,k_m,,,standalone,,false,,
c_viper,standing_heavy_punch,normal,立ち強P,12,3,21,35,3,-2,900,false,false,false,,,,p_h,,,standalone,,false,,
c_viper,standing_heavy_kick,normal,立ち強K,10,4,20,33,4,-3,900,false,false,false,,,,k_h,,,standalone,,false,,
c_viper,crouching_light_punch,normal,しゃがみ弱P,4,3,8,14,5,-1,300,false,false,false,,,,d plus p_l,,,standalone,10,false,,
c_viper,crouching_light_kick,normal,しゃがみ弱K,5,2,9,15,4,-1,200,false,false,false,,,,d plus k_l,,,standalone,11,false,,
c_viper,crouching_medium_punch,normal,しゃがみ中P,6,4,16,25,5,-2,600,false,false,false,,,,d plus p_m,,,standalone,,false,,
c_viper,crouching_medium_kick,normal,しゃがみ中K,8,3,17,27,5,-1,600,false,false,false,,,,d plus k_m,,,standalone,,false,,
c_viper,crouching_heavy_punch,normal,しゃがみ強P,9,3,20,31,2,-5,800,false,false,false,,,,d plus p_h,,,standalone,,false,,
c_viper,crouching_heavy_kick,normal,しゃがみ強K,10,3,25,37,,-11,900,false,false,false,,,,d plus k_h,,,standalone,,false,,
c_viper,jumping_light_punch,normal,ジャンプ弱P,5,6,36,46,,,300,true,false,false,,,,p_l,,,standalone,,true,,
c_viper,jumping_light_kick,normal,ジャンプ弱K,5,7,35,46,,,300,true,false,false,,,,k_l,,,standalone,,true,,
c_viper,jumping_medium_punch,normal,ジャンプ中P,8,6,33,46,,,600,true,false,false,,,,p_m,,,standalone,,true,,
c_viper,jumping_medium_kick,normal,ジャンプ中K,7,6,34,46,,,500,true,false,false,,,,k_m,,,standalone,,true,,
c_viper,jumping_heavy_punch,normal,ジャンプ強P,11,5,31,46,,,800,true,false,false,,,,p_h,,,standalone,,true,,
c_viper,jumping_heavy_kick,normal,ジャンプ強K,8,7,32,46,,,700,true,false,false,,,,k_h,,,standalone,,true,,
c_viper,neutral_jumping_heavy_kick,normal,垂直ジャンプ強K,10,7,30,46,,,800,true,false,false,,,,k_h,,,standalone,,true,,
c_viper,high_jumping_light_punch,unique,ハイジャンプ弱P,5,6,39,49,,,300,true,false,true,,ハイジャンプ版。ヴァイパー特有。normalかuniqueか悩んでuniqueへ。全体が変わるだけで、性能はジャンプ攻撃と同じ,,p_l,,,standalone,,true,,
c_viper,high_jumping_light_kick,unique,ハイジャンプ弱K,5,7,38,49,,,300,true,false,true,,ハイジャンプ版。ヴァイパー特有。normalかuniqueか悩んでuniqueへ。全体が変わるだけで、性能はジャンプ攻撃と同じ,,k_l,,,standalone,,true,,
c_viper,high_jumping_medium_punch,unique,ハイジャンプ中P,8,6,36,49,,,600,true,false,true,,ハイジャンプ版。ヴァイパー特有。normalかuniqueか悩んでuniqueへ。全体が変わるだけで、性能はジャンプ攻撃と同じ,,p_m,,,standalone,,true,,
c_viper,high_jumping_medium_kick,unique,ハイジャンプ中K,7,6,37,49,,,500,true,false,true,,ハイジャンプ版。ヴァイパー特有。normalかuniqueか悩んでuniqueへ。全体が変わるだけで、性能はジャンプ攻撃と同じ,,k_m,,,standalone,,true,,
c_viper,high_jumping_heavy_punch,unique,ハイジャンプ強P,11,5,34,49,,,800,true,false,true,,ハイジャンプ版。ヴァイパー特有。normalかuniqueか悩んでuniqueへ。全体が変わるだけで、性能はジャンプ攻撃と同じ,,p_h,,,standalone,,true,,
c_viper,high_jumping_heavy_kick,unique,ハイジャンプ強K,8,7,35,49,,,700,true,false,true,,ハイジャンプ版。ヴァイパー特有。normalかuniqueか悩んでuniqueへ。全体が変わるだけで、性能はジャンプ攻撃と同じ,,k_h,,,standalone,,true,,
c_viper,high_jumping_neutral_heavy_kick,unique,ハイジャンプ垂直ジャンプ強K,10,7,33,49,,,700,true,false,true,,,,k_h,,,standalone,,true,,
c_viper,drive_impact,drive_impact,ドライブインパクト,26,2,35,62,,-3,800,false,false,false,,,,p_h k_h,,,standalone,,false,,
c_viper,throw_forward,throw,前投げ,5,3,23,30,,,1200,false,false,false,,,,n or r plus p_l k_l,,,standalone,,false,,
c_viper,throw_back,throw,後ろ投げ,5,3,23,30,,,1200,false,false,false,,,,l plus p_l k_l,,,standalone,,false,,
c_viper,drive_parry,system,ドライブパリィ,1,12,33,45,,,0,false,false,false,,,,p_m k_m,,,standalone,,false,,
c_viper,viper_elbow,unique,ヴァイパーエルボー,22,3,20,44,2,-3,600,false,false,false,,,,r plus p_m,,,standalone,,false,,
c_viper,double_kick,unique,ダブルキック,11,21,16,47,4,-2,900,false,false,false,,,,r plus k_h,,,standalone,,false,,
c_viper,high_jump,unique,ハイジャンプ,1,49,0,49,,,0,false,false,false,,前方と垂直方向に可能だがあえて区別せず（インゲーム記載では区別なし）,,d u,,,standalone,,false,,
c_viper,thunder_dash_light,special,弱サンダースラップ,17,4,23,43,2,-4,900,false,false,false,,,,d dl l plus p_l,,,standalone,,false,,
c_viper,thunder_dash_medium,special,中サンダースラップ,16,4,22,41,1,-3,900,false,false,false,,,,d dl l plus p_m,,,standalone,,false,,
c_viper,thunder_dash_heavy,special,強サンダースラップ,7,10,37,53,,-24,900,false,false,false,,,,d dl l plus p_h,,,standalone,,false,,
c_viper,thunder_dash_od,special,ODサンダースラップ,18,24,21,62,,-2,1600,false,false,false,,OD版は派生なし,,d dl l plus p p,,,standalone,,false,,
c_viper,tracer_combination_light,special,弱トレースコンビネーション,15,3,28,45,,-15,1500,false,false,true,,弱サンダースラップ派生。ガード、ヒットで派生。,,r plus p p,,,standalone,,false,,
c_viper,tracer_combination_medium,special,中トレースコンビネーション,21,4,25,49,,-13,1500,false,false,true,,中サンダースラップ派生。ガード、ヒットで派生,,r plus p p,,,standalone,,false,,
c_viper,tracer_combination_heavy,special,強トレースコンビネーション,17,4,37,57,,,1400,false,false,true,,強サンダースラップ派生。ヒット時のみ派生。,,r plus p p,,,standalone,,false,,
c_viper,thunder_dash_feint_light,special,【サンダースラップ】弱フェイント,1,24,0,24,,,0,false,false,true,,弱サンダースラップ派生。こちらはthrough,,k,,,through,,false,,
c_viper,thunder_dash_feint_medium,special,【サンダースラップ】中フェイント,1,20,0,20,,,0,false,false,true,,中サンダースラップ派生。こちらはthrough,,k,,,through,,false,,
c_viper,thunder_dash_feint_heavy,special,【サンダースラップ】強フェイント,1,18,0,18,,,0,false,false,true,,強サンダースラップ派生。こちらはthrough,,k,,,through,,false,,
c_viper,burning_kick_light,special,弱バーニングキック,23,5,20,47,,-2,900,false,false,false,,,,d dr r plus k_l,,,standalone,,false,,
c_viper,burning_kick_medium,special,中バーニングキック,25,5,20,49,,-2,900,false,false,false,,,,d dr r plus k_m,,,standalone,,false,,
c_viper,burning_kick_heavy,special,強バーニングキック,27,5,20,51,,-2,900,false,false,false,,,,d dr r plus k_h,,,standalone,,false,,
c_viper,burning_kick_od,special,ODバーニングキック,8,28,21,56,,-4,1500,false,false,false,,,,d dr r plus k k,,,standalone,,false,,
c_viper,knuckled_pursuit,special,チェイスナックル,12,4,34,49,,-15,1700,false,false,true,,弱中強バーニングキックから派生。ODと空中バーニングキックは対象外。派生元が変わってもフレーム変わらない。バーニングキック、ヒットかガードで派生。ダメージは通し値。,,p p,,,standalone,,false,,
c_viper,double_burn,special,ダブルバーン,21,5,20,45,,2,1500,false,false,true,,弱中強バーニングキックから派生。ODと空中バーニングキックは対象外。派生元が変わってもフレーム変わらない。バーニングキック、ヒットかガードで派生。ダメージは通し値。,,k k,,,standalone,,false,,
c_viper,aerial_burning_kick_light,special,弱空中バーニングキック,33,7,17,56,,-2,900,false,false,true,,垂直、前方ジャンプから派生,,d dr r plus k_l,,,through,,false,,
c_viper,aerial_burning_kick_medium,special,中空中バーニングキック,31,7,16,53,,-1,900,false,false,true,,垂直、前方ジャンプから派生,,d dr r plus k_m,,,through,,false,,
c_viper,aerial_burning_kick_heavy,special,強空中バーニングキック,29,7,18,53,,-3,900,false,false,true,,垂直、前方ジャンプから派生,,d dr r plus k_h,,,through,,false,,
c_viper,aerial_burning_kick_od,special,OD空中バーニングキック,29,7,19,54,,2,1000,false,false,true,,垂直、前方ジャンプから派生,,d dr r plus k k,,,through,,false,,
c_viper,high_jump_light_aerial_burning_kick,special,【ハイジャンプ】弱空中バーニングキック,31,7,13,50,,1,900,false,false,true,,ハイジャンプから派生。垂直ハイジャンプの場合は,,d dr r plus k_l,,,through,,false,,
c_viper,high_jump_medium_aerial_burning_kick,special,【ハイジャンプ】中空中バーニングキック,29,7,13,48,,1,900,false,false,true,,ハイジャンプから派生,,d dr r plus k_m,,,through,,false,,
