character_code,move_code,category,name_ja,startup,active,recovery,total,on_hit,on_block,damage,is_aerial,is_projectile,is_derived,notes,notes_tool,original_move_code,command,condition_ja,condition_en,startup_basis,chain_cancel_total,fastest_unreachable,last_changed_game_version,first_hit_startup
cammy,standing_light_punch,normal,立ち弱P,4,3,7,13,5,-2,300,false,false,false,,,,p_l,,,standalone,9,false,,
cammy,standing_light_kick,normal,立ち弱K,5,3,10,17,2,-3,300,false,false,false,,,,k_l,,,standalone,,false,,
cammy,standing_medium_punch,normal,立ち中P,6,4,13,22,6,-1,600,false,false,false,,,,p_m,,,standalone,,false,,
cammy,standing_medium_kick,normal,立ち中K,8,3,18,28,3,-4,700,false,false,false,,,,k_m,,,standalone,,false,,
cammy,standing_heavy_punch,normal,立ち強P,8,3,20,30,2,-3,800,false,false,false,,,,p_h,,,standalone,,false,,
cammy,standing_heavy_kick,normal,立ち強K,11,3,21,34,2,-3,900,false,false,false,,,,k_h,,,standalone,,false,,
cammy,crouching_light_punch,normal,しゃがみ弱P,4,2,8,13,5,-2,300,false,false,false,,,,d plus p_l,,,standalone,9,false,,
cammy,crouching_light_kick,normal,しゃがみ弱K,5,3,7,14,3,-2,200,false,false,false,,,,d plus k_l,,,standalone,10,false,,
cammy,crouching_medium_punch,normal,しゃがみ中P,7,3,17,26,5,-2,600,false,false,false,,,,d plus p_m,,,standalone,,false,,
cammy,crouching_medium_kick,normal,しゃがみ中K,8,3,18,28,1,-5,500,false,false,false,,,,d plus k_m,,,standalone,,false,,
cammy,crouching_heavy_punch,normal,しゃがみ強P,10,4,15,28,7,1,700,false,false,false,,,,d plus p_h,,,standalone,,false,,
cammy,crouching_heavy_kick,normal,しゃがみ強K,9,3,24,35,,-10,900,false,false,false,,,,d plus k_h,,,standalone,,false,,
cammy,jumping_light_punch,normal,ジャンプ弱P,4,10,33,46,,,300,true,false,false,,,,p_l,,,standalone,,true,,
cammy,jumping_light_kick,normal,ジャンプ弱K,4,10,33,46,,,300,true,false,false,,,,k_l,,,standalone,,true,,
cammy,jumping_medium_punch,normal,ジャンプ中P,6,8,33,46,,,600,true,false,false,,,,p_m,,,standalone,,true,,
cammy,jumping_medium_kick,normal,ジャンプ中K,7,6,34,46,,,600,true,false,false,,,,k_m,,,standalone,,true,,
cammy,jumping_heavy_punch,normal,ジャンプ強P,8,5,34,46,,,800,true,false,false,,,,p_h,,,standalone,,true,,
cammy,jumping_heavy_kick,normal,ジャンプ強K,10,6,31,46,,,800,true,false,false,,,,k_h,,,standalone,,true,,
cammy,drive_impact,drive_impact,ドライブインパクト,26,2,35,62,,-3,800,false,false,false,,,,p_h k_h,,,standalone,,false,,
cammy,throw_forward,throw,前投げ,5,3,23,30,,,1200,false,false,false,,,,n or r plus p_l k_l,,,standalone,,false,,
cammy,throw_back,throw,後ろ投げ,5,3,23,30,,,1200,false,false,false,,,,l plus p_l k_l,,,standalone,,false,,
cammy,leg_scissors_choke,throw,レッグシザースチョーク,5,3,39,46,,,1200,false,false,false,,,,p_l k_l,,,standalone,,false,,
cammy,drive_parry,system,ドライブパリィ,1,12,33,45,,,0,false,false,false,,,,p_m k_m,,,standalone,,false,,
cammy,lift_uppercut,unique,リフトアッパー,5,5,12,21,4,1,500,false,false,false,,,,l plus p_m,,,standalone,,false,,
cammy,delayed_ripper,unique,ディレイリーパー,18,3,25,45,,-12,800,false,false,false,,,,r plus k_h,,,standalone,,false,,
cammy,assault_blade,unique,アサルトブレード,9,3,18,29,,-7,800,false,false,false,,,,l plus k_h,,,standalone,,false,,
cammy,spiral_arrow_light,special,弱スパイラルアロー,9,13,21,42,,-12,800,false,false,false,,,,d dr r plus k_l,,,standalone,,false,,
cammy,spiral_arrow_medium,special,中スパイラルアロー,9,15,21,44,,-14,900,false,false,false,,,,d dr r plus k_m,,,standalone,,false,,
cammy,spiral_arrow_heavy,special,強スパイラルアロー,15,16,21,51,,-12,1000,false,false,false,,公式差分OK。飛びフレームをこっちでは足してるから。,,d dr r plus k_h,,,standalone,,false,,
cammy,spiral_arrow_holding_heavy,special,【ホールド】強スパイラルアロー,25,16,20,60,,-14,800,false,false,true,,発生25F～27。最速は25でおしっぱは27。仮に使うならおしっぱの方が再現性あると思い、そちらで登録,,d dr r plus k_h hold,,,standalone,,false,,
cammy,spiral_arrow_od,special,ODスパイラルアロー,13,16,20,48,,-14,800,false,false,false,,公式差分OK。飛びフレームをこっちでは足してるから。,,d dr r plus k k,,,standalone,,false,,
cammy,cannon_spike_light,special,弱キャノンスパイク,5,12,40,56,,-36,900,false,false,false,,,,r d dr plus k_l,,,standalone,,false,,
cammy,cannon_spike_medium,special,中キャノンスパイク,6,12,41,58,,-36,1000,false,false,false,,,,r d dr plus k_m,,,standalone,,false,,
cammy,cannon_spike_heavy,special,強キャノンスパイク,7,12,44,62,,-36,1200,false,false,false,,,,r d dr plus k_h,,,standalone,,false,,
cammy,cannon_spike_holding_heavy,special,【ホールド】強キャノンスパイク,22,12,45,78,,-40,1500,false,false,true,,発生22?~24。スパイラルアローと同じ計測。,,r d dr plus k_h hold,,,standalone,,false,,
cammy,cannon_spike_od,special,ODキャノンスパイク,6,12,46,63,,-40,1500,false,false,false,,,,r d dr plus k k,,,standalone,,false,,
cammy,quick_spin_knuckle_light,special,弱アクセルスピンナックル,21,4,16,40,2,-3,800,false,false,false,,,,d dl l plus p_l,,,standalone,,false,,
cammy,quick_spin_knuckle_medium,special,中アクセルスピンナックル,24,4,16,43,3,-2,800,false,false,false,,,,d dl l plus p_m,,,standalone,,false,,
cammy,quick_spin_knuckle_heavy,special,強アクセルスピンナックル,28,4,17,48,5,3,800,false,false,false,,,,d dl l plus p_h,,,standalone,,false,,
cammy,quick_spin_knuckle_od,special,ODアクセルスピンナックル,25,4,17,45,7,3,800,false,false,false,,裏に回るとガードフレームが-2になるが、今回は不問。表で計測。,,d dl l plus p p,,,standalone,,false,,
cammy,cannon_strike_light,special,弱キャノンストライク,24,9,12,44,1,-5,600,false,false,false,,ジャンプからの最速入力。フレームは密着、立ち相手で計測,,d dl l plus k_l,,,through,,false,,
cammy,cannon_strike_medium,special,中キャノンストライク,24,9,12,44,1,-5,600,false,false,false,,ジャンプからの最速入力フレームは密着、立ち相手で計測,,d dl l plus k_m,,,through,,false,,
cammy,cannon_strike_heavy,special,強キャノンストライク,24,9,12,44,1,-5,600,false,false,false,,ジャンプからの最速入力フレームは密着、立ち相手で計測,,d dl l plus k_h,,,through,,false,,
cammy,cannon_strike_od,special,ODキャノンストライク,24,9,12,44,0,-2,800,false,false,false,,ジャンプからの最速入力フレームは密着、立ち相手で計測,,d dl l plus k k,,,through,,false,,
cammy,hooligan_combination_light,special,弱フーリガンコンビネーション,,,,,,,0,false,false,false,,単独でダメージがなく、特殊な技なので技名以外の入力なし,,d dr r plus p_l,,,unknown,,false,,
cammy,hooligan_combination_medium,special,中フーリガンコンビネーション,,,,,,,0,false,false,false,,単独でダメージがなく、特殊な技なので技名以外の入力なし,,d dr r plus p_m,,,unknown,,false,,
cammy,hooligan_combination_heavy,special,強フーリガンコンビネーション,,,,,,,0,false,false,false,,単独でダメージがなく、特殊な技なので技名以外の入力なし,,d dr r plus p_h,,,unknown,,false,,
cammy,hooligan_combination_holding_heavy,special,【ホールド】強フーリガンコンビネーション,,,,,,,0,false,false,true,,単独でダメージがなく、特殊な技なので技名以外の入力なし,,d dr r plus p_h hold,,,unknown,,false,,
cammy,hooligan_combination_od,special,ODフーリガンコンビネーション,,,,,,,0,false,false,false,,単独でダメージがなく、特殊な技なので技名以外の入力なし,,d dr r plus p p,,,unknown,,false,,
cammy,razors_edge_slicer_od,special,ODレイザーエッジスライサー(ODフーリガンコンビネーション派生),50,24,17,90,,2,1200,false,false,true,,フーリガンから何もしなかったら出る技。フーリガン強度不問。,,,,,through,,false,,
cammy,razors_edge_slicer,special,レイザーエッジスライサー(フーリガンコンビネーション派生),50,9,13,71,,2,1000,false,false,true,,フーリガンから何もしなかったら出る技。フーリガン強度不問。,,,,,through,,false,,
cammy,razors_edge_slicer_holding,special,レイザーエッジスライサー(【ホールド】強フーリガンコンビネーション派生),68,24,17,108,,2,1200,false,false,true,,フーリガンから何もしなかったら出る技,,,,,through,,false,,
cammy,cannon_strike_light_hooligan_combination,special,キャノンストライク(弱フーリガンコンビネーション派生),33,10,12,54,0,-6,600,false,false,true,,弱フーリガン→強度不問キャノンストライク。キャノンストライク側はどの強度を選んでもセットプレイに関連する全体へのフレームに影響しない。ガード、ヒットフレームには影響があるが、ややこしくなるので、こちらは同じ強度のストライクを出した時のものを記録,,k,,,through,,false,,
cammy,cannon_strike_medium_hooligan_combination,special,キャノンストライク(中フーリガンコンビネーション派生),33,8,12,52,2,-4,600,false,false,true,,中フーリガン→強度不問キャノンストライク。キャノンストライク側はどの強度を選んでもセットプレイに関連する全体へのフレームに影響しない。ガード、ヒットフレームには影響があるが、ややこしくなるので、こちらは同じ強度のストライクを出した時のものを記録,,k,,,through,,false,,
cammy,cannon_strike_heavy_hooligan_combination,special,キャノンストライク(強フーリガンコンビネーション派生),33,6,12,50,4,-2,600,false,false,true,,強フーリガン→強度不問キャノンストライク。キャノンストライク側はどの強度を選んでもセットプレイに関連する全体へのフレームに影響しない。ガード、ヒットフレームには影響があるが、ややこしくなるので、こちらは同じ強度のストライクを出した時のものを記録,,k,,,through,,false,,
cammy,cannon_strike_heavy_hooligan_combination_holding,special,キャノンストライク(【ホールド】強フーリガンコンビネーション派生),51,6,12,68,4,0,800,false,false,true,,強フーリガン→強度不問キャノンストライク。キャノンストライク側はどの強度を選んでもセットプレイに関連する全体へのフレームに影響しない。ガード、ヒットフレームには影響があるが、ややこしくなるので、こちらは同じ強度のストライクを出した時のものを記録,,k,,,through,,false,,
cammy,cannon_strike_light_od_hooligan_combination_od,special,ODキャノンストライク(弱ODフーリガン派生),33,9,12,53,1,-3,800,false,false,true,,弱中同時押しフーリガンから。ODキャノンストライクには同時押しによる強度変化はなし,,k,,,through,,false,,
cammy,cannon_strike_medium_od_hooligan_combination_od,special,ODキャノンストライク(中ODフーリガン派生),33,7,12,51,3,-1,800,false,false,true,,弱強同時押しフーリガンから。ODキャノンストライクには同時押しによる強度変化はなし,,k,,,through,,false,,
cammy,cannon_strike_heavy_od_hooligan_combination_od,special,ODキャノンストライク(強ODフーリガン派生),33,6,12,50,4,0,800,false,false,true,,中強同時押しフーリガンから。ODキャノンストライクには同時押しによる強度変化はなし,,k,,,through,,false,,
cammy,reverse_edge_light_hooligan_combination,special,リバースエッジ(弱フーリガンコンビネーション派生),38,4,15,56,6,-4,800,false,false,true,,,,d plus k,,,through,,false,,
cammy,reverse_edge_medium_hooligan_combination,special,リバースエッジ(中フーリガンコンビネーション派生),38,4,14,55,7,-3,800,false,false,true,,,,d plus k,,,through,,false,,
cammy,reverse_edge_heavy_hooligan_combination,special,リバースエッジ(強フーリガンコンビネーション派生),38,4,13,54,8,-2,800,false,false,true,,,,d plus k,,,through,,false,,
cammy,reverse_edge_heavy_hooligan_combination_holding,special,リバースエッジ(【ホールド】強フーリガンコンビネーション派生),56,22,13,90,8,-2,800,false,false,true,,,,d plus k,,,through,,false,,
cammy,reverse_edge_od,special,ODリバースエッジ(ODフーリガンコンビネーション派生),38,22,13,72,8,-2,1200,false,false,true,,ODフーリガンの種類によってフレーム変わらず,,d plus k,,,through,,false,,
cammy,fatal_leg_twister_light,special,フェイタルレッグツイスター(弱フーリガンコンビネーション派生),30,3,37,69,,,1800,false,false,true,,,,p_l k_l,,,through,,false,,
cammy,fatal_leg_twister_medium,special,フェイタルレッグツイスター(中フーリガンコンビネーション派生),30,3,35,67,,,1800,false,false,true,,,,p_l k_l,,,through,,false,,
cammy,fatal_leg_twister_heavy,special,フェイタルレッグツイスター(強フーリガンコンビネーション派生),30,3,32,64,,,1800,false,false,true,,,,p_l k_l,,,through,,false,,
cammy,fatal_leg_twister_heavy_hooligan_combination_holding,special,フェイタルレッグツイスター(【ホールド】強フーリガンコンビネーション派生),48,3,32,82,,,1000,false,false,true,,,,p_l k_l,,,through,,false,,
cammy,fatal_leg_twister_light_od_hooligan_combination,special,フェイタルレッグツイスター(弱ODフーリガンコンビネーション派生),30,3,37,69,,,1000,false,false,true,,,,p_l k_l,,,through,,false,,
cammy,fatal_leg_twister_medium_od_hooligan_combination,special,フェイタルレッグツイスター(中ODフーリガンコンビネーション派生),30,3,35,67,,,1000,false,false,true,,,,p_l k_l,,,through,,false,,
cammy,fatal_leg_twister_heavy_od_hooligan_combination,special,フェイタルレッグツイスター(強ODフーリガンコンビネーション派生),30,3,32,64,,,1000,false,false,true,,,,p_l k_l,,,through,,false,,
cammy,silent_step_light,special,サイレントステップ(弱フーリガン派生),1,42,0,42,,,0,false,false,true,,,,p,,,through,,false,,
cammy,silent_step_medium,special,サイレントステップ(中フーリガン派生),1,41,0,41,,,0,false,false,true,,,,p,,,through,,false,,
cammy,silent_step_heavy,special,サイレントステップ(強フーリガン派生),1,40,0,40,,,0,false,false,true,,,,p,,,through,,false,,
cammy,silent_step_light_od_hooligan_combination_od,special,ODサイレントステップ(弱ODフーリガン派生),1,39,0,39,,,0,false,false,true,,,,p,,,through,,false,,
cammy,silent_step_medium_od_hooligan_combination_od,special,ODサイレントステップ(中ODフーリガン派生),1,38,0,38,,,0,false,false,true,,,,p,,,through,,false,,
cammy,silent_step_heavy_od_hooligan_combination_od,special,ODサイレントステップ(強ODフーリガン派生),1,37,0,37,,,0,false,false,true,,,,p,,,through,,false,,
cammy,sa1_spin_drive_smasher,super_art,SA1 スピンドライブスマッシャー,9,16,38,62,,-24,2000,false,false,false,,,,d dr r d dr r plus k,,,standalone,,false,,
