character_code,move_code,category,name_ja,startup,active,recovery,total,on_hit,on_block,damage,is_aerial,is_projectile,is_derived,notes,notes_tool,original_move_code,command,condition_ja,condition_en,startup_basis,chain_cancel_total,fastest_unreachable,last_changed_game_version,first_hit_startup
chun_li,standing_light_punch,normal,立ち弱P,4,3,7,13,5,-3,300,false,false,false,,,,p_l,,,standalone,9,false,,
chun_li,standing_light_kick,normal,立ち弱K,5,3,10,17,2,-2,300,false,false,false,,,,k_l,,,standalone,,false,,
chun_li,standing_medium_punch,normal,立ち中P,5,4,10,18,6,1,600,false,false,false,,,,p_m,,,standalone,,false,,
chun_li,standing_medium_kick,normal,立ち中K,7,4,16,26,4,-2,500,false,false,false,,,,k_m,,,standalone,,false,,
chun_li,standing_heavy_punch,normal,立ち強P,13,3,20,35,2,-3,800,false,false,false,,,,p_h,,,standalone,,false,,
chun_li,standing_heavy_kick,normal,立ち強K,14,3,18,34,4,0,900,false,false,false,,,,k_h,,,standalone,,false,,
chun_li,crouching_light_punch,normal,しゃがみ弱P,4,3,7,13,4,-2,300,false,false,false,,,,d plus p_l,,,standalone,10,false,,
chun_li,crouching_light_kick,normal,しゃがみ弱K,4,2,10,15,0,-2,200,false,false,false,,,,d plus k_l,,,standalone,11,false,,
chun_li,crouching_medium_punch,normal,しゃがみ中P,6,4,14,23,4,-2,600,false,false,false,,,,d plus p_m,,,standalone,,false,,
chun_li,crouching_medium_kick,normal,しゃがみ中K,7,3,19,28,-2,-6,500,false,false,false,,,,d plus k_m,,,standalone,,false,,
chun_li,crouching_heavy_punch,normal,しゃがみ強P,11,13,18,41,1,-3,900,false,false,false,,,,d plus p_h,,,standalone,,false,,
chun_li,crouching_heavy_kick,normal,しゃがみ強K,9,6,19,33,,-9,900,false,false,false,,,,d plus k_h,,,standalone,,false,,
chun_li,jumping_light_punch,normal,ジャンプ弱P,4,10,37,50,,,300,true,false,false,,通常飛びが47と他キャラクターより4多い。なので硬直が増えるジャンプ攻撃の全体も50になる。ジャンプ攻撃系は全部同じ。,,p_l,,,standalone,,true,,
chun_li,jumping_light_kick,normal,ジャンプ弱K,4,8,39,50,,,300,true,false,false,,,,k_l,,,standalone,,true,,
chun_li,jumping_medium_punch,normal,ジャンプ中P,7,15,29,50,,,600,true,false,false,,,,p_m,,,standalone,,true,,
chun_li,jumping_medium_kick,normal,ジャンプ中K,6,5,40,50,,,500,true,false,false,,,,k_m,,,standalone,,true,,
chun_li,jumping_heavy_punch,normal,ジャンプ強P,9,6,36,50,,,800,true,false,false,,,,p_h,,,standalone,,true,,
chun_li,jumping_heavy_kick,normal,ジャンプ強K,8,5,38,50,,,800,true,false,false,,,,k_h,,,standalone,,true,,
chun_li,neutral_jumping_heavy_kick,normal,垂直ジャンプ強K,8,7,36,50,,,800,true,false,false,,,,k_h,,,standalone,,true,,
chun_li,drive_impact,drive_impact,ドライブインパクト,26,2,35,62,,-3,800,false,false,false,,,,p_h k_h,,,standalone,,false,,
chun_li,throw_forward,throw,前投げ,5,3,23,30,,,1200,false,false,false,,,,n or r plus p_l k_l,,,standalone,,false,,
chun_li,throw_back,throw,後ろ投げ,5,3,23,30,,,1200,false,false,false,,,,l plus p_l k_l,,,standalone,,false,,
chun_li,ryuseiraku,throw,龍星落,5,3,43,50,,,1200,false,false,false,,,,p_l k_l,,,standalone,,false,,
chun_li,drive_parry,system,ドライブパリィ,1,12,33,45,,,0,false,false,false,,,,p_m k_m,,,standalone,,false,,
chun_li,swift_thrust,unique,追突拳,7,3,15,24,2,-3,600,false,false,false,,,,l or r plus p_m,,,standalone,,false,,
chun_li,hakkei,unique,発勁,8,6,14,27,5,-1,800,false,false,false,,,,l plus p_h,,,standalone,,false,,
chun_li,water_lotus_fist,unique,水蓮掌,21,3,15,38,2,-3,800,false,false,false,,,,dr plus p_h,,,standalone,,false,,
chun_li,yokusen_kick,unique,翼旋脚,16,2,23,40,-1,-4,800,false,false,false,,,,r plus k_h,,,standalone,,false,,
chun_li,falling_crane,unique,鶴脚落,37,2,13,51,7,3,800,false,false,false,,,,dr plus k_h,,,standalone,,false,,
chun_li,yoso_kick,unique,鷹爪脚,7,11,32,49,,,300,true,false,false,,ジャンプから最速で出して当たる。3回まで出せ微妙に性能が違うが、分ける必要を感じなかったので統一。,,,,,through,,false,,
chun_li,wall_jump,unique,三角飛び,32,40,0,71,,,0,false,false,false,,,,,,,through,,false,,
chun_li,soaring_eagle_punches,target_combo,鷹嘴連拳,,,,,,,1000,false,false,true,,エッジケース。空振りでも出せる空中ターゲットコンボ。ジャンプ強Pから派生。空中限定のため確定反撃の対象外であり、elena soaring_raid / ingrid satelite_leap と同じくフレームは入れない。,,p_h chain p_h,,,unknown,,false,,
chun_li,serenity_stream,unique,行雲流水,1,89,0,89,,,0,false,false,false,,,,d dl l plus p,,,standalone,,false,,
chun_li,serenity_stream_cancel,unique,行雲流水(解除),1,37,0,37,,,0,false,false,true,,上入力で最速解除時,,,,,unknown,,false,,
chun_li,orchid_palm,unique,蘭華,19,5,36,59,-22,-23,500,false,false,true,,行雲流水から最初に出して、その技で打ち切った場合」の通し値。構え継続した場合のフレームは複雑なので申し送り。,,p_l,,,unknown,,false,,
chun_li,snake_strike,unique,這蛇突,20,12,32,63,,-28,750,false,false,true,,行雲流水から最初に出して、その技で打ち切った場合」の通し値。構え継続した場合のフレームは複雑なので申し送り。,,p_m,,,unknown,,false,,
chun_li,lotus_fist,unique,蓮掌,37,10,19,65,2,1,900,false,false,true,,行雲流水から最初に出して、その技で打ち切った場合」の通し値。構え継続した場合のフレームは複雑なので申し送り。,,p_h,,,unknown,,false,,
chun_li,forward_strike,unique,前突,22,5,36,62,-23,-27,500,false,false,true,,行雲流水から最初に出して、その技で打ち切った場合」の通し値。構え継続した場合のフレームは複雑なので申し送り。,,k_l,,,unknown,,false,,
chun_li,senpu_kick,unique,仙風,24,5,46,74,-27,-33,800,false,false,true,,行雲流水から最初に出して、その技で打ち切った場合」の通し値。構え継続した場合のフレームは複雑なので申し送り。,,k_m,,,unknown,,false,,
chun_li,tenku_kick,unique,天空脚,22,5,24,50,,-9,700,false,false,true,,行雲流水から最初に出して、その技で打ち切った場合」の通し値。構え継続した場合のフレームは複雑なので申し送り。,,k_h,,,unknown,,false,,
chun_li,kikoken_light,special,弱気功拳,15,33,0,47,-3,-7,600,false,true,false,,,,charge_l r plus p_l,,,standalone,,false,,
chun_li,kikoken_medium,special,中気功拳,12,34,0,45,-3,-7,600,false,true,false,,,,charge_l r plus p_m,,,standalone,,false,,
chun_li,kikoken_heavy,special,強気功拳,11,25,8,43,-2,-6,600,false,true,false,,,,charge_l r plus p_h,,,standalone,,false,,
chun_li,kikoken_od,special,OD気功拳,11,29,0,39,5,0,800,false,true,false,,,,charge_l r plus p p,,,standalone,,false,,
chun_li,hundred_lightning_kicks_light,special,弱百裂脚,5,16,20,40,3,-8,800,false,false,false,,,,d dr r plus k_l,,,standalone,,false,,
chun_li,hundred_lightning_kicks_medium,special,中百裂脚,12,21,22,54,3,-8,900,false,false,false,,,,d dr r plus k_m,,,standalone,,false,,
chun_li,hundred_lightning_kicks_heavy,special,強百裂脚,23,25,15,62,,-3,1000,false,false,false,,,,d dr r plus k_h,,,standalone,,false,,
chun_li,hundred_lightning_kicks_od,special,OD百裂脚,8,26,21,54,3,-3,1000,false,false,false,,,,d dr r plus k k,,,standalone,,false,,
chun_li,lightning_kick_barrage,special,百裂連脚,11,38,25,73,,-13,1700,false,false,false,,OD百裂脚からのみ派生。空振りではでないのでstandalone,,k k,,,standalone,,false,,
