character_code,move_code,category,name_ja,startup,active,recovery,total,on_hit,on_block,damage,is_aerial,is_projectile,is_derived,notes,notes_tool,original_move_code,command,condition_ja,condition_en,startup_basis,chain_cancel_total,fastest_unreachable,last_changed_game_version,first_hit_startup
dhalsim,standing_light_punch,normal,立ち弱P,4,3,8,14,4,-1,300,false,false,false,,,,p_l,,,standalone,12,false,,
dhalsim,standing_light_kick,normal,立ち弱K,9,4,11,23,2,-6,300,false,false,false,,,,k_l,,,standalone,,false,,
dhalsim,standing_medium_punch,normal,立ち中P,14,3,19,35,0,-5,700,false,false,false,,,,p_m,,,standalone,,false,,
dhalsim,standing_medium_kick,normal,立ち中K,12,3,18,32,-2,-6,600,false,false,false,,,,k_m,,,standalone,,false,,
dhalsim,standing_heavy_punch,normal,立ち強P,16,4,27,46,-6,-11,1000,false,false,false,,,,p_h,,,standalone,,false,,
dhalsim,standing_heavy_kick,normal,立ち強K,17,3,20,39,3,-6,800,false,false,false,,,,k_h,,,standalone,,false,,
dhalsim,crouching_light_punch,normal,しゃがみ弱P,5,3,9,16,4,-1,300,false,false,false,,,,d plus p_l,,,standalone,11,false,,
dhalsim,crouching_light_kick,normal,しゃがみ弱K,4,7,16,26,-5,-10,200,false,false,false,,,,d plus k_l,,,standalone,,false,,
dhalsim,crouching_medium_punch,normal,しゃがみ中P,12,3,16,30,0,-4,600,false,false,false,,,,d plus p_m,,,standalone,,false,,
dhalsim,crouching_medium_kick,normal,しゃがみ中K,10,13,14,36,-3,-10,500,false,false,false,,,,d plus k_m,,,standalone,,false,,
dhalsim,crouching_heavy_punch,normal,しゃがみ強P,19,4,24,46,3,-8,800,false,false,false,,,,d plus p_h,,,standalone,,false,,
dhalsim,crouching_heavy_kick,normal,しゃがみ強K,12,16,20,47,,-16,900,false,false,false,,,,d plus k_h,,,standalone,,false,,
dhalsim,jumping_light_punch,normal,ジャンプ弱P,4,4,67,74,,,300,true,false,false,,ダルシムはジャンプが73Fのキャラクター,,p_l,,,standalone,,true,,
dhalsim,jumping_light_kick,normal,ジャンプ弱K,6,4,65,74,,,300,true,false,false,,,,k_l,,,standalone,,true,,
dhalsim,jumping_medium_punch,normal,ジャンプ中P,9,6,60,74,,,700,true,false,false,,,,p_m,,,standalone,,true,,
dhalsim,jumping_medium_kick,normal,ジャンプ中K,11,6,58,74,,,500,true,false,false,,,,k_m,,,standalone,,true,,
dhalsim,jumping_heavy_punch,normal,ジャンプ強P,13,4,58,74,,,800,true,false,false,,,,p_h,,,standalone,,true,,
dhalsim,jumping_heavy_kick,normal,ジャンプ強K,10,10,55,74,,,800,true,false,false,,,,k_h,,,standalone,,true,,
dhalsim,drive_impact,drive_impact,ドライブインパクト,26,2,35,62,,-3,800,false,false,false,,,,p_h k_h,,,standalone,,false,,
dhalsim,throw_forward,throw,前投げ,5,3,23,30,,,1200,false,false,false,,,,n or r plus p_l k_l,,,standalone,,false,,
dhalsim,throw_back,throw,後ろ投げ,5,3,23,30,,,1200,false,false,false,,,,l plus p_l k_l,,,standalone,,false,,
dhalsim,yoga_splash,throw,ヨガスプラッシュ,5,3,23,30,,,1200,false,false,false,,,,d plus p_l k_l,,,standalone,,false,,
dhalsim,drive_parry,system,ドライブパリィ,1,12,33,45,,,0,false,false,false,,,,p_m k_m,,,standalone,,false,,
dhalsim,yoga_uppercut,unique,ヨガアッパー,8,6,16,29,2,-3,700,false,false,false,,,,l plus p_m,,,standalone,,false,,
dhalsim,yoga_lance,unique,ヨガランス,14,7,29,49,-9,-16,900,false,false,false,,,,l plus p_h,,,standalone,,false,,
dhalsim,nirvana_punch,unique,涅槃パンチ,10,4,20,33,3,-3,800,false,false,false,,,,dl plus p_h,,,standalone,,false,,
dhalsim,agile_kick,unique,アジャイルキック,5,3,10,17,1,-3,200,false,false,false,,,,dl plus k_l,,,standalone,11,false,,
dhalsim,divine_kick,unique,合掌キック,7,4,17,27,3,0,600,false,false,false,,,,l plus k_m,,,standalone,,false,,
dhalsim,thrust_kick,unique,スラストキック,8,3,20,30,-3,-7,500,false,false,false,,,,dl plus k_m,,,standalone,,false,,
dhalsim,yoga_mountain,unique,ヨガマウンテン,14,6,20,39,0,-9,1000,false,false,false,,,,l plus k_h,,,standalone,,false,,
dhalsim,karma_kick,unique,因果キック,9,3,22,33,,-7,900,false,false,false,,,,dl plus k_h,,,standalone,,false,,
dhalsim,yoga_mummy,unique,ドリル頭突き,21,17,9,46,-8,-12,500,true,false,true,,後方、垂直、前方ジャンプから,,d plus p_l,,,through,,false,,
dhalsim,drill_kick,unique,弱ドリルキック,20,16,11,46,-3,-10,500,true,false,true,,後方、垂直、前方ジャンプから,,d plus k_l,,,through,,false,,
dhalsim,medium_drill_kick,unique,中ドリルキック,20,12,11,42,-1,-6,500,true,false,true,,後方、垂直、前方ジャンプから,,d plus k_m,,,through,,false,,
dhalsim,heavy_drill_kick,unique,強ドリルキック,20,10,11,40,-1,-6,500,true,false,true,,後方、垂直、前方ジャンプから,,d plus k_h,,,through,,false,,
dhalsim,yoga_fire_light,special,弱ヨガファイア,15,34,0,48,-2,-6,600,false,false,false,,,,d dr r plus p_l,,,standalone,,false,,
dhalsim,yoga_fire_medium,special,中ヨガファイア,15,34,0,48,-2,-6,600,false,false,false,,,,d dr r plus p_m,,,standalone,,false,,
dhalsim,yoga_fire_heavy,special,強ヨガファイア,15,34,0,48,-2,-6,600,false,false,false,,,,d dr r plus p_h,,,standalone,,false,,
dhalsim,yoga_fire_od,special,ODヨガファイア,12,34,0,45,,-3,1000,false,false,false,,,,d dr r plus p p,,,standalone,,false,,
dhalsim,yoga_fire_holding_light,special,弱ヨガファイア（ホールド）,43,31,0,73,,-1,800,false,false,false,,,,d dr r plus p_l hold,,,standalone,,false,,
dhalsim,yoga_fire_holding_medium,special,中ヨガファイア（ホールド）,43,31,0,73,,-1,800,false,false,false,,,,d dr r plus p_m hold,,,standalone,,false,,
dhalsim,yoga_fire_holding_heavy,special,強ヨガファイア（ホールド）,43,31,0,73,,-1,800,false,false,false,,,,d dr r plus p_h hold,,,standalone,,false,,
dhalsim,yoga_arch_light,special,弱ヨガアーチ,18,28,0,45,1,-1,600,false,false,false,,,,d dr r plus k_l,,,standalone,,false,,
dhalsim,yoga_arch_medium,special,中ヨガアーチ,18,28,0,45,1,-1,600,false,false,false,,,,d dr r plus k_m,,,standalone,,false,,
dhalsim,yoga_arch_heavy,special,強ヨガアーチ,18,28,0,45,1,-1,600,false,false,false,,,,d dr r plus k_h,,,standalone,,false,,
dhalsim,yoga_arch_od,special,ODヨガアーチ,18,28,0,45,2,-3,1000,false,false,false,,,,d dr r plus k k,,,standalone,,false,,
dhalsim,yoga_flame_light,special,弱ヨガフレイム,16,15,15,45,,-4,800,false,false,false,,,,r dr d dl l plus p_l,,,standalone,,false,,
dhalsim,yoga_flame_medium,special,中ヨガフレイム,20,15,17,51,,-4,900,false,false,false,,,,r dr d dl l plus p_m,,,standalone,,false,,
dhalsim,yoga_flame_heavy,special,強ヨガフレイム,26,17,16,58,,-4,1200,false,false,false,,,,r dr d dl l plus p_h,,,standalone,,false,,
dhalsim,yoga_flame_od,special,ODヨガフレイム,18,25,24,66,,-11,800,false,false,false,,,,r dr d dl l plus p p,,,standalone,,false,,
dhalsim,yoga_blast_light,special,弱ヨガブラスト,12,10,23,44,,-6,1000,false,false,false,,,,r dr d dl l plus k_l,,,standalone,,false,,
dhalsim,yoga_blast_medium,special,中ヨガブラスト,15,10,20,44,,-3,1200,false,false,false,,,,r dr d dl l plus k_m,,,standalone,,false,,
dhalsim,yoga_blast_heavy,special,強ヨガブラスト,17,10,18,44,,-1,1200,false,false,false,,,,r dr d dl l plus k_h,,,standalone,,false,,
dhalsim,yoga_blast_od,special,ODヨガブラスト,12,10,20,41,,0,1000,false,false,false,,,,r dr d dl l plus k k,,,standalone,,false,,
dhalsim,yoga_comet_light,special,弱ヨガコメット,38,37,0,74,-4,-2,800,false,false,false,,ガードの方がフレームが大きいのは正しい。例外パターン。後方、垂直、前方ジャンプから,,r dr d dl l plus p_l,,,through,,false,,
dhalsim,yoga_comet_medium,special,中ヨガコメット,38,37,0,74,-4,-2,800,false,false,false,,ガードの方がフレームが大きいのは正しい。例外パターン。後方、垂直、前方ジャンプから,,r dr d dl l plus p_m,,,through,,false,,
dhalsim,yoga_comet_heavy,special,強ヨガコメット,38,37,0,74,-4,-2,800,false,false,false,,ガードの方がフレームが大きいのは正しい。例外パターン。後方、垂直、前方ジャンプから,,r dr d dl l plus p_h,,,through,,false,,
dhalsim,yoga_comet_od,special,ODヨガコメット,38,32,0,69,5,6,1200,false,false,false,,ガードの方がフレームが大きいのは正しい。例外パターン。後方、垂直、前方ジャンプから,,r dr d dl l plus p p,,,through,,false,,
dhalsim,yoga_float,special,ヨガフロート,1,144,0,144,,,0,false,false,false,,,,d plus k k,,,standalone,,true,,
dhalsim,yoga_float_forward,special,ヨガフロート（前方）,1,144,0,144,,,0,false,false,false,,,,dr plus k k,,,standalone,,true,,
dhalsim,aerial_yoga_float,special,空中ヨガフロート,12,102,0,113,,,0,false,false,true,,後方、垂直、前方ジャンプから,,d plus k k,,,through,,true,,
dhalsim,yoga_teleport,special,Pヨガテレポート（前方）,5,11,24,39,,,0,false,false,true,,,,r plus p p p,,,standalone,,true,,
dhalsim,p_yoga_teleport_backward,special,Pヨガテレポート（後方）,5,11,31,46,,,0,false,false,true,,,,l plus p p p,,,standalone,,true,,
dhalsim,k_yoga_teleport_forward,special,Kヨガテレポート（前方）,5,11,24,39,,,0,false,false,true,,,,r plus k k k,,,standalone,,true,,
dhalsim,k_yoga_teleport_backward,special,Kヨガテレポート（後方）,5,11,31,46,,,0,false,false,true,,,,l plus k k k,,,standalone,,true,,
dhalsim,aerial_yoga_teleport,special,P空中ヨガテレポート（前方）,18,6,25,48,,,0,false,false,true,,後方、垂直、前方ジャンプから,,r plus p p p,,,through,,true,,
dhalsim,p_aerial_yoga_teleport_backward,special,P空中ヨガテレポート（後方）,18,6,33,56,,,0,false,false,true,,後方、垂直、前方ジャンプから,,l plus p p p,,,through,,true,,
dhalsim,k_aerial_yoga_teleport_forward,special,K空中ヨガテレポート（前方）,18,6,25,48,,,0,false,false,true,,後方、垂直、前方ジャンプから,,r plus k k k,,,through,,true,,
dhalsim,k_aerial_yoga_teleport_backward,special,K空中ヨガテレポート（後方）,18,6,33,56,,,0,false,false,true,,後方、垂直、前方ジャンプから,,l plus k k k,,,through,,true,,
dhalsim,sa1_yoga_inferno_light,super_art,SA1 ヨガインフェルノ（弱）,10,104,15,128,,-10,1920,false,false,false,,,,d dr r d dr r plus p_l,,,standalone,,false,,
dhalsim,sa1_yoga_inferno_medium,super_art,SA1 ヨガインフェルノ（中）,10,104,15,128,,-10,2100,false,false,false,,,,d dr r d dr r plus p_m,,,standalone,,false,,
dhalsim,sa1_yoga_inferno_heavy,super_art,SA1 ヨガインフェルノ（強）,10,84,40,133,,-22,2040,false,false,false,,,,d dr r d dr r plus p_h,,,standalone,,false,,
dhalsim,sa2_yoga_sunburst,super_art,SA2 ヨガサンバースト,7,61,0,67,,-61,2800,false,false,false,,例外的にガードフレームではない。この技はしゃがみで回避して反撃を入れるという慣習があるため。,,d dl l d dl l plus k,,,standalone,,false,,
dhalsim,sa2_yoga_sunburst_holding,super_art,【ホールド】SA2 ヨガサンバースト,7,75,0,81,,-75,3100,false,false,false,,例外的にガードフレームではない。この技はしゃがみで回避して反撃を入れるという慣習があるため。実測困難なため正確な持続、全体ではない。,,d dl l d dl l plus k hold,,,standalone,,false,,
dhalsim,sa2_yoga_sunburst_max_holding,super_art,【最大ホールド】SA2 ヨガサンバースト,7,142,0,148,,-142,4000,false,false,false,,例外的にガードフレームではない。この技はしゃがみで回避して反撃を入れるという慣習があるため。,,d dl l d dl l plus k hold,,,standalone,,false,,
dhalsim,sa3_merciless_yoga,super_art,SA3 ヨガマーシレス,10,5,75,89,,-62,4000,false,false,false,,,,d dr r d dr r plus k,,,standalone,,false,,
dhalsim,ca_merciless_yoga,critical_art,CA ヨガマーシレス,10,5,75,89,,-62,4500,false,false,false,,,,d dr r d dr r plus k,,,standalone,,false,,
