character_code,move_code,category,name_ja,startup,active,recovery,total,on_hit,on_block,damage,is_aerial,is_projectile,is_derived,notes,notes_tool,original_move_code,command,condition_ja,condition_en,startup_basis,chain_cancel_total,fastest_unreachable,last_changed_game_version,first_hit_startup
ed,standing_light_punch,normal,立ち弱P,4,3,7,13,4,-1,300,false,false,false,,,,p_l,,,standalone,9,false,,
ed,standing_light_kick,normal,立ち弱K,6,2,13,20,3,-3,300,false,false,false,,,,k_l,,,standalone,,false,,
ed,standing_medium_punch,normal,立ち中P,7,3,15,24,6,-1,600,false,false,false,,,,p_m,,,standalone,,false,,
ed,standing_medium_kick,normal,立ち中K,10,2,20,31,0,-5,600,false,false,false,,,,k_m,,,standalone,,false,,
ed,standing_heavy_punch,normal,立ち強P,10,4,18,31,5,-2,800,false,false,false,,,,p_h,,,standalone,,false,,
ed,standing_heavy_kick,normal,立ち強K,10,3,12,24,8,4,800,false,false,false,,,,k_h,,,standalone,,false,,
ed,crouching_light_punch,normal,しゃがみ弱P,4,3,10,16,3,-3,200,false,false,false,,,,d plus p_l,,,standalone,10,false,,
ed,crouching_light_kick,normal,しゃがみ弱K,5,2,12,18,2,-4,300,false,false,false,,,,d plus k_l,,,standalone,,false,,
ed,crouching_medium_punch,normal,しゃがみ中P,8,3,19,29,2,-6,500,false,false,false,,,,d plus p_m,,,standalone,,false,,
ed,crouching_medium_kick,normal,しゃがみ中K,9,2,19,29,8,-1,600,false,false,false,,,,d plus k_m,,,standalone,,false,,
ed,crouching_heavy_punch,normal,しゃがみ強P,10,4,24,37,,-12,900,false,false,false,,,,d plus p_h,,,standalone,,false,,
ed,crouching_heavy_kick,normal,しゃがみ強K,12,2,21,34,-1,-6,800,false,false,false,,,,d plus k_h,,,standalone,,false,,
ed,jumping_light_punch,normal,ジャンプ弱P,5,5,37,46,,,300,true,false,false,,,,p_l,,,standalone,,true,,
ed,jumping_light_kick,normal,ジャンプ弱K,8,3,36,46,,,300,true,false,false,,,,k_l,,,standalone,,true,,
ed,jumping_medium_punch,normal,ジャンプ中P,8,6,33,46,,,500,true,false,false,,,,p_m,,,standalone,,true,,
ed,jumping_medium_kick,normal,ジャンプ中K,10,2,35,46,,,700,true,false,false,,,,k_m,,,standalone,,true,,
ed,jumping_heavy_punch,normal,ジャンプ強P,9,5,33,46,,,800,true,false,false,,,,p_h,,,standalone,,true,,
ed,jumping_heavy_kick,normal,ジャンプ強K,8,2,37,46,,,800,true,false,false,,,,k_h,,,standalone,,true,,
ed,drive_impact,drive_impact,ドライブインパクト,26,2,35,62,,-3,800,false,false,false,,,,p_h k_h,,,standalone,,false,,
ed,throw_forward,throw,前投げ,5,3,23,30,,,1200,false,false,false,,,,n or r plus p_l k_l,,,standalone,,false,,
ed,throw_back,throw,後ろ投げ,5,3,23,30,,,1200,false,false,false,,,,l plus p_l k_l,,,standalone,,false,,
ed,drive_parry,system,ドライブパリィ,1,12,33,45,,,0,false,false,false,,,,p_m k_m,,,standalone,,false,,
ed,psycho_knuckle,unique,サイコナックル,39,15,35,88,,2,800,false,false,false,,ガードフレームは端で計測。中央だとon_block-2になる。,,,,,standalone,,false,,
ed,psycho_knuckle_max_holding,unique,【最大ホールド】サイコナックル,69,15,35,118,,4,1200,false,false,false,,ノーマル版と違い、端でもフレーム変わらない,,,,,standalone,,false,,
ed,cobra_punch,unique,コブラパンチ,17,3,21,40,1,-3,900,false,false,false,,,,r plus p_h,,,standalone,,false,,
ed,flicker_combination_2hits,target_combo,フリッカーコンビネーション(2発止め),7,3,15,24,3,-3,620,false,false,true,,,,k_l chain k_l,,,standalone,,false,,6
ed,flicker_combination,target_combo,フリッカーコンビネーション,7,3,16,25,1,-8,1040,false,false,true,,,,k_l chain k_l chain k_l,,,standalone,,false,,6
ed,body_blow_combination,target_combo,ボディブローコンビネーション,13,2,23,37,,-8,1000,false,false,true,,,,p_m chain p_h,,,standalone,,false,,7
ed,hitman_combination_2hits,target_combo,ヒットマンコンビネーション(2発止め),7,2,20,28,,-6,900,false,false,true,,,,k_m chain k_m,,,standalone,,false,,10
ed,hitman_combination,target_combo,ヒットマンコンビネーション,11,5,23,38,,-11,1380,false,false,true,,,,k_m chain k_m chain p_h,,,standalone,,false,,10
ed,low_smash_combination,target_combo,ロースマッシュコンビネーション,10,5,19,33,,-8,1500,false,false,true,,,,d plus k_h chain p_h,,,standalone,,false,,12
ed,psycho_spark_od,special,ODサイコスパーク,14,12,7,32,,-2,400,false,true,false,,,,d dr r plus p p,,,standalone,,false,,
ed,psycho_spark,special,サイコスパーク,14,12,8,33,3,-5,400,false,true,false,,,,d dr r plus p,,,standalone,,false,,
ed,psycho_shoot_light,special,弱サイコシュート,33,31,0,63,3,-8,600,false,true,false,,サイコスパーク派生,,r plus p_l,,,through,,false,,
ed,psycho_shoot_medium,special,中サイコシュート,33,31,0,63,3,-8,600,false,true,false,,サイコスパーク派生,,r plus p_m,,,through,,false,,
ed,psycho_shoot_heavy,special,強サイコシュート,33,31,0,63,3,-8,600,false,true,false,,サイコスパーク派生,,r plus p_h,,,through,,false,,
ed,psycho_shoot_od,special,ODサイコシュート,30,29,0,58,,-2,800,false,true,false,,ODサイコスパーク派生,,,,,through,,false,,
ed,psycho_uppercut_light,special,弱サイコアッパー,10,8,28,45,,-13,900,false,false,false,,,,r d dr plus p_l,,,standalone,,false,,
ed,psycho_uppercut_medium,special,中サイコアッパー,14,6,32,51,,-20,1000,false,false,false,,,,r d dr plus p_m,,,standalone,,false,,
ed,psycho_uppercut_heavy,special,強サイコアッパー,16,6,33,54,,-21,1200,false,false,false,,,,r d dr plus p_h,,,standalone,,false,,
ed,psycho_uppercut_od,special,ODサイコアッパー,13,6,36,54,,-28,1600,false,false,false,,,,r d dr plus p p,,,standalone,,false,,
ed,psycho_blitz_light,special,弱サイコブリッツ,11,19,14,43,3,-5,800,false,false,false,,,,d dl l plus p_l,,,standalone,,false,,
ed,psycho_blitz_medium,special,中サイコブリッツ,13,24,16,52,,-12,900,false,false,false,,,,d dl l plus p_m,,,standalone,,false,,
ed,psycho_blitz_heavy,special,強サイコブリッツ,15,23,23,60,,-12,1100,false,false,false,,,,d dl l plus p_h,,,standalone,,false,,
ed,psycho_blitz_od,special,ODサイコブリッツ,13,32,20,64,,-4,1400,false,false,false,,,,d dl l plus p p,,,standalone,,false,,
ed,psycho_flicker_light,special,弱サイコフリッカー,16,4,26,45,1,-6,800,false,false,false,,,,d dr r plus k_l,,,standalone,,false,,
