character_code,move_code,category,name_ja,startup,active,recovery,total,on_hit,on_block,damage,is_aerial,is_projectile,is_derived,notes,notes_tool,original_move_code,command,condition_ja,condition_en,startup_basis,chain_cancel_total,fastest_unreachable,last_changed_game_version,first_hit_startup
elena,standing_light_punch,normal,立ち弱P,5,4,8,16,4,-2,300,false,false,false,,,,p_l,,,standalone,,false,,
elena,standing_light_kick,normal,立ち弱K,5,3,11,18,2,-4,300,false,false,false,,,,k_l,,,standalone,,false,,
elena,standing_medium_punch,normal,立ち中P,8,5,15,27,3,-3,600,false,false,false,,,,p_m,,,standalone,,false,,
elena,standing_medium_kick,normal,立ち中K,6,4,15,24,5,1,500,false,false,false,,,,k_m,,,standalone,,false,,
elena,standing_heavy_punch,normal,立ち強P,12,4,20,35,2,-2,800,false,false,false,,,,p_h,,,standalone,,false,,
elena,standing_heavy_kick,normal,立ち強K,12,4,19,34,2,-4,900,false,false,false,,,,k_h,,,standalone,,false,,
elena,crouching_light_punch,normal,しゃがみ弱P,4,3,8,14,5,-1,300,false,false,false,,,,d plus p_l,,,standalone,10,false,,
elena,crouching_light_kick,normal,しゃがみ弱K,5,3,8,15,3,-1,200,false,false,false,,,,d plus k_l,,,standalone,12,false,,
elena,crouching_medium_punch,normal,しゃがみ中P,8,3,20,30,1,-4,600,false,false,false,,,,d plus p_m,,,standalone,,false,,
elena,crouching_medium_kick,normal,しゃがみ中K,9,3,18,29,4,-3,600,false,false,false,,,,d plus k_m,,,standalone,,false,,
elena,crouching_heavy_punch,normal,しゃがみ強P,9,10,20,38,6,-7,800,false,false,false,,,,d plus p_h,,,standalone,,false,,
elena,crouching_heavy_kick,normal,しゃがみ強K,11,3,24,37,,-12,900,false,false,false,,,,d plus k_h,,,standalone,,false,,
elena,jumping_light_punch,normal,ジャンプ弱P,5,6,36,46,,,300,true,false,false,,,,p_l,,,standalone,,true,,
elena,jumping_light_kick,normal,ジャンプ弱K,5,6,36,46,,,300,true,false,false,,,,k_l,,,standalone,,true,,
elena,jumping_medium_punch,normal,ジャンプ中P,8,5,34,46,,,700,true,false,false,,,,p_m,,,standalone,,true,,
elena,jumping_medium_kick,normal,ジャンプ中K,7,5,35,46,,,500,true,false,false,,,,k_m,,,standalone,,true,,
elena,jumping_heavy_punch,normal,ジャンプ強P,10,7,30,46,,,800,true,false,false,,,,p_h,,,standalone,,true,,
elena,jumping_heavy_kick,normal,ジャンプ強K,10,11,26,46,,,800,true,false,false,,,,k_h,,,standalone,,true,,
elena,drive_impact,drive_impact,ドライブインパクト,26,2,35,62,,-3,800,false,false,false,,,,p_h k_h,,,standalone,,false,,
elena,throw_forward,throw,前投げ,5,3,23,30,,,1200,false,false,false,,,,n or r plus p_l k_l,,,standalone,,false,,
elena,throw_back,throw,後ろ投げ,5,3,23,30,,,1200,false,false,false,,,,l plus p_l k_l,,,standalone,,false,,
elena,drive_parry,system,ドライブパリィ,1,12,33,45,,,0,false,false,false,,,,p_m k_m,,,standalone,,false,,
elena,slide,unique,スライディング,14,9,22,44,,-10,900,false,false,false,,,,dr plus k_h,,,standalone,,false,,
elena,round_arch,unique,ラウンドアーチ,14,4,19,36,3,-3,900,false,false,false,,,,l plus k_h,,,standalone,,false,,
elena,handstand_whip_1hit,unique,ハンドスタンドウィップ(単発),20,3,19,41,2,-3,600,false,false,false,,,,r plus k_m,,,standalone,,false,,
elena,starling_beak,target_combo,スターリングビーク,17,5,29,50,-4,-10,1000,false,false,true,,空振りでは出ないターゲットコンボ。ダメージは通し。,,p_m chain p_m,,,standalone,,false,,8
elena,handstand_whip,target_combo,ハンドスタンドウィップ,14,3,26,42,,-14,1200,false,false,true,,空振りでは出ないターゲットコンボ。ダメージは通し。,,r plus k_m chain k_m,,,standalone,,false,,20
elena,hind_kick,target_combo,ハインドキック,12,3,24,38,,-8,900,false,false,true,,空振りでは出ないターゲットコンボ。ダメージは通し。,,k_m chain k_h,,,standalone,,false,,6
elena,fluttering_lark,target_combo,ラークフラッター,15,1,20,35,4,-23,920,false,false,true,,空振りでは出ないターゲットコンボ。ダメージは通し。ガードフレームについて、このターゲットコンボは1段目をガードすると、2段目はスカる仕様なので、ちょっと他とは違うが、実質的に必要な情報は-23で満たしている,,d plus k_m chain k_h,,,standalone,,false,,9
elena,turning_tail,target_combo,ターニングテイル,17,11,17,44,,-3,1600,false,false,true,,空振りでは出ないターゲットコンボ。ダメージは通し。,,p_h chain p_h,,,standalone,,false,,12
