character_code,move_code,category,name_ja,startup,active,recovery,total,on_hit,on_block,damage,is_aerial,is_projectile,is_derived,notes,notes_tool,original_move_code,command,condition_ja,condition_en,startup_basis,chain_cancel_total,fastest_unreachable,last_changed_game_version,first_hit_startup
guile,standing_light_punch,normal,立ち弱P,5,3,7,14,4,-2,300,false,false,false,,,,p_l,,,standalone,10,false,,
guile,standing_light_kick,normal,立ち弱K,5,2,12,18,3,-1,300,false,false,false,,,,k_l,,,standalone,,false,,
guile,standing_medium_punch,normal,立ち中P,7,3,15,24,6,0,600,false,false,false,,,,p_m,,,standalone,,false,,
guile,standing_medium_kick,normal,立ち中K,7,5,18,29,1,-4,700,false,false,false,,,,k_m,,,standalone,,false,,
guile,standing_heavy_punch,normal,立ち強P,7,3,23,32,-1,-6,900,false,false,false,,,,p_h,,,standalone,,false,,
guile,standing_heavy_kick,normal,立ち強K,13,3,21,36,4,-4,800,false,false,false,,,,k_h,,,standalone,,false,,
guile,crouching_light_punch,normal,しゃがみ弱P,4,3,8,14,5,-2,300,false,false,false,,,,d plus p_l,,,standalone,9,false,,
guile,crouching_light_kick,normal,しゃがみ弱K,5,2,12,18,1,-3,200,false,false,false,,,,d plus k_l,,,standalone,12,false,,
guile,crouching_medium_punch,normal,しゃがみ中P,6,3,16,24,4,-2,600,false,false,false,,,,d plus p_m,,,standalone,,false,,
guile,crouching_medium_kick,normal,しゃがみ中K,8,3,18,28,4,-5,500,false,false,false,,,,d plus k_m,,,standalone,,false,,
guile,crouching_heavy_punch,normal,しゃがみ強P,9,5,20,33,0,-9,900,false,false,false,,,,d plus p_h,,,standalone,,false,,
guile,crouching_heavy_kick,normal,しゃがみ強K,9,21,21,50,,-12,900,false,false,false,,,,d plus k_h,,,standalone,,false,,
guile,jumping_light_punch,normal,ジャンプ弱P,4,10,33,46,,,300,true,false,false,,,,p_l,,,standalone,,true,,
guile,jumping_light_kick,normal,ジャンプ弱K,6,10,31,46,,,300,true,false,false,,,,k_l,,,standalone,,true,,
guile,jumping_medium_punch,normal,ジャンプ中P,7,3,37,46,,,700,true,false,false,,,,p_m,,,standalone,,true,,
guile,jumping_medium_kick,normal,ジャンプ中K,7,7,33,46,,,600,true,false,false,,,,k_m,,,standalone,,true,,
guile,jumping_heavy_punch,normal,ジャンプ強P,9,4,34,46,,,800,true,false,false,,,,p_h,,,standalone,,true,,
guile,jumping_heavy_kick,normal,ジャンプ強K,10,5,32,46,,,800,true,false,false,,,,k_h,,,standalone,,true,,
guile,drive_impact,drive_impact,ドライブインパクト,26,2,35,62,,-3,800,false,false,false,,,,p_h k_h,,,standalone,,false,,
guile,recoil_cannon,target_combo,リコイルキャノン,16,3,26,44,,-9,1200,false,false,true,,,,p_m chain l plus p_h,,,standalone,,false,,7
guile,double_shot,target_combo,ダブルバレット,12,3,16,30,,-6,960,false,false,true,,,,d plus p_m chain d plus p_m,,,standalone,,false,,6
guile,drake_fang,target_combo,ドレイクファング,20,3,21,43,1,-5,1140,false,false,true,,,,d plus k_m chain r plus p_m,,,standalone,,false,,8
guile,phantom_cutter,target_combo,ファントムカッター,10,3,25,37,,-12,930,false,false,true,,ガードフレームはこれが正しい。インゲームで全てガード設定だとCPUが立つのが遅いので-10になる。,,d plus k_h chain dr plus k_h,,,standalone,,false,,9
