character_code,move_code,category,name_ja,startup,active,recovery,total,on_hit,on_block,damage,is_aerial,is_projectile,is_derived,notes,notes_tool,original_move_code,command,condition_ja,condition_en,startup_basis,chain_cancel_total,fastest_unreachable,last_changed_game_version,first_hit_startup
ingrid,standing_light_punch,normal,立ち弱P,4,3,7,13,5,-1,300,false,false,false,,,,p_l,,,standalone,9,false,,
ingrid,standing_light_kick,normal,立ち弱K,5,3,11,18,2,-3,300,false,false,false,,,,k_l,,,standalone,,false,,
ingrid,standing_medium_punch,normal,立ち中P,6,5,13,23,1,0,600,false,false,false,,,,p_m,,,standalone,,false,,
ingrid,standing_medium_kick,normal,立ち中K,8,4,16,27,3,-3,700,false,false,false,,,,k_m,,,standalone,,false,,
ingrid,standing_heavy_punch,normal,立ち強P,12,4,20,35,3,-5,900,false,false,false,,,,p_h,,,standalone,,false,,
ingrid,standing_heavy_kick,normal,立ち強K,9,9,19,36,4,-2,800,false,false,false,,,,k_h,,,standalone,,false,,
ingrid,crouching_light_punch,normal,しゃがみ弱P,4,2,9,14,4,-1,300,false,false,false,,,,d plus p_l,,,standalone,10,false,,
ingrid,crouching_light_kick,normal,しゃがみ弱K,5,2,10,16,3,-2,200,false,false,false,,,,d plus k_l,,,standalone,12,false,,
ingrid,crouching_medium_punch,normal,しゃがみ中P,7,4,15,25,6,-1,600,false,false,false,,,,d plus p_m,,,standalone,,false,,
ingrid,crouching_medium_kick,normal,しゃがみ中K,8,3,19,29,1,-6,500,false,false,false,,,,d plus k_m,,,standalone,,false,,
ingrid,crouching_heavy_punch,normal,しゃがみ強P,12,3,20,34,1,-1,800,false,false,false,,,,d plus p_h,,,standalone,,false,,
ingrid,crouching_heavy_kick,normal,しゃがみ強K,10,3,25,37,,-12,900,false,false,false,,,,d plus k_h,,,standalone,,false,,
ingrid,jumping_light_punch,normal,ジャンプ弱P,4,10,33,46,,,300,true,false,false,,,,p_l,,,standalone,,true,,
ingrid,jumping_light_kick,normal,ジャンプ弱K,6,10,31,46,,,300,true,false,false,,,,k_l,,,standalone,,true,,
ingrid,jumping_medium_punch,normal,ジャンプ中P,8,4,35,46,,,600,true,false,false,,,,p_m,,,standalone,,true,,
ingrid,jumping_medium_kick,normal,ジャンプ中K,8,6,33,46,,,500,true,false,false,,,,k_m,,,standalone,,true,,
ingrid,jumping_heavy_punch,normal,ジャンプ強P,9,6,32,46,,,800,true,false,false,,,,p_h,,,standalone,,true,,
ingrid,jumping_heavy_kick,normal,ジャンプ強K,12,7,28,46,,,800,true,false,false,,,,k_h,,,standalone,,true,,
ingrid,drive_impact,drive_impact,ドライブインパクト,26,2,35,62,,-3,800,false,false,false,,,,p_h k_h,,,standalone,,false,,
ingrid,throw_forward,throw,前投げ,5,3,23,30,,,1200,false,false,false,,,,n or r plus p_l k_l,,,standalone,,false,,
ingrid,throw_back,throw,後ろ投げ,5,3,23,30,,,1200,false,false,false,,,,l plus p_l k_l,,,standalone,,false,,
ingrid,drive_parry,system,ドライブパリィ,1,12,33,45,,,0,false,false,false,,,,p_m k_m,,,standalone,,false,,
ingrid,sun_bright,unique,サンブライト,21,4,16,40,3,-3,600,false,false,false,,,,r plus p_m,,,standalone,,false,,
ingrid,halo_flight,unique,ヘイローステップ,17,3,24,43,,-4,900,false,false,false,,,,r plus p_h,,,standalone,,false,,
ingrid,pretty_heel_kick,target_combo,エアリートス,12,3,23,37,-3,-11,1300,false,false,true,,,,p_m chain k_m,,,standalone,,false,,6
ingrid,glowing_touch_1hits,unique,グロータッチ(単発),9,3,18,29,4,-4,700,false,false,false,,,,l k_m,,,standalone,,false,,
ingrid,glowing_touch,target_combo,グロータッチ,20,6,21,46,,-11,1500,false,false,true,,,,l k_m chain p_h,,,standalone,,false,,9
ingrid,luminous_uppercut_1hits,unique,ルミナスアッパー(単発),14,5,20,38,,-8,800,false,false,false,,,,l p_h,,,standalone,,false,,
ingrid,luminous_uppercut,target_combo,ルミナスアッパー,23,8,16,46,,-10,1600,false,false,true,,,,l p_h chain p_h,,,standalone,,false,,14
ingrid,satelite_leap,target_combo,サテライトリープ,,,,,,,1400,false,false,true,,,,k_h chain k_h,,,unknown,,false,,
ingrid,sun_shot_light,special,弱サンシュート,17,33,0,49,-2,-6,700,false,true,false,,,,d dr r plus p_l,,,standalone,,false,,
ingrid,sun_shot_medium,special,中サンシュート,17,33,0,49,-2,-6,700,false,true,false,,,,d dr r plus p_m,,,standalone,,false,,
ingrid,sun_shot_heavy,special,強サンシュート,15,34,0,48,-1,-5,700,false,true,false,,,,d dr r plus p_h,,,standalone,,false,,
ingrid,sun_shot_holding_heavy,special,強サンシュート(ホールド),15,32,0,46,,,700,false,true,false,,,,d dr r plus p_h hold,,,standalone,,false,,
ingrid,od_sun_shot_light,special,弱ODサンシュート,17,29,0,45,,1,1000,false,true,false,,,,d dr r plus p_l p_m,,,standalone,,false,,
ingrid,od_sun_shot_medium,special,中ODサンシュート,17,29,0,45,,1,1000,false,true,false,,,,d dr r plus p_l p_h,,,standalone,,false,,
ingrid,od_sun_shot_heavy,special,強ODサンシュート,15,30,0,44,,2,1000,false,true,false,,,,d dr r plus p_m p_h,,,standalone,,false,,
ingrid,sun_flare_light,special,弱サンフレア,1,48,0,48,,,0,false,true,false,,,,d dl l plus p_l,,,standalone,,false,,
ingrid,sun_flare_lv1,special,サンフレア(Lv1),21,6,21,47,,-4,900,false,true,false,,,,d dl l plus p_m alt_sep d dl l plus p_h,,,standalone,,false,,
ingrid,sun_flare_lv2,special,サンフレア(Lv2),18,15,14,46,,4,1100,false,true,false,,,,d dl l plus p_h,,,standalone,,false,,
ingrid,sun_flare_lv3,special,サンフレア(Lv3),18,15,14,46,,5,1350,false,true,false,,,,d dl l plus p_h,,,standalone,,false,,
ingrid,sun_flare_lv1_od,special,ODサンフレア(Lv1),18,15,14,46,,4,1100,false,true,false,,,,d dl l plus p p,,,standalone,,false,,
ingrid,sun_flare_lv2_od,special,ODサンフレア(Lv2),18,15,14,46,,5,1350,false,true,false,,,,d dl l plus p p,,,standalone,,false,,
ingrid,sun_flare_lv3_od,special,ODサンフレア(Lv3),18,18,11,46,,9,1800,false,true,false,,,,d dl l plus p p,,,standalone,,false,,
ingrid,solar_burst_lv1_neutral_od,special,ODソーラーフレア(Lv1)（垂直）,34,8,24,65,,,1100,false,true,false,,,,d dl l plus p p,,,standalone,,true,,
ingrid,solar_burst_lv1_forward_od,special,ODソーラーフレア(Lv1)（前方）,34,8,22,63,,,1100,false,true,false,,,,d dl l plus p p,,,standalone,,true,,
ingrid,solar_burst_lv2_neutral_od,special,ODソーラーフレア(Lv2)（垂直）,34,8,25,66,,,1350,false,true,false,,,,d dl l plus p p,,,standalone,,true,,
ingrid,solar_burst_lv2_forward_od,special,ODソーラーフレア(Lv2)（前方）,34,8,22,63,,,1350,false,true,false,,,,d dl l plus p p,,,standalone,,true,,
ingrid,solar_burst_lv3_neutral_od,special,ODソーラーフレア(Lv3)（垂直）,34,8,22,63,,,1800,false,true,false,,,,d dl l plus p p,,,standalone,,true,,
ingrid,solar_burst_lv3_forward_od,special,ODソーラーフレア(Lv3)（前方）,34,8,22,63,,,1800,false,true,false,,,,d dl l plus p p,,,standalone,,true,,
ingrid,solar_burst_light_neutral,special,弱ソーラーフレア（垂直）,47,1,1,48,,,0,false,true,false,,,,d dl l plus p_l,,,standalone,,false,,
ingrid,solar_burst_light_forward,special,弱ソーラーフレア（前方）,47,1,1,48,,,0,false,true,false,,,,d dl l plus p_l,,,standalone,,false,,
ingrid,solar_burst_lv1_neutral,special,ソーラーフレア(Lv1)（垂直）,34,8,24,65,,,900,false,true,false,,,,d dl l plus p_m alt_sep d dl l plus p_h,,,standalone,,true,,
ingrid,solar_burst_lv1_forward,special,ソーラーフレア(Lv1)（前方）,34,8,22,63,,,900,false,true,false,,,,d dl l plus p_m alt_sep d dl l plus p_h,,,standalone,,true,,
ingrid,solar_burst_lv2_neutral,special,ソーラーフレア(Lv2)（垂直）,34,8,24,65,,,1100,false,true,false,,,,d dl l plus p_h,,,standalone,,true,,
ingrid,solar_burst_lv2_forward,special,ソーラーフレア(Lv2)（前方）,34,8,22,63,,,1100,false,true,false,,,,d dl l plus p_h,,,standalone,,true,,
