character_code,move_code,category,name_ja,startup,active,recovery,total,on_hit,on_block,damage,is_aerial,is_projectile,is_derived,notes,notes_tool,original_move_code,command,condition_ja,condition_en,startup_basis,chain_cancel_total,fastest_unreachable,last_changed_game_version,first_hit_startup
jamie,standing_light_punch,normal,立ち弱P,5,3,9,16,2,-3,300,false,false,false,,,,p_l,,,standalone,,false,,
jamie,drink_level_1_standing_light_punch,normal,[酔いレベル1]立ち弱P,5,2,7,13,5,0,270,false,false,true,,,,p_l,,,standalone,,false,,
jamie,standing_light_kick,normal,立ち弱K,5,2,11,17,3,-1,300,false,false,false,,,,k_l,,,standalone,13,false,,
jamie,standing_medium_punch,normal,立ち中P,8,4,14,25,6,2,600,false,false,false,,,,p_m,,,standalone,,false,,
jamie,standing_medium_kick,normal,立ち中K,9,3,18,29,2,-3,600,false,false,false,,,,k_m,,,standalone,,false,,
jamie,standing_heavy_punch,normal,立ち強P,5,10,20,34,1,-3,900,false,false,false,,,,p_h,,,standalone,,false,,
jamie,standing_heavy_kick,normal,立ち強K,15,3,21,38,3,-5,800,false,false,false,,,,k_h,,,standalone,,false,,
jamie,crouching_light_punch,normal,しゃがみ弱P,4,2,9,14,5,-1,250,false,false,false,,,,d plus p_l,,,standalone,10,false,,
jamie,crouching_light_kick,normal,しゃがみ弱K,5,2,11,17,3,-3,200,false,false,false,,,,d plus k_l,,,standalone,13,false,,
jamie,crouching_medium_punch,normal,しゃがみ中P,6,3,15,23,5,-1,600,false,false,false,,,,d plus p_m,,,standalone,,false,,
jamie,crouching_medium_kick,normal,しゃがみ中K,7,3,18,27,-1,-6,500,false,false,false,,,,d plus k_m,,,standalone,,false,,
jamie,crouching_heavy_punch,normal,しゃがみ強P,8,5,23,35,0,-8,900,false,false,false,,,,d plus p_h,,,standalone,,false,,
jamie,crouching_heavy_kick,normal,しゃがみ強K,9,7,28,43,,-11,800,false,false,false,,,,d plus k_h,,,standalone,,false,,
jamie,jumping_light_punch,normal,ジャンプ弱P,5,9,33,46,,,300,true,false,false,,,,p_l,,,standalone,,true,,
jamie,jumping_light_kick,normal,ジャンプ弱K,5,5,37,46,,,300,true,false,false,,,,k_l,,,standalone,,true,,
jamie,jumping_medium_punch,normal,ジャンプ中P,7,4,36,46,,,700,true,false,false,,,,p_m,,,standalone,,true,,
jamie,jumping_medium_kick,normal,ジャンプ中K,7,6,34,46,,,500,true,false,false,,,,k_m,,,standalone,,true,,
jamie,jumping_heavy_punch,normal,ジャンプ強P,10,6,31,46,,,800,true,false,false,,,,p_h,,,standalone,,true,,
jamie,jumping_heavy_kick,normal,ジャンプ強K,8,12,27,46,,,800,true,false,false,,,,k_h,,,standalone,,true,,
jamie,drive_impact,drive_impact,ドライブインパクト,26,2,35,62,,-3,800,false,false,false,,,,p_h k_h,,,standalone,,false,,
jamie,throw_forward,throw,前投げ,5,3,23,30,,,1200,false,false,false,,,,n or r plus p_l k_l,,,standalone,,false,,
jamie,forward_throw_drink,throw,前投げ(飲酒),5,3,23,30,,,1200,false,false,true,,,,n or r plus p_l k_l chain d plus p_l,,,standalone,,false,,
jamie,forward_throw_reach_drink_lv4,throw,前投げ(飲酒 / 酔いLv4到達),5,3,23,30,,,1259,false,false,true,,,,n or r plus p_l k_l chain d plus p_l,,,standalone,,false,,
