character_code,move_code,category,name_ja,startup,active,recovery,total,on_hit,on_block,damage,is_aerial,is_projectile,is_derived,notes,notes_tool,original_move_code,command,condition_ja,condition_en,startup_basis,chain_cancel_total,fastest_unreachable,last_changed_game_version,first_hit_startup
jp,standing_light_punch,normal,立ち弱P,6,3,10,18,4,-2,300,false,false,false,,,,p_l,,,standalone,13,false,,
jp,standing_light_kick,normal,立ち弱K,5,3,11,18,3,-2,300,false,false,false,,,,k_l,,,standalone,,false,,
jp,standing_medium_punch,normal,立ち中P,12,3,21,35,1,-6,700,false,false,false,,,,p_m,,,standalone,,false,,
jp,standing_medium_kick,normal,立ち中K,8,3,19,29,3,-3,600,false,false,false,,,,k_m,,,standalone,,false,,
jp,standing_heavy_punch,normal,立ち強P,12,2,22,35,3,-3,800,false,false,false,,,,p_h,,,standalone,,false,,
jp,standing_heavy_kick,normal,立ち強K,12,4,17,32,7,2,800,false,false,false,,,,k_h,,,standalone,,false,,
jp,crouching_light_punch,normal,しゃがみ弱P,4,2,11,16,4,-1,300,false,false,false,,,,d plus p_l,,,standalone,12,false,,
jp,crouching_light_kick,normal,しゃがみ弱K,6,2,10,17,2,-2,200,false,false,false,,,,d plus k_l,,,standalone,12,false,,
jp,crouching_medium_punch,normal,しゃがみ中P,7,4,14,24,6,-2,600,false,false,false,,,,d plus p_m,,,standalone,,false,,
jp,crouching_medium_kick,normal,しゃがみ中K,9,3,17,28,3,-3,700,false,false,false,,,,d plus k_m,,,standalone,,false,,
jp,crouching_heavy_punch,normal,しゃがみ強P,9,6,20,34,1,-6,800,false,false,false,,,,d plus p_h,,,standalone,,false,,
jp,crouching_heavy_kick,normal,しゃがみ強K,10,3,21,33,,-6,900,false,false,false,,,,d plus k_h,,,standalone,,false,,
jp,jumping_light_punch,normal,ジャンプ弱P,5,10,32,46,,,300,true,false,false,,,,p_l,,,standalone,,true,,
jp,jumping_light_kick,normal,ジャンプ弱K,6,8,33,46,,,300,true,false,false,,,,k_l,,,standalone,,true,,
jp,jumping_medium_punch,normal,ジャンプ中P,12,3,32,46,,,700,true,false,false,,,,p_m,,,standalone,,true,,
jp,jumping_medium_kick,normal,ジャンプ中K,7,6,34,46,,,600,true,false,false,,,,k_m,,,standalone,,true,,
jp,jumping_heavy_punch,normal,ジャンプ強P,9,5,33,46,,,800,true,false,false,,,,p_h,,,standalone,,true,,
jp,jumping_heavy_kick,normal,ジャンプ強K,11,6,30,46,,,800,true,false,false,,,,k_h,,,standalone,,true,,
jp,drive_impact,drive_impact,ドライブインパクト,26,2,35,62,,-3,800,false,false,false,,,,p_h k_h,,,standalone,,false,,
jp,throw_forward,throw,前投げ,5,3,23,30,,,1200,false,false,false,,,,n or r plus p_l k_l,,,standalone,,false,,
jp,throw_back,throw,後ろ投げ,5,3,23,30,,,1200,false,false,false,,,,l plus p_l k_l,,,standalone,,false,,
jp,tornado,throw,タルナード,5,3,39,46,,,1200,false,false,false,,,,p_l k_l,,,standalone,,false,,
jp,drive_parry,system,ドライブパリィ,1,12,33,45,,,0,false,false,false,,,,p_m k_m,,,standalone,,false,,
jp,guillotinna,unique,ギリオチーナ,22,2,19,42,3,-3,700,false,false,false,,,,r plus k_m,,,standalone,,false,,
jp,malice,unique,シャーロスチ,16,3,31,49,,-14,900,false,false,false,,,,dr plus p_h,,,standalone,,false,,
jp,bylina,unique,ヴィリーナ,11,6,24,40,,-5,900,false,false,false,,,,r plus k_h,,,standalone,,false,,
jp,grom_strelka_1hit,unique,グロームストレルカ(単発),8,3,16,26,5,-1,500,false,false,false,,,,l plus p_m,,,standalone,,false,,
jp,grom_strelka,target_combo,グロームストレルカ,10,3,20,32,3,-6,1000,false,false,true,,,,l plus p_m chain p_m,,,standalone,,false,,8
jp,triglav_light,special,弱トリグラフ,22,10,24,55,,-2,800,false,true,false,,,,d d plus p_l,,,standalone,,false,,
jp,triglav_medium,special,中トリグラフ,22,10,24,55,,-2,800,false,true,false,,,,d d plus p_m,,,standalone,,false,,
jp,triglav_heavy,special,強トリグラフ,22,10,24,55,,-2,800,false,true,false,,,,d d plus p_h,,,standalone,,false,,
jp,triglav_od,special,ODトリグラフ,20,20,14,53,,3,1000,false,true,false,,,,d d plus p p,,,standalone,,false,,
jp,stribog_light,special,弱ストリボーグ,16,6,28,49,,-10,1000,false,false,false,,,,d dr r plus p_l,,,standalone,,false,,
