character_code,move_code,category,name_ja,startup,active,recovery,total,on_hit,on_block,damage,is_aerial,is_projectile,is_derived,notes,notes_tool,original_move_code,command,condition_ja,condition_en,startup_basis,chain_cancel_total,fastest_unreachable,last_changed_game_version,first_hit_startup
juri,standing_light_punch,normal,立ち弱P,4,4,7,14,5,-2,300,false,false,false,,,,p_l,,,standalone,10,false,,
juri,standing_light_kick,normal,立ち弱K,5,3,9,16,2,-3,300,false,false,false,,,,k_l,,,standalone,,false,,
juri,standing_medium_punch,normal,立ち中P,6,4,12,21,7,2,600,false,false,false,,,,p_m,,,standalone,,false,,
juri,standing_medium_kick,normal,立ち中K,5,6,17,27,3,-4,700,false,false,false,,,,k_m,,,standalone,,false,,
juri,standing_heavy_punch,normal,立ち強P,10,3,24,36,-1,-5,800,false,false,false,,,,p_h,,,standalone,,false,,
juri,standing_heavy_kick,normal,立ち強K,17,4,19,39,2,-3,900,false,false,false,,,,k_h,,,standalone,,false,,
juri,crouching_light_punch,normal,しゃがみ弱P,4,3,8,14,4,-1,300,false,false,false,,,,d plus p_l,,,standalone,10,false,,
juri,crouching_light_kick,normal,しゃがみ弱K,5,3,8,15,3,-1,200,false,false,false,,,,d plus k_l,,,standalone,13,false,,
juri,crouching_medium_punch,normal,しゃがみ中P,6,4,15,24,5,-2,600,false,false,false,,,,d plus p_m,,,standalone,,false,,
juri,crouching_medium_kick,normal,しゃがみ中K,8,3,19,29,1,-6,500,false,false,false,,,,d plus k_m,,,standalone,,false,,
juri,crouching_heavy_punch,normal,しゃがみ強P,8,4,23,34,3,-11,900,false,false,false,,,,d plus p_h,,,standalone,,false,,
juri,crouching_heavy_kick,normal,しゃがみ強K,10,3,23,35,,-11,900,false,false,false,,,,d plus k_h,,,standalone,,false,,
juri,jumping_light_punch,normal,ジャンプ弱P,5,6,36,46,,,300,true,false,false,,,,p_l,,,standalone,,true,,
juri,jumping_light_kick,normal,ジャンプ弱K,4,6,37,46,,,300,true,false,false,,,,k_l,,,standalone,,true,,
juri,jumping_medium_punch,normal,ジャンプ中P,7,5,35,46,,,500,true,false,false,,,,p_m,,,standalone,,true,,
juri,jumping_medium_kick,normal,ジャンプ中K,6,6,35,46,,,500,true,false,false,,,,k_m,,,standalone,,true,,
