character_code,move_code,category,name_ja,startup,active,recovery,total,on_hit,on_block,damage,is_aerial,is_projectile,is_derived,notes,notes_tool,original_move_code,command,condition_ja,condition_en,startup_basis,chain_cancel_total,fastest_unreachable,last_changed_game_version,first_hit_startup
ken,standing_light_punch,normal,立ち弱P,4,3,7,13,4,-1,300,false,false,false,,,,p_l,,,standalone,9,false,,
ken,standing_light_kick,normal,立ち弱K,5,2,12,18,0,-2,300,false,false,false,,,,k_l,,,standalone,,false,,
ken,standing_medium_punch,normal,立ち中P,5,4,14,22,4,-2,600,false,false,false,,,,p_m,,,standalone,,false,,
ken,standing_medium_kick,normal,立ち中K,8,3,20,30,3,-5,600,false,false,false,,,,k_m,,,standalone,,false,,
ken,standing_heavy_punch,normal,立ち強P,10,5,17,31,3,-2,800,false,false,false,,,,p_h,,,standalone,,false,,
ken,standing_heavy_kick,normal,立ち強K,12,2,25,38,1,-5,800,false,false,false,,,,k_h,,,standalone,,false,,
ken,crouching_light_punch,normal,しゃがみ弱P,4,2,9,14,5,-1,300,false,false,false,,,,d plus p_l,,,standalone,10,false,,
ken,crouching_light_kick,normal,しゃがみ弱K,5,3,10,17,1,-3,200,false,false,false,,,,d plus k_l,,,standalone,13,false,,
ken,crouching_medium_punch,normal,しゃがみ中P,6,3,16,24,3,0,700,false,false,false,,,,d plus p_m,,,standalone,,false,,
ken,crouching_medium_kick,normal,しゃがみ中K,7,3,19,28,-2,-6,500,false,false,false,,,,d plus k_m,,,standalone,,false,,
ken,crouching_heavy_punch,normal,しゃがみ強P,8,4,24,35,3,-7,800,false,false,false,,,,d plus p_h,,,standalone,,false,,
ken,crouching_heavy_kick,normal,しゃがみ強K,8,3,24,34,,-10,900,false,false,false,,,,d plus k_h,,,standalone,,false,,
ken,jumping_light_punch,normal,ジャンプ弱P,5,7,35,46,,,300,true,false,false,,,,p_l,,,standalone,,true,,
ken,jumping_light_kick,normal,ジャンプ弱K,6,6,35,46,,,300,true,false,false,,,,k_l,,,standalone,,true,,
ken,jumping_medium_punch,normal,ジャンプ中P,6,4,37,46,,,700,true,false,false,,,,p_m,,,standalone,,true,,
ken,jumping_medium_kick,normal,ジャンプ中K,7,6,34,46,,,500,true,false,false,,,,k_m,,,standalone,,true,,
ken,jumping_heavy_punch,normal,ジャンプ強P,9,6,32,46,,,800,true,false,false,,,,p_h,,,standalone,,true,,
ken,jumping_heavy_kick,normal,ジャンプ強K,10,7,30,46,,,800,true,false,false,,,,k_h,,,standalone,,true,,
ken,neutral_jumping_heavy_kick,normal,垂直ジャンプ強K,6,6,35,46,,,900,true,false,false,,,,k_h,,,standalone,,true,,
ken,drive_impact,drive_impact,ドライブインパクト,26,2,35,62,,-3,800,false,false,false,,,,p_h k_h,,,standalone,,false,,
ken,throw_forward,throw,前投げ,5,3,23,30,,,1200,false,false,false,,,,n or r plus p_l k_l,,,standalone,,false,,
ken,throw_back,throw,後ろ投げ,5,3,23,30,,,1200,false,false,false,,,,l plus p_l k_l,,,standalone,,false,,
ken,drive_parry,system,ドライブパリィ,1,12,33,45,,,0,false,false,false,,,,p_m k_m,,,standalone,,false,,
ken,quick_dash,unique,奮迅脚,1,45,0,45,,,0,false,false,false,,,,k k,,,standalone,,false,,
ken,emergency_stop,unique,急停止,1,27,0,27,,,0,false,false,true,,,,k_l,,,through,,false,,
ken,thunder_kick,unique,紫電カカト落とし,29,3,20,51,3,-3,1000,false,false,true,,,,k_m,,,through,,false,,
ken,forward_step_kick,unique,踏み込み前蹴り,21,4,20,44,3,-4,800,false,false,true,,,,k_h,,,through,,false,,
ken,hadoken_light,special,弱波動拳,16,34,0,49,-1,-7,600,false,true,false,,,,d dr r plus p_l,,,standalone,,false,,
ken,hadoken_medium,special,中波動拳,14,36,0,49,-3,-9,600,false,true,false,,,,d dr r plus p_m,,,standalone,,false,,
ken,hadoken_heavy,special,強波動拳,12,38,0,49,-5,-11,600,false,true,false,,,,d dr r plus p_h,,,standalone,,false,,
ken,hadoken_od,special,OD波動拳,12,29,0,40,2,-2,800,false,true,false,,,,d dr r plus p p,,,standalone,,false,,
ken,shoryuken_light,special,弱昇龍拳,5,10,33,47,,-23,1100,false,false,false,,,,r d dr plus p_l,,,standalone,,false,,
ken,shoryuken_medium,special,中昇龍拳,6,10,40,55,,-28,1300,false,false,false,,,,r d dr plus p_m,,,standalone,,false,,
ken,shoryuken_heavy,special,強昇龍拳,7,10,50,66,,-36,1400,false,false,false,,,,r d dr plus p_h,,,standalone,,false,,
ken,shoryuken_od,special,OD昇龍拳,6,34,50,89,,-40,1600,false,false,false,,,,r d dr plus p p,,,standalone,,false,,
ken,quick_dash_shoryuken,special,[奮迅脚]昇龍拳,19,11,48,77,,-35,1700,false,false,true,,,,r d dr plus p,,,through,,false,,
ken,tatsumaki_senpu_kyaku_light,special,弱竜巻旋風脚,4,11,32,46,,-14,700,false,false,false,,,,d dl l plus k_l,,,standalone,,false,,
ken,tatsumaki_senpu_kyaku_medium,special,中竜巻旋風脚,14,17,31,61,,-12,900,false,false,false,,,,d dl l plus k_m,,,standalone,,false,,
ken,tatsumaki_senpu_kyaku_heavy,special,強竜巻旋風脚,16,32,31,78,,-12,1000,false,false,false,,,,d dl l plus k_h,,,standalone,,false,,
ken,tatsumaki_senpu_kyaku_od,special,OD竜巻旋風脚,9,48,34,90,,-61,1700,false,false,false,,,,d dl l plus k k,,,standalone,,false,,
ken,quick_dash_tatsumaki_senpu_kyaku,special,[奮迅脚]竜巻旋風脚,23,46,20,88,3,-9,1200,false,false,true,,,,d dl l plus k,,,through,,false,,
ken,aerial_tatsumaki_senpu_kyaku,special,空中竜巻旋風脚,16,17,58,90,,,900,false,false,false,,,,d dl l plus k,,,standalone,,false,,
ken,aerial_tatsumaki_senpu_kyaku_od,special,OD空中竜巻旋風脚,16,18,31,64,,,1800,false,false,false,,,,d dl l plus k k,,,standalone,,false,,
ken,dragonlash_kick_light,special,弱龍尾脚,18,6,21,44,2,-4,1000,false,false,false,,,,r d dr plus k_l,,,standalone,,false,,
ken,dragonlash_kick_medium,special,中龍尾脚,23,5,25,52,3,-8,1100,false,false,false,,,,r d dr plus k_m,,,standalone,,false,,
ken,dragonlash_kick_heavy,special,強龍尾脚,28,5,21,53,3,1,1200,false,false,false,,,,r d dr plus k_h,,,standalone,,false,,
ken,dragonlash_kick_od,special,OD龍尾脚,9,15,24,47,1,-9,700,false,false,false,,,,r d dr plus k k,,,standalone,,false,,
ken,quick_dash_dragonlash_kick,special,[奮迅脚]龍尾脚,20,15,24,58,2,-8,700,false,false,true,,,,r d dr plus k,,,through,,false,,
ken,jinrai_kick_light,special,弱迅雷脚,12,3,28,42,1,-11,500,false,false,false,,,,d dr r plus k_l,,,standalone,,false,,
ken,jinrai_kick_medium,special,中迅雷脚,16,3,24,42,2,-7,600,false,false,false,,,,d dr r plus k_m,,,standalone,,false,,
ken,jinrai_kick_heavy,special,強迅雷脚,25,3,19,46,,-2,700,false,false,false,,,,d dr r plus k_h,,,standalone,,false,,
ken,jinrai_kick_od,special,OD迅雷脚,13,3,25,40,-4,-7,600,false,false,false,,,,d dr r plus k k,,,standalone,,false,,
ken,kazekama_shin_kick_od,special,OD風鎌蹴り,26,3,20,48,3,-5,500,false,false,true,,,,r plus k_l,,,through,,false,,
ken,kazekama_shin_kick,special,風鎌蹴り,6,4,19,28,3,-5,600,false,false,true,,,,r plus k_l,,,unknown,,false,,
ken,gorai_axe_kick_od,special,OD轟雷落とし,37,3,24,63,-3,-7,1000,false,false,true,,,,r plus k_m,,,through,,false,,
ken,gorai_axe_kick,special,轟雷落とし,18,3,20,40,3,-3,1000,false,false,true,,,,r plus k_m,,,unknown,,false,,
ken,senka_snap_kick_od,special,OD閃火脚,28,6,18,51,,-4,800,false,false,true,,,,r plus k_h,,,through,,false,,
ken,senka_snap_kick,special,閃火脚,10,3,25,37,,-3,800,false,false,true,,,,r plus k_h,,,unknown,,false,,
