character_code,move_code,category,name_ja,startup,active,recovery,total,on_hit,on_block,damage,is_aerial,is_projectile,is_derived,notes,notes_tool,original_move_code,command,condition_ja,condition_en,startup_basis,chain_cancel_total,fastest_unreachable,last_changed_game_version,first_hit_startup
kimberly,standing_light_punch,normal,立ち弱P,5,2,8,14,5,-2,270,false,false,false,,,,p_l,,,standalone,10,false,,
kimberly,standing_light_kick,normal,立ち弱K,5,3,11,18,1,-3,270,false,false,false,,,,k_l,,,standalone,,false,,
kimberly,standing_medium_punch,normal,立ち中P,6,3,18,26,3,-2,540,false,false,false,,,,p_m,,,standalone,,false,,
kimberly,standing_medium_kick,normal,立ち中K,8,3,18,28,1,-4,540,false,false,false,,,,k_m,,,standalone,,false,,
kimberly,standing_heavy_punch,normal,立ち強P,9,3,20,31,3,-4,630,false,false,false,,,,p_h,,,standalone,,false,,
kimberly,standing_heavy_kick,normal,立ち強K,12,4,17,32,7,2,630,false,false,false,,,,k_h,,,standalone,,false,,
kimberly,crouching_light_punch,normal,しゃがみ弱P,4,3,7,13,4,-1,270,false,false,false,,,,d plus p_l,,,standalone,9,false,,
kimberly,crouching_light_kick,normal,しゃがみ弱K,5,3,7,14,4,-2,180,false,false,false,,,,d plus k_l,,,standalone,9,false,,
kimberly,crouching_medium_punch,normal,しゃがみ中P,6,3,15,23,7,-1,500,false,false,false,,,,d plus p_m,,,standalone,,false,,
kimberly,crouching_medium_kick,normal,しゃがみ中K,7,3,16,25,5,1,540,false,false,false,,,,d plus k_m,,,standalone,,false,,
kimberly,crouching_heavy_punch,normal,しゃがみ強P,8,6,17,30,3,-2,720,false,false,false,,,,d plus p_h,,,standalone,,false,,
kimberly,crouching_heavy_kick,normal,しゃがみ強K,8,3,24,34,,-10,810,false,false,false,,,,d plus k_h,,,standalone,,false,,
kimberly,jumping_light_punch,normal,ジャンプ弱P,4,10,33,46,,,270,true,false,false,,,,p_l,,,standalone,,true,,
kimberly,jumping_light_kick,normal,ジャンプ弱K,5,10,32,46,,,270,true,false,false,,,,k_l,,,standalone,,true,,
kimberly,jumping_medium_punch,normal,ジャンプ中P,6,4,37,46,,,450,true,false,false,,,,p_m,,,standalone,,true,,
kimberly,jumping_medium_kick,normal,ジャンプ中K,7,6,34,46,,,540,true,false,false,,,,k_m,,,standalone,,true,,
kimberly,jumping_heavy_punch,normal,ジャンプ強P,8,5,34,46,,,630,true,false,false,,,,p_h,,,standalone,,true,,
