character_code,move_code,category,name_ja,startup,active,recovery,total,on_hit,on_block,damage,is_aerial,is_projectile,is_derived,notes,notes_tool,original_move_code,command,condition_ja,condition_en,startup_basis,chain_cancel_total,fastest_unreachable,last_changed_game_version,first_hit_startup
lily,standing_light_punch,normal,立ち弱P,5,3,8,15,6,-1,350,false,false,false,,,,p_l,,,standalone,11,false,,
lily,standing_light_kick,normal,立ち弱K,4,3,8,14,5,-1,300,false,false,false,,,,k_l,,,standalone,10,false,,
lily,standing_medium_punch,normal,立ち中P,9,4,17,29,1,-4,800,false,false,false,,,,p_m,,,standalone,,false,,
lily,standing_medium_kick,normal,立ち中K,7,3,15,24,2,-1,600,false,false,false,,,,k_m,,,standalone,,false,,
lily,standing_heavy_punch,normal,立ち強P,10,3,22,34,0,-5,900,false,false,false,,,,p_h,,,standalone,,false,,
lily,standing_heavy_kick,normal,立ち強K,14,4,21,38,1,-5,1000,false,false,false,,,,k_h,,,standalone,,false,,
lily,crouching_light_punch,normal,しゃがみ弱P,6,3,8,16,6,-1,300,false,false,false,,,,d plus p_l,,,standalone,12,false,,
lily,crouching_light_kick,normal,しゃがみ弱K,5,2,12,18,2,-2,200,false,false,false,,,,d plus k_l,,,standalone,12,false,,
lily,crouching_medium_punch,normal,しゃがみ中P,8,3,18,28,1,-3,700,false,false,false,,,,d plus p_m,,,standalone,,false,,
lily,crouching_medium_kick,normal,しゃがみ中K,9,3,18,29,1,-5,500,false,false,false,,,,d plus k_m,,,standalone,,false,,
lily,crouching_heavy_punch,normal,しゃがみ強P,10,6,22,37,0,-2,1000,false,false,false,,,,d plus p_h,,,standalone,,false,,
lily,crouching_heavy_kick,normal,しゃがみ強K,11,10,24,44,,-12,900,false,false,false,,,,d plus k_h,,,standalone,,false,,
lily,jumping_light_punch,normal,ジャンプ弱P,5,9,35,48,,,300,true,false,false,,,,p_l,,,standalone,,true,,
lily,jumping_light_kick,normal,ジャンプ弱K,6,6,37,48,,,300,true,false,false,,,,k_l,,,standalone,,true,,
lily,jumping_medium_punch,normal,ジャンプ中P,9,4,36,48,,,700,true,false,false,,,,p_m,,,standalone,,true,,
lily,jumping_medium_kick,normal,ジャンプ中K,8,5,36,48,,,500,true,false,false,,,,k_m,,,standalone,,true,,
lily,jumping_heavy_punch,normal,ジャンプ強P,10,6,33,48,,,800,true,false,false,,,,p_h,,,standalone,,true,,
lily,jumping_heavy_kick,normal,ジャンプ強K,11,6,32,48,,,800,true,false,false,,,,k_h,,,standalone,,true,,
lily,drive_impact,drive_impact,ドライブインパクト,26,2,35,62,,-3,800,false,false,false,,,,p_h k_h,,,standalone,,false,,
lily,throw_forward,throw,前投げ,5,3,23,30,,,1200,false,false,false,,,,n or r plus p_l k_l,,,standalone,,false,,
lily,throw_back,throw,後ろ投げ,5,3,23,30,,,1200,false,false,false,,,,l plus p_l k_l,,,standalone,,false,,
lily,drive_parry,system,ドライブパリィ,1,12,33,45,,,0,false,false,false,,,,p_m k_m,,,standalone,,false,,
lily,ridge_thrust,unique,スラストリッジ,25,3,18,45,2,-3,900,false,false,false,,,,dr plus p_h,,,standalone,,false,,
lily,horn_breaker,unique,ホーンブレイク,14,4,18,35,5,-2,1000,false,false,false,,,,l plus p_h,,,standalone,,false,,
lily,great_spin,unique,グレートスピン,9,11,29,48,,,800,true,false,false,,,,d plus p_h,,,standalone,,true,,
lily,desert_storm_1hits,unique,デザートストーム(単発),16,2,24,41,2,-4,900,false,false,false,,,,r plus p_h,,,standalone,,false,,
lily,condor_wind_light,special,弱コンドルウィンド,1,47,0,47,,,,false,false,false,,,,d dl l plus p_l,,,standalone,,false,,
lily,condor_wind_medium,special,中コンドルウィンド,23,4,25,51,2,-8,900,false,false,false,,,,d dl l plus p_m,,,standalone,,false,,
lily,condor_wind_heavy,special,強コンドルウィンド,25,4,25,53,,-8,1100,false,false,false,,,,d dl l plus p_h,,,standalone,,false,,
lily,condor_wind_od,special,ODコンドルウィンド,19,4,23,45,,-5,1200,false,false,false,,,,d dl l plus p p,,,standalone,,false,,
lily,condor_spire_light,special,弱コンドルスパイア,17,13,16,45,,-8,800,false,false,false,,,,d dr r plus k_l,,,standalone,,false,,
lily,windclad_light_condor_spire,special,[風纏い]弱コンドルスパイア,9,29,14,51,,1,1000,false,false,true,,,,d dr r plus k_l,,,standalone,,false,,
lily,condor_spire_medium,special,中コンドルスパイア,21,13,16,49,,-8,900,false,false,false,,,,d dr r plus k_m,,,standalone,,false,,
lily,windclad_medium_condor_spire,special,[風纏い]中コンドルスパイア,13,29,14,55,,1,1100,false,false,true,,,,d dr r plus k_m,,,standalone,,false,,
lily,condor_spire_heavy,special,強コンドルスパイア,25,13,16,53,,-8,1000,false,false,false,,,,d dr r plus k_h,,,standalone,,false,,
lily,windclad_heavy_condor_spire,special,[風纏い]強コンドルスパイア,17,29,14,59,,1,1200,false,false,true,,,,d dr r plus k_h,,,standalone,,false,,
lily,condor_spire_od,special,ODコンドルスパイア,15,13,13,40,,-8,1000,false,false,false,,,,d dr r plus k k,,,standalone,,false,,
lily,windclad_od_condor_spire,special,[風纏い]ODコンドルスパイア,9,24,14,46,,2,1200,false,false,true,,追加入力（弱中or弱強か中強）で性能変わるがフレーム影響なし,,d dr r plus k k,,,standalone,,false,,
