character_code,move_code,category,name_ja,startup,active,recovery,total,on_hit,on_block,damage,is_aerial,is_projectile,is_derived,notes,notes_tool,original_move_code,command,condition_ja,condition_en,startup_basis,chain_cancel_total,fastest_unreachable,last_changed_game_version,first_hit_startup
luke,standing_light_punch,normal,立ち弱P,7,2,14,22,2,-3,300,false,false,false,,,,p_l,,,standalone,,false,,
luke,standing_light_kick,normal,立ち弱K,5,2,12,18,3,-2,300,false,false,false,,,,k_l,,,standalone,,false,,
luke,standing_medium_punch,normal,立ち中P,9,4,16,28,2,-3,600,false,false,false,,,,p_m,,,standalone,,false,,
luke,standing_medium_kick,normal,立ち中K,8,3,19,29,1,-3,700,false,false,false,,,,k_m,,,standalone,,false,,
luke,standing_heavy_punch,normal,立ち強P,10,3,23,35,1,-5,800,false,false,false,,,,p_h,,,standalone,,false,,
luke,standing_heavy_kick,normal,立ち強K,10,7,16,32,2,-5,900,false,false,false,,,,k_h,,,standalone,,false,,
luke,crouching_light_punch,normal,しゃがみ弱P,4,2,10,15,4,-2,300,false,false,false,,,,d plus p_l,,,standalone,10,false,,
luke,crouching_light_kick,normal,しゃがみ弱K,5,3,11,18,0,-3,200,false,false,false,,,,d plus k_l,,,standalone,13,false,,
luke,crouching_medium_punch,normal,しゃがみ中P,6,2,17,24,5,1,600,false,false,false,,,,d plus p_m,,,standalone,,false,,
luke,crouching_medium_kick,normal,しゃがみ中K,8,3,19,29,-2,-6,500,false,false,false,,,,d plus k_m,,,standalone,,false,,
luke,crouching_heavy_punch,normal,しゃがみ強P,7,5,24,35,1,-13,800,false,false,false,,,,d plus p_h,,,standalone,,false,,
luke,crouching_heavy_kick,normal,しゃがみ強K,10,3,24,36,,-9,900,false,false,false,,,,d plus k_h,,,standalone,,false,,
luke,jumping_light_punch,normal,ジャンプ弱P,5,9,33,46,,,300,true,false,false,,,,p_l,,,standalone,,true,,
luke,jumping_light_kick,normal,ジャンプ弱K,6,6,35,46,,,300,true,false,false,,,,k_l,,,standalone,,true,,
luke,jumping_medium_punch,normal,ジャンプ中P,9,4,34,46,,,700,true,false,false,,,,p_m,,,standalone,,true,,
luke,jumping_medium_kick,normal,ジャンプ中K,7,6,34,46,,,500,true,false,false,,,,k_m,,,standalone,,true,,
luke,jumping_heavy_punch,normal,ジャンプ強P,9,6,32,46,,,800,true,false,false,,,,p_h,,,standalone,,true,,
luke,jumping_heavy_kick,normal,ジャンプ強K,10,6,31,46,,,800,true,false,false,,,,k_h,,,standalone,,true,,
luke,drive_impact,drive_impact,ドライブインパクト,26,2,35,62,,-3,800,false,false,false,,,,p_h k_h,,,standalone,,false,,
luke,throw_forward,throw,前投げ,5,3,23,30,,,1200,false,false,false,,,,n or r plus p_l k_l,,,standalone,,false,,
luke,throw_back,throw,後ろ投げ,5,3,23,30,,,1200,false,false,false,,,,l plus p_l k_l,,,standalone,,false,,
luke,drive_parry,system,ドライブパリィ,1,12,33,45,,,0,false,false,false,,,,p_m k_m,,,standalone,,false,,
luke,rawhide,unique,ローハイド,21,2,21,43,2,-3,600,false,false,false,,,,r plus p_m,,,standalone,,false,,
luke,suppressor,unique,サプレッサー,16,3,20,38,3,-3,800,false,false,false,,,,l plus p_h,,,standalone,,false,,
luke,outlaw_kick,unique,アウトローキック,12,4,24,39,4,-3,1000,false,false,false,,,,l plus k_h,,,standalone,,false,,
luke,double_impact_1hit,unique,ダブルインパクト(単発),16,3,19,37,3,-3,800,false,false,false,,,,r plus p_h,,,standalone,,false,,
luke,double_impact,target_combo,ダブルインパクト,11,2,34,46,,-19,1400,false,false,true,,,,r plus p_h chain p_h,,,standalone,,false,,16
luke,sand_blast_light,special,弱サンドブラスト,14,5,29,47,-3,-8,600,false,true,false,,,,d dr r plus p_l,,,standalone,,false,,
luke,sand_blast_medium,special,中サンドブラスト,17,7,24,47,0,-5,600,false,true,false,,,,d dr r plus p_m,,,standalone,,false,,
luke,sand_blast_heavy,special,強サンドブラスト,20,10,18,47,3,-2,600,false,true,false,,,,d dr r plus p_h,,,standalone,,false,,
luke,sand_blast_od,special,ODサンドブラスト,16,18,7,40,,-2,800,false,true,false,,,,d dr r plus p p,,,standalone,,false,,
luke,fatal_shot,special,フェイタルショット,8,9,34,50,,-21,1600,false,true,true,,,,p p,,,through,,false,,
luke,flash_knuckle_light,special,弱フラッシュナックル,13,3,27,42,,-12,700,false,false,false,,,,d dl l plus p_l,,,standalone,,false,,
luke,flash_knuckle_holding_light,special,【ホールド】弱フラッシュナックル,26,4,25,54,,-8,800,false,false,false,,,,d dl l plus p_l hold,,,standalone,,false,,
luke,flash_knuckle_perfect_light,special,【ジャスト】弱フラッシュナックル,26,4,22,51,,-8,900,false,false,true,,,,d dl l plus p_l hold,,,standalone,,false,,
luke,flash_knuckle_medium,special,中フラッシュナックル,19,3,27,48,3,-8,900,false,false,false,,,,d dl l plus p_m,,,standalone,,false,,
luke,flash_knuckle_holding_medium,special,【ホールド】中フラッシュナックル,29,4,26,58,,-3,1000,false,false,false,,,,d dl l plus p_m hold,,,standalone,,false,,
luke,flash_knuckle_perfect_medium,special,【ジャスト】中フラッシュナックル,29,4,26,58,,-3,1100,false,false,true,,,,d dl l plus p_m hold,,,standalone,,false,,
luke,flash_knuckle_heavy,special,強フラッシュナックル,22,3,21,45,,-4,1000,false,false,false,,,,d dl l plus p_h,,,standalone,,false,,
luke,flash_knuckle_holding_heavy,special,【ホールド】強フラッシュナックル(ホールド),33,4,24,60,,4,1300,false,false,false,,,,d dl l plus p_h hold,,,standalone,,false,,
luke,flash_knuckle_perfect_heavy,special,【ジャスト】強フラッシュナックル,33,4,24,60,,4,1600,false,false,true,,,,d dl l plus p_h hold,,,standalone,,false,,
luke,flash_knuckle_od,special,ODフラッシュナックル,15,3,39,56,,-22,800,false,false,false,,,,d dl l plus p p,,,standalone,,false,,
luke,ddt,special,DDT,1,161,0,161,,,2500,false,false,true,,,,p p,,,standalone,,false,,
luke,aerial_flash_knuckle_od,special,ODエアフラッシュナックル,25,6,45,75,,,1300,false,false,false,,,,d dl l plus p p,,,standalone,,false,,
luke,aerial_flash_knuckle_holding,special,【ホールド】エアフラッシュナックル,34,6,44,83,,,1000,false,false,false,,,,d dl l plus p hold,,,standalone,,false,,
luke,aerial_flash_knuckle,special,エアフラッシュナックル,25,5,43,72,,,700,false,false,false,,,,d dl l plus p,,,standalone,,false,,
luke,avenger_od,special,ODアベンジャー,3,33,10,45,,,0,false,false,false,,アーマーが出るまでを発生にしたがダメージのない技,,d dr r plus k k,,,standalone,,false,,
luke,avenger,special,アベンジャー,1,45,0,45,,,0,false,false,false,,,,d dr r plus k,,,standalone,,false,,
luke,no_chaser_od,special,ODノーチェイサー,23,10,16,48,,-6,1300,false,false,true,,,,p,,,through,,false,,
luke,no_chaser,special,ノーチェイサー,24,10,16,49,,-6,900,false,false,true,,,,p,,,through,,false,,
luke,impaler_od,special,ODインパラー,24,8,19,50,,-3,1200,false,false,true,,,,k,,,through,,false,,
luke,impaler,special,インパラー,25,8,27,59,,-8,1200,false,false,true,,,,k,,,through,,false,,
luke,rising_uppercut_light,special,弱ライジングアッパー,5,10,34,48,,-27,900,false,false,false,,,,r d dr plus p_l,,,standalone,,false,,
luke,rising_uppercut_medium,special,中ライジングアッパー,6,10,36,51,,-29,1000,false,false,false,,,,r d dr plus p_m,,,standalone,,false,,
luke,rising_uppercut_heavy,special,強ライジングアッパー,9,10,40,58,,-33,1200,false,false,false,,,,r d dr plus p_h,,,standalone,,false,,
luke,rising_uppercut_od,special,ODライジングアッパー,6,10,50,65,,-40,1400,false,false,false,,,,r d dr plus p p,,,standalone,,false,,
luke,slam_dunk,special,スラムダンク,16,3,30,48,,,600,false,false,true,,,,p p,,,standalone,,false,,
luke,sa1_vulcan_blast,super_art,SA1 バルカンブラスト,6,57,46,108,,-29,2000,false,true,false,,,,d dr r d dr r plus p,,,standalone,,false,,
luke,sa2_eraser,super_art,SA2 イレイザー,5,3,51,58,,-29,2800,false,false,false,,,,d dl l d dl l plus p,,,standalone,,false,,
luke,sa3_pale_rider,super_art,SA3 ペイルライダー,10,21,92,122,,-42,4000,false,false,false,,,,d dr r d dr r plus k,,,standalone,,false,,
luke,ca_pale_rider,critical_art,CA ペイルライダー,10,21,92,122,,-42,4500,false,false,false,,,,d dr r d dr r plus k,,,standalone,,false,,
luke,triple_impact_2hits,target_combo,トリプルインパクト(2発止め),8,4,20,31,-2,-9,620,false,false,true,,,,p_l chain p_m,,,standalone,,false,,7
luke,triple_impact,target_combo,トリプルインパクト,10,3,27,39,,-14,1180,false,false,true,,,,p_l chain p_m chain p_h,,,standalone,,false,,7
luke,nose_breaker,target_combo,ノーズブレイカー,9,3,25,36,2,-8,980,false,false,true,,,,d plus k_m chain d plus p_h,,,standalone,,false,,8
luke,snapback_combo_2hits,target_combo,スナップバックコンボ(2発止め),12,2,23,36,,-8,900,false,false,true,,,,p_m chain p_m,,,standalone,,false,,9
luke,snapback_combo_3hits,target_combo,スナップバックコンボ(3発止め),11,2,29,41,-6,-14,1140,false,false,true,,,,p_m chain p_m chain p_m,,,standalone,,false,,9
luke,snapback_combo,target_combo,スナップバックコンボ,11,2,24,36,,-12,1490,false,false,true,,,,p_m chain p_m chain p_m chain p_m,,,standalone,,false,,9
luke,rush_standing_light_punch,rush_variant,立ち弱P(ラッシュ),18,2,14,33,6,1,300,false,false,true,,,standing_light_punch,,,,through,,false,,
luke,rush_standing_light_kick,rush_variant,立ち弱K(ラッシュ),16,2,12,29,7,2,300,false,false,true,,,standing_light_kick,,,,through,,false,,
luke,rush_standing_medium_punch,rush_variant,立ち中P(ラッシュ),20,4,16,39,6,1,600,false,false,true,,,standing_medium_punch,,,,through,,false,,
luke,rush_standing_medium_kick,rush_variant,立ち中K(ラッシュ),19,3,19,40,5,1,700,false,false,true,,,standing_medium_kick,,,,through,,false,,
luke,rush_standing_heavy_punch,rush_variant,立ち強P(ラッシュ),21,3,23,46,5,-1,800,false,false,true,,,standing_heavy_punch,,,,through,,false,,
luke,rush_standing_heavy_kick,rush_variant,立ち強K(ラッシュ),21,7,16,43,6,-1,900,false,false,true,,,standing_heavy_kick,,,,through,,false,,
luke,rush_crouching_light_punch,rush_variant,しゃがみ弱P(ラッシュ),15,2,10,26,8,2,300,false,false,true,,,crouching_light_punch,,,,through,,false,,
luke,rush_crouching_light_kick,rush_variant,しゃがみ弱K(ラッシュ),16,3,11,29,4,1,200,false,false,true,,,crouching_light_kick,,,,through,,false,,
luke,rush_crouching_medium_punch,rush_variant,しゃがみ中P(ラッシュ),17,2,17,35,9,5,600,false,false,true,,,crouching_medium_punch,,,,through,,false,,
luke,rush_crouching_medium_kick,rush_variant,しゃがみ中K(ラッシュ),19,3,19,40,2,-2,500,false,false,true,,,crouching_medium_kick,,,,through,,false,,
luke,rush_crouching_heavy_punch,rush_variant,しゃがみ強P(ラッシュ),18,5,24,46,5,-9,800,false,false,true,,,crouching_heavy_punch,,,,through,,false,,
luke,rush_crouching_heavy_kick,rush_variant,しゃがみ強K(ラッシュ),21,3,24,47,,-5,900,false,false,true,,,crouching_heavy_kick,,,,through,,false,,
luke,rush_rawhide,rush_variant,ローハイド(ラッシュ),32,2,21,54,6,1,600,false,false,true,,,rawhide,,,,through,,false,,
luke,rush_suppressor,rush_variant,サプレッサー(ラッシュ),27,3,20,49,7,1,800,false,false,true,,,suppressor,,,,through,,false,,
luke,rush_outlaw_kick,rush_variant,アウトローキック(ラッシュ),23,4,24,50,8,1,1000,false,false,true,,,outlaw_kick,,,,through,,false,,
luke,rush_double_impact_1hit,rush_variant,ダブルインパクト(単発)(ラッシュ),27,3,19,48,7,1,800,false,false,true,,,double_impact_1hit,,,,through,,false,,
