character_code,move_code,category,name_ja,startup,active,recovery,total,on_hit,on_block,damage,is_aerial,is_projectile,is_derived,notes,notes_tool,original_move_code,command,condition_ja,condition_en,startup_basis,chain_cancel_total,fastest_unreachable,last_changed_game_version,first_hit_startup
mai,standing_light_punch,normal,立ち弱P,4,3,7,13,5,-2,300,false,false,false,,,,p_l,,,standalone,9,false,,
mai,standing_light_kick,normal,立ち弱K,4,3,8,14,1,-1,300,false,false,false,,,,k_l,,,standalone,,false,,
mai,standing_medium_punch,normal,立ち中P,8,4,15,26,2,-3,600,false,false,false,,,,p_m,,,standalone,,false,,
mai,standing_medium_kick,normal,立ち中K,9,3,18,29,5,-4,700,false,false,false,,,,k_m,,,standalone,,false,,
mai,standing_heavy_punch,normal,立ち強P,9,3,21,32,1,-3,800,false,false,false,,,,p_h,,,standalone,,false,,
mai,standing_heavy_kick,normal,立ち強K,14,3,22,38,3,-3,900,false,false,false,,,,k_h,,,standalone,,false,,
mai,crouching_light_punch,normal,しゃがみ弱P,4,3,7,13,4,-1,300,false,false,false,,,,d plus p_l,,,standalone,10,false,,
mai,crouching_light_kick,normal,しゃがみ弱K,5,3,8,15,2,-2,200,false,false,false,,,,d plus k_l,,,standalone,11,false,,
mai,crouching_medium_punch,normal,しゃがみ中P,6,4,17,26,5,-3,600,false,false,false,,,,d plus p_m,,,standalone,,false,,
mai,crouching_medium_kick,normal,しゃがみ中K,7,3,19,28,-2,-6,500,false,false,false,,,,d plus k_m,,,standalone,,false,,
mai,crouching_heavy_punch,normal,しゃがみ強P,10,13,19,41,4,-3,800,false,false,false,,,,d plus p_h,,,standalone,,false,,
mai,crouching_heavy_kick,normal,しゃがみ強K,9,3,25,36,,-11,900,false,false,false,,,,d plus k_h,,,standalone,,false,,
mai,jumping_light_punch,normal,ジャンプ弱P,4,9,34,46,,,300,true,false,false,,,,p_l,,,standalone,,true,,
mai,jumping_light_kick,normal,ジャンプ弱K,5,7,35,46,,,300,true,false,false,,,,k_l,,,standalone,,true,,
mai,jumping_medium_punch,normal,ジャンプ中P,7,5,35,46,,,600,true,false,false,,,,p_m,,,standalone,,true,,
mai,jumping_medium_kick,normal,ジャンプ中K,7,5,35,46,,,500,true,false,false,,,,k_m,,,standalone,,true,,
mai,jumping_heavy_punch,normal,ジャンプ強P,9,5,33,46,,,800,true,false,false,,,,p_h,,,standalone,,true,,
mai,jumping_heavy_kick,normal,ジャンプ強K,10,6,31,46,,,800,true,false,false,,,,k_h,,,standalone,,true,,
mai,drive_impact,drive_impact,ドライブインパクト,26,2,35,62,,-3,800,false,false,false,,,,p_h k_h,,,standalone,,false,,
mai,throw_forward,throw,前投げ,5,3,23,30,,,1200,false,false,false,,,,n or r plus p_l k_l,,,standalone,,false,,
mai,throw_back,throw,後ろ投げ,5,3,23,30,,,1200,false,false,false,,,,l plus p_l k_l,,,standalone,,false,,
mai,air_throw,throw,空投げ,5,3,39,46,,,1200,false,false,false,,,,p_l k_l,,,standalone,,false,,
mai,drive_parry,system,ドライブパリィ,1,12,33,45,,,0,false,false,false,,,,p_m k_m,,,standalone,,false,,
mai,senkotsu_uchi,unique,扇骨打ち,20,3,18,40,2,-3,600,false,false,false,,,,r plus p_m,,,standalone,,false,,
mai,hien_ren_kyaku_2hits,target_combo,飛燕連脚(2発止め),7,2,20,28,-2,-10,620,false,false,true,,,,k_l chain k_l,,,standalone,,false,,4
mai,hien_ren_kyaku,target_combo,飛燕連脚,10,2,28,39,3,-10,970,false,false,true,,,,k_l chain k_l chain k_l,,,standalone,,false,,4
mai,hoshi_kujaku_1hits,unique,星孔雀(単発),8,5,20,32,3,-1,800,false,false,false,,,,l plus k_h,,,standalone,,false,,
mai,hoshi_kujaku,target_combo,星孔雀,9,50,0,58,,-11,2000,false,false,true,,,,l plus k_h chain k_h,,,standalone,,false,,8
mai,kachousen_light,special,弱花蝶扇,16,33,0,48,-1,-7,500,false,true,false,,,,d dr r plus p_l,,,standalone,,false,,
mai,kachousen_holding_light,special,弱花蝶扇（ホールド）,32,33,0,64,-1,-5,700,false,true,false,,,,d dr r plus p_l hold,,,standalone,,false,,
mai,flame_light_kachousen,special,[焔版]弱花蝶扇,16,30,0,45,1,-3,600,false,true,true,,,,d dr r plus p_l,,,standalone,,false,,
mai,flame_light_kachousen_holding,special,[焔版]弱花蝶扇（ホールド）,32,31,0,62,1,-1,800,false,true,true,,,,d dr r plus p_l hold,,,standalone,,false,,
mai,kachousen_medium,special,中花蝶扇,14,35,0,48,-3,-9,500,false,true,false,,,,d dr r plus p_m,,,standalone,,false,,
mai,kachousen_holding_medium,special,中花蝶扇（ホールド）,32,33,0,64,-1,-5,700,false,true,false,,,,d dr r plus p_m hold,,,standalone,,false,,
mai,flame_medium_kachousen,special,[焔版]中花蝶扇,14,32,0,45,-1,-5,600,false,true,true,,,,d dr r plus p_m,,,standalone,,false,,
mai,flame_medium_kachousen_holding,special,[焔版]中花蝶扇（ホールド）,32,31,0,62,1,-1,800,false,true,true,,,,d dr r plus p_m hold,,,standalone,,false,,
mai,kachousen_heavy,special,強花蝶扇,12,37,0,48,-5,-11,500,false,true,false,,,,d dr r plus p_h,,,standalone,,false,,
mai,kachousen_holding_heavy,special,強花蝶扇（ホールド）,32,33,0,64,-1,-5,700,false,true,false,,,,d dr r plus p_h hold,,,standalone,,false,,
mai,flame_heavy_kachousen,special,[焔版]強花蝶扇,12,34,0,45,-3,-7,600,false,true,true,,,,d dr r plus p_h,,,standalone,,false,,
mai,flame_heavy_kachousen_holding,special,[焔版]強花蝶扇（ホールド）,32,31,0,62,1,-1,800,false,true,true,,,,d dr r plus p_h hold,,,standalone,,false,,
mai,kachousen_od,special,OD花蝶扇,12,31,0,42,3,-5,700,false,true,false,,,,d dr r plus p p,,,standalone,,false,,
mai,kachousen_holding_od,special,OD花蝶扇（ホールド）,28,31,0,58,14,12,600,false,true,false,,,,d dr r plus p p hold,,,standalone,,false,,
mai,flame_od_kachousen,special,[焔版]OD花蝶扇,12,31,0,42,3,1,800,false,true,true,,,,d dr r plus p p,,,standalone,,false,,
mai,flame_od_kachousen_holding,special,[焔版]OD花蝶扇（ホールド）,28,31,0,58,45,46,700,false,true,true,,,,d dr r plus p p hold,,,standalone,,false,,
mai,midare_kachousen,special,乱れ花蝶扇,28,30,39,96,,0,1200,false,true,true,,,,r plus p,,,standalone,,false,,
mai,flame_midare_kachousen,special,[焔版]乱れ花蝶扇,28,30,39,96,,33,1400,false,true,true,,,,r plus p,,,standalone,,false,,
mai,ryuuenbu_light,special,弱龍炎舞,14,7,15,35,3,-4,800,false,false,false,,,,d dl l plus p_l,,,standalone,,false,,
mai,flame_light_ryuuenbu,special,[焔版]弱龍炎舞,14,7,15,35,,-2,900,false,false,true,,,,d dl l plus p_l,,,standalone,,false,,
mai,ryuuenbu_medium,special,中龍炎舞,14,18,16,47,,-6,1000,false,false,false,,,,d dl l plus p_m,,,standalone,,false,,
mai,flame_medium_ryuuenbu,special,[焔版]中龍炎舞,14,18,16,47,,-6,1100,false,false,true,,,,d dl l plus p_m,,,standalone,,false,,
mai,ryuuenbu_heavy,special,強龍炎舞,15,22,12,48,,-6,800,false,false,false,,,,d dl l plus p_h,,,standalone,,false,,
mai,flame_heavy_ryuuenbu,special,[焔版]強龍炎舞,14,23,12,48,,-6,900,false,false,true,,,,d dl l plus p_h,,,standalone,,false,,
mai,ryuuenbu_od,special,OD龍炎舞,16,31,16,62,,-12,1000,false,false,false,,,,d dl l plus p p,,,standalone,,false,,
mai,flame_od_ryuuenbu,special,[焔版]OD龍炎舞,16,31,16,62,,-12,1100,false,false,true,,,,d dl l plus p p,,,standalone,,false,,
mai,hissatsu_shinobi_bachi_light,special,弱必殺忍蜂,10,30,16,55,,-10,800,false,false,false,,,,d dr r plus k_l,,,standalone,,false,,
mai,flame_light_hissatsu_shinobi_bachi,special,[焔版]弱必殺忍蜂,10,30,16,55,,-10,900,false,false,true,,,,d dr r plus k_l,,,standalone,,false,,
mai,hissatsu_shinobi_bachi_medium,special,中必殺忍蜂,15,30,20,64,,-12,900,false,false,false,,,,d dr r plus k_m,,,standalone,,false,,
mai,flame_medium_hissatsu_shinobi_bachi,special,[焔版]中必殺忍蜂,15,30,20,64,,-12,1000,false,false,true,,,,d dr r plus k_m,,,standalone,,false,,
mai,hissatsu_shinobi_bachi_heavy,special,強必殺忍蜂,18,30,21,68,,-13,1000,false,false,false,,,,d dr r plus k_h,,,standalone,,false,,
mai,flame_heavy_hissatsu_shinobi_bachi,special,[焔版]強必殺忍蜂,18,30,21,68,,-13,1100,false,false,true,,,,d dr r plus k_h,,,standalone,,false,,
mai,hissatsu_shinobi_bachi_od,special,OD必殺忍蜂,14,32,32,77,,-12,800,false,false,false,,,,d dr r plus k k,,,standalone,,false,,
mai,flame_od_hissatsu_shinobi_bachi,special,[焔版]OD必殺忍蜂,14,32,32,77,,-12,900,false,false,true,,,,d dr r plus k k,,,standalone,,false,,
mai,hishou_ryuuenjin_light,special,弱飛翔龍炎陣,5,18,30,52,,-29,900,false,false,false,,,,r d dr plus k_l,,,standalone,,false,,
mai,flame_light_hishou_ryuuenjin,special,[焔版]弱飛翔龍炎陣,5,18,30,52,,-29,1000,false,false,true,,,,r d dr plus k_l,,,standalone,,false,,
mai,hishou_ryuuenjin_medium,special,中飛翔龍炎陣,6,18,29,52,,-28,1100,false,false,false,,,,r d dr plus k_m,,,standalone,,false,,
