character_code,move_code,category,name_ja,startup,active,recovery,total,on_hit,on_block,damage,is_aerial,is_projectile,is_derived,notes,notes_tool,original_move_code,command,condition_ja,condition_en,startup_basis,chain_cancel_total,fastest_unreachable,last_changed_game_version,first_hit_startup
manon,standing_light_punch,normal,立ち弱P,4,3,10,16,4,-1,300,false,false,false,,,,p_l,,,standalone,12,false,,
manon,standing_light_kick,normal,立ち弱K,5,2,12,18,2,-2,300,false,false,false,,,,k_l,,,standalone,,false,,
manon,standing_medium_punch,normal,立ち中P,7,4,15,25,2,-2,600,false,false,false,,,,p_m,,,standalone,,false,,
manon,standing_medium_kick,normal,立ち中K,10,3,18,30,-2,-5,600,false,false,false,,,,k_m,,,standalone,,false,,
manon,standing_heavy_punch,normal,立ち強P,10,4,20,33,0,-3,800,false,false,false,,,,p_h,,,standalone,,false,,
manon,standing_heavy_kick,normal,立ち強K,15,3,26,43,1,-6,900,false,false,false,,,,k_h,,,standalone,,false,,
manon,crouching_light_punch,normal,しゃがみ弱P,4,2,11,16,3,-2,300,false,false,false,,,,d plus p_l,,,standalone,10,false,,
manon,crouching_light_kick,normal,しゃがみ弱K,5,2,13,19,-1,-3,200,false,false,false,,,,d plus k_l,,,standalone,13,false,,
manon,crouching_medium_punch,normal,しゃがみ中P,7,3,15,24,6,-1,600,false,false,false,,,,d plus p_m,,,standalone,,false,,
manon,crouching_medium_kick,normal,しゃがみ中K,8,4,16,27,3,-2,600,false,false,false,,,,d plus k_m,,,standalone,,false,,
manon,crouching_heavy_punch,normal,しゃがみ強P,10,5,21,35,-2,-8,600,false,false,false,,,,d plus p_h,,,standalone,,false,,
manon,crouching_heavy_kick,normal,しゃがみ強K,11,2,27,39,,-12,900,false,false,false,,,,d plus k_h,,,standalone,,false,,
manon,jumping_light_punch,normal,ジャンプ弱P,5,10,32,46,,,300,true,false,false,,,,p_l,,,standalone,,true,,
manon,jumping_light_kick,normal,ジャンプ弱K,6,9,32,46,,,300,true,false,false,,,,k_l,,,standalone,,true,,
manon,jumping_medium_punch,normal,ジャンプ中P,8,4,35,46,,,700,true,false,false,,,,p_m,,,standalone,,true,,
manon,jumping_medium_kick,normal,ジャンプ中K,7,6,34,46,,,500,true,false,false,,,,k_m,,,standalone,,true,,
manon,jumping_heavy_punch,normal,ジャンプ強P,9,4,34,46,,,800,true,false,false,,,,p_h,,,standalone,,true,,
manon,jumping_heavy_kick,normal,ジャンプ強K,11,5,31,46,,,800,true,false,false,,,,k_h,,,standalone,,true,,
manon,drive_impact,drive_impact,ドライブインパクト,26,2,35,62,,-3,800,false,false,false,,,,p_h k_h,,,standalone,,false,,
manon,throw_forward,throw,前投げ,5,3,23,30,,,1200,false,false,false,,,,n or r plus p_l k_l,,,standalone,,false,,
manon,throw_back,throw,後ろ投げ,5,3,23,30,,,1200,false,false,false,,,,l plus p_l k_l,,,standalone,,false,,
manon,drive_parry,system,ドライブパリィ,1,12,33,45,,,0,false,false,false,,,,p_m k_m,,,standalone,,false,,
manon,reverence,unique,レベランス,8,6,17,30,3,1,800,false,false,false,,,,l plus p_h,,,standalone,,false,,
manon,tomoe_derriere,unique,トモエ・デリエール,11,9,32,51,,-23,1000,false,false,false,,,,dr plus k_h,,,standalone,,false,,
manon,a_terre,target_combo,ア・テール,10,2,17,28,2,-5,1100,false,false,true,,,,p_m chain k_m,,,standalone,,false,,7
manon,en_haut,target_combo,アン・オー,14,5,21,39,-3,-11,1100,false,false,true,,,,l plus k_m chain k_m,,,standalone,,false,,10
manon,en_haut_1hit,unique,アン・オー(単発),10,4,19,32,,-3,600,false,false,false,,,,l plus k_m,,,standalone,,false,,
manon,allonge,target_combo,アロンジェ,4,4,26,33,1,-10,1100,false,false,true,,,,d plus p_h chain p_h,,,standalone,,false,,10
manon,temps_lie,target_combo,タン・リエ,5,5,17,26,3,-8,1400,false,false,true,,,,p_h chain p_h,,,standalone,,false,,10
manon,manege_dore_light,special,弱マネージュ・ドレ,10,2,49,60,,,2000,false,false,false,,,,r dr d dl l plus p_l,,,standalone,,false,,
manon,manege_dore_medium,special,中マネージュ・ドレ,8,2,51,60,,,2000,false,false,false,,,,r dr d dl l plus p_m,,,standalone,,false,,
manon,manege_dore_heavy,special,強マネージュ・ドレ,5,2,54,60,,,2000,false,false,false,,,,r dr d dl l plus p_h,,,standalone,,false,,
manon,manege_dore_od,special,ODマネージュ・ドレ,8,2,51,60,,,2000,false,false,false,,,,r dr d dl l plus p p,,,standalone,,false,,
manon,rond_point_light,special,弱ロン・ポワン,9,7,29,44,3,-15,900,false,false,false,,,,d dr r plus k_l,,,standalone,,false,,
manon,rond_point_medium,special,中ロン・ポワン,11,9,27,46,,-14,1000,false,false,false,,,,d dr r plus k_m,,,standalone,,false,,
manon,rond_point_heavy,special,強ロン・ポワン,14,9,24,46,,-11,800,false,false,false,,,,d dr r plus k_h,,,standalone,,false,,
manon,rond_point_od,special,ODロン・ポワン,8,9,30,46,,-19,800,false,false,false,,,,d dr r plus k k,,,standalone,,false,,
manon,degage_light,special,弱デガジェ,16,16,36,67,,-24,1000,false,false,false,,,,d dl l plus k_l,,,standalone,,false,,
manon,degage_medium,special,中デガジェ,16,24,22,61,,-13,1200,false,false,false,,,,d dl l plus k_m,,,standalone,,false,,
manon,degage_heavy,special,強デガジェ,20,3,24,46,3,-9,1000,false,false,false,,,,d dl l plus k_h,,,standalone,,false,,
manon,degage_od,special,ODデガジェ,22,3,22,46,6,-3,800,false,false,false,,,,d dl l plus k k,,,standalone,,false,,
manon,renverse_light,special,弱ランヴェルセ,22,2,37,60,,-23,1350,false,false,false,,,,d dr r plus p_l,,,standalone,,false,,
manon,renverse_medium,special,中ランヴェルセ,25,2,34,60,,-20,1400,false,false,false,,,,d dr r plus p_m,,,standalone,,false,,
manon,renverse_heavy,special,強ランヴェルセ,29,2,30,60,,-16,1500,false,false,false,,,,d dr r plus p_h,,,standalone,,false,,
manon,renverse_od,special,ODランヴェルセ,25,2,34,60,,-20,1500,false,false,false,,,,d dr r plus p p,,,standalone,,false,,
manon,renverse_feint_light,special,弱ランヴェルセ(フェイント),3,13,16,31,,,0,false,false,true,,強度は派生元のランヴェルセと対応。ランヴェルセから最速で出した場合に消費できるフレームを記録,,,,,standalone,,false,,
manon,renverse_feint_medium,special,中ランヴェルセ(フェイント),3,14,16,32,,,0,false,false,true,,強度は派生元のランヴェルセと対応。ランヴェルセから最速で出した場合に消費できるフレームを記録,,,,,standalone,,false,,
manon,renverse_feint_heavy,special,強ランヴェルセ(フェイント),3,15,16,33,,,0,false,false,true,,強度は派生元のランヴェルセと対応。ランヴェルセから最速で出した場合に消費できるフレームを記録,,,,,standalone,,false,,
manon,renverse_feint_od,special,ODランヴェルセ(フェイント),4,14,16,33,,,0,false,false,true,,強度は派生元のランヴェルセと対応。ランヴェルセから最速で出した場合に消費できるフレームを記録,,,,,standalone,,false,,
manon,grand_fouette_light,special,弱グラン・フェッテ,27,6,22,54,,-5,800,false,false,true,,強度は派生元のランヴェルセと対応。ランヴェルセから最速で出した場合に消費できるフレームを記録,,,,,through,,false,,
manon,grand_fouette_medium,special,中グラン・フェッテ,28,6,22,55,,-5,800,false,false,true,,強度は派生元のランヴェルセと対応。ランヴェルセから最速で出した場合に消費できるフレームを記録,,,,,through,,false,,
manon,grand_fouette_heavy,special,強グラン・フェッテ,29,6,22,56,,-5,800,false,false,true,,強度は派生元のランヴェルセと対応。ランヴェルセから最速で出した場合に消費できるフレームを記録,,,,,through,,false,,
manon,grand_fouette_od,special,ODグラン・フェッテ,25,6,22,52,,-12,800,false,false,true,,強度は派生元のランヴェルセと対応。ランヴェルセから最速で出した場合に消費できるフレームを記録,,k,,,through,,false,,
manon,sa1_arabesque,super_art,SA1 アラベスク,10,4,65,78,,-49,2000,false,false,false,,,,d dr r d dr r plus k,,,standalone,,false,,
manon,sa2_etoile,super_art,SA2 エトワール,7,74,72,152,,-61,2800,false,false,false,,,,d dl l d dl l plus k,,,standalone,,false,,
manon,sa3_pas_de_deux,super_art,SA3 パ・ド・ドゥ,7,2,72,80,,,4000,false,false,false,,,,d dr r d dr r plus p,,,standalone,,false,,
manon,ca_pas_de_deux,critical_art,CA パ・ド・ドゥ,7,2,72,80,,,4500,false,false,false,,,,d dr r d dr r plus p,,,standalone,,false,,
manon,rush_standing_light_punch,rush_variant,立ち弱P(ラッシュ),15,3,10,27,8,3,300,false,false,true,,,standing_light_punch,,,,through,,false,,
manon,rush_standing_light_kick,rush_variant,立ち弱K(ラッシュ),16,2,12,29,6,2,300,false,false,true,,,standing_light_kick,,,,through,,false,,
manon,rush_standing_medium_punch,rush_variant,立ち中P(ラッシュ),18,4,15,36,6,2,600,false,false,true,,,standing_medium_punch,,,,through,,false,,
manon,rush_standing_medium_kick,rush_variant,立ち中K(ラッシュ),21,3,18,41,2,-1,600,false,false,true,,,standing_medium_kick,,,,through,,false,,
manon,rush_standing_heavy_punch,rush_variant,立ち強P(ラッシュ),21,4,20,44,4,1,800,false,false,true,,,standing_heavy_punch,,,,through,,false,,
manon,rush_standing_heavy_kick,rush_variant,立ち強K(ラッシュ),26,3,26,54,5,-2,900,false,false,true,,,standing_heavy_kick,,,,through,,false,,
manon,rush_crouching_light_punch,rush_variant,しゃがみ弱P(ラッシュ),15,2,11,27,7,2,300,false,false,true,,,crouching_light_punch,,,,through,,false,,
manon,rush_crouching_light_kick,rush_variant,しゃがみ弱K(ラッシュ),16,2,13,30,3,1,200,false,false,true,,,crouching_light_kick,,,,through,,false,,
manon,rush_crouching_medium_punch,rush_variant,しゃがみ中P(ラッシュ),18,3,15,35,10,3,600,false,false,true,,,crouching_medium_punch,,,,through,,false,,
