character_code,move_code,category,name_ja,startup,active,recovery,total,on_hit,on_block,damage,is_aerial,is_projectile,is_derived,notes,notes_tool,original_move_code,command,condition_ja,condition_en,startup_basis,chain_cancel_total,fastest_unreachable,last_changed_game_version,first_hit_startup
marisa,standing_light_punch,normal,立ち弱P,6,3,11,19,0,-2,400,false,false,false,,,,p_l,,,standalone,,false,,
marisa,standing_light_kick,normal,立ち弱K,6,2,14,21,0,-2,400,false,false,false,,,,k_l,,,standalone,,false,,
marisa,standing_medium_punch,normal,立ち中P,7,4,17,27,2,-1,700,false,false,false,,,,p_m,,,standalone,,false,,
marisa,standing_medium_kick,normal,立ち中K,11,4,16,30,4,-2,800,false,false,false,,,,k_m,,,standalone,,false,,
marisa,standing_heavy_punch,normal,立ち強P,12,2,23,36,3,-3,1000,false,false,false,,,,p_h,,,standalone,,false,,
marisa,standing_heavy_punch_holding,normal,【ホールド】立ち強P,23,2,22,46,7,4,1200,false,false,false,,ホールドの発生は固定。発生早くなるタイミングはない,,p_h hold,,,standalone,,false,,
marisa,standing_heavy_kick,normal,立ち強K,15,2,25,41,1,-3,1000,false,false,false,,,,k_h,,,standalone,,false,,
marisa,standing_heavy_kick_holding,normal,【ホールド】立ち強K,24,2,25,50,,1,1200,false,false,false,,ホールドの発生は固定。発生早くなるタイミングはない,,k_h hold,,,standalone,,false,,
marisa,crouching_light_punch,normal,しゃがみ弱P,4,2,10,15,4,-1,300,false,false,false,,,,d plus p_l,,,standalone,12,false,,
marisa,crouching_light_kick,normal,しゃがみ弱K,5,3,12,19,2,-3,300,false,false,false,,,,d plus k_l,,,standalone,13,false,,
marisa,crouching_medium_punch,normal,しゃがみ中P,8,3,16,26,3,-2,700,false,false,false,,,,d plus p_m,,,standalone,,false,,
marisa,crouching_medium_kick,normal,しゃがみ中K,9,3,18,29,5,-2,600,false,false,false,,,,d plus k_m,,,standalone,,false,,
marisa,crouching_heavy_punch,normal,しゃがみ強P,9,5,23,36,,-6,900,false,false,false,,,,d plus p_h,,,standalone,,false,,
marisa,crouching_heavy_punch_holding,normal,【ホールド】しゃがみ強P,21,6,21,47,,-3,1000,false,false,false,,,,d plus p_h hold,,,standalone,,false,,
marisa,crouching_heavy_kick,normal,しゃがみ強K,11,3,26,39,,-11,1000,false,false,false,,,,d plus k_h,,,standalone,,false,,
marisa,crouching_heavy_kick_holding,normal,【ホールド】しゃがみ強K,20,3,23,45,,-3,1200,false,false,false,,,,d plus k_h hold,,,standalone,,false,,
marisa,jumping_light_punch,normal,ジャンプ弱P,4,7,36,46,,,300,true,false,false,,,,p_l,,,standalone,,true,,
marisa,jumping_light_kick,normal,ジャンプ弱K,5,10,32,46,,,300,true,false,false,,,,k_l,,,standalone,,true,,
marisa,jumping_medium_punch,normal,ジャンプ中P,7,4,36,46,,,700,true,false,false,,,,p_m,,,standalone,,true,,
marisa,jumping_medium_kick,normal,ジャンプ中K,8,8,31,46,,,500,true,false,false,,,,k_m,,,standalone,,true,,
marisa,jumping_heavy_punch,normal,ジャンプ強P,10,7,30,46,,,800,true,false,false,,,,p_h,,,standalone,,true,,
marisa,jumping_heavy_punch_holding,normal,【ホールド】ジャンプ強P,28,6,13,46,,,1500,true,false,false,,ホールドの発生は固定。発生早くなるタイミングはない,,p_h hold,,,standalone,,true,,
marisa,jumping_heavy_kick,normal,ジャンプ強K,10,7,30,46,,,800,true,false,false,,,,k_h,,,standalone,,true,,
marisa,jumping_heavy_kick_holding,normal,【ホールド】ジャンプ強K,29,6,12,46,,,1500,true,false,false,,ホールドの発生は固定。発生早くなるタイミングはない,,k_h hold,,,standalone,,true,,
marisa,drive_impact,drive_impact,ドライブインパクト,26,2,35,62,,-3,800,false,false,false,,,,p_h k_h,,,standalone,,false,,
marisa,throw_forward,throw,前投げ,5,3,23,30,,,1200,false,false,false,,,,n or r plus p_l k_l,,,standalone,,false,,
marisa,throw_back,throw,後ろ投げ,5,3,23,30,,,1200,false,false,false,,,,l plus p_l k_l,,,standalone,,false,,
marisa,drive_parry,system,ドライブパリィ,1,12,33,45,,,0,false,false,false,,,,p_m k_m,,,standalone,,false,,
marisa,caelum_arc,unique,カエルムアーク,9,9,29,46,,,800,true,false,false,,,,d plus p_h,,,standalone,,true,,
marisa,caelum_arc_holding,unique,【ホールド】カエルムアーク,28,9,10,46,,,1500,true,false,false,,,,d plus p_h hold,,,standalone,,true,,
marisa,magna_bunker,unique,マグナバンカー,8,2,24,33,3,-1,900,false,false,false,,,,l plus p_h,,,standalone,,false,,
marisa,magna_bunker_holding,unique,【ホールド】マグナバンカー,20,2,24,45,13,4,1000,false,false,false,,,,l plus p_h hold,,,standalone,,false,,
marisa,novacula,unique,ノバキュラ(単発),9,2,20,30,2,-3,800,false,false,false,,,,r plus p_m,,,standalone,,false,,
marisa,malleus_breaker_1hit,unique,マレウスビート(単発),21,2,21,43,0,-3,900,false,false,false,,,,dr plus p_h,,,standalone,,false,,
marisa,malleus_breaker_1hit_holding,unique,【ホールド】マレウスビート(単発),28,2,19,48,5,2,1000,false,false,false,,,,dr plus p_h hold,,,standalone,,false,,
marisa,malleus_breaker,target_combo,マレウスビート,18,2,24,43,,-12,1800,false,false,true,,ホールドではなくノーマル版始動での合計ダメージを記録。硬直は無理やり空ぶらせたものを記録。（ヒットじゃないと出ない技だが上手い事調整）,,dr plus p_h chain dr plus p_h,,,standalone,,false,,21
marisa,falx_crusher_1hit,unique,ファルクスクラッシュ(単発),14,4,21,38,0,-3,900,false,false,false,,,,r plus k_h,,,standalone,,false,,
marisa,falx_crusher_1hit_holding,unique,【ホールド】ファルクスクラッシュ(単発),27,4,19,49,10,3,1000,false,false,false,,,,r plus k_h hold,,,standalone,,false,,
marisa,falx_crusher,target_combo,ファルクスクラッシュ,16,5,25,45,,-12,1900,false,false,true,,ホールドではなくノーマル版始動での合計ダメージを記録。硬直は無理やり空ぶらせたものを記録。（ヒットじゃないと出ない技だが上手い事調整）,,r plus k_h chain r plus k_h,,,standalone,,false,,14
marisa,gladius_light,special,弱グラディウス,17,4,21,41,,-5,1200,false,false,false,,,,d dr r plus p_l,,,standalone,,false,,
marisa,gladius_holding_light,special,【ホールド】弱グラディウス,30,4,20,53,,4,2400,false,false,false,,,,d dr r plus p_l hold,,,standalone,,false,,
marisa,gladius_medium,special,中グラディウス,19,4,21,43,,-5,1400,false,false,false,,,,d dr r plus p_m,,,standalone,,false,,
marisa,gladius_holding_medium,special,【ホールド】中グラディウス,35,4,20,58,,4,2600,false,false,false,,,,d dr r plus p_m hold,,,standalone,,false,,
marisa,gladius_heavy,special,強グラディウス,22,4,21,46,,-5,1600,false,false,false,,,,d dr r plus p_h,,,standalone,,false,,
marisa,gladius_holding_heavy,special,【ホールド】強グラディウス,41,4,20,64,,4,2800,false,false,false,,,,d dr r plus p_h hold,,,standalone,,false,,
marisa,gladius_od,special,ODグラディウス,19,4,21,43,,-2,1700,false,false,false,,,,d dr r plus p p,,,standalone,,false,,
