character_code,move_code,category,name_ja,startup,active,recovery,total,on_hit,on_block,damage,is_aerial,is_projectile,is_derived,notes,notes_tool,original_move_code,command,condition_ja,condition_en,startup_basis,chain_cancel_total,fastest_unreachable,last_changed_game_version,first_hit_startup
rashid,standing_light_punch,normal,立ち弱P,4,2,9,14,4,-1,300,false,false,false,,,,p_l,,,standalone,10,false,,
rashid,standing_light_kick,normal,立ち弱K,4,3,10,16,3,-1,300,false,false,false,,,,k_l,,,standalone,,false,,
rashid,standing_medium_punch,normal,立ち中P,6,3,14,22,5,1,600,false,false,false,,,,p_m,,,standalone,,false,,
rashid,standing_medium_kick,normal,立ち中K,8,3,19,29,6,-3,600,false,false,false,,,,k_m,,,standalone,,false,,
rashid,standing_heavy_punch,normal,立ち強P,9,3,21,32,1,-4,800,false,false,false,,,,p_h,,,standalone,,false,,
rashid,standing_heavy_kick,normal,立ち強K,13,8,18,38,-1,-5,800,false,false,false,,,,k_h,,,standalone,,false,,
rashid,crouching_light_punch,normal,しゃがみ弱P,5,3,7,14,5,-1,300,false,false,false,,,,d plus p_l,,,standalone,10,false,,
rashid,crouching_light_kick,normal,しゃがみ弱K,5,3,8,15,3,-1,200,false,false,false,,,,d plus k_l,,,standalone,11,false,,
rashid,crouching_medium_punch,normal,しゃがみ中P,6,4,13,22,4,1,600,false,false,false,,,,d plus p_m,,,standalone,,false,,
rashid,crouching_medium_kick,normal,しゃがみ中K,7,3,18,27,-1,-5,500,false,false,false,,,,d plus k_m,,,standalone,,false,,
rashid,crouching_heavy_punch,normal,しゃがみ強P,12,3,23,37,5,-6,900,false,false,false,,,,d plus p_h,,,standalone,,false,,
rashid,crouching_heavy_kick,normal,しゃがみ強K,9,3,24,35,,-11,900,false,false,false,,,,d plus k_h,,,standalone,,false,,
rashid,jumping_light_punch,normal,ジャンプ弱P,4,5,38,46,,,300,true,false,false,,,,p_l,,,standalone,,true,,
rashid,jumping_light_kick,normal,ジャンプ弱K,5,5,37,46,,,300,true,false,false,,,,k_l,,,standalone,,true,,
rashid,jumping_medium_punch,normal,ジャンプ中P,9,5,33,46,,,600,true,false,false,,,,p_m,,,standalone,,true,,
rashid,jumping_medium_kick,normal,ジャンプ中K,7,6,34,46,,,500,true,false,false,,,,k_m,,,standalone,,true,,
rashid,jumping_heavy_punch,normal,ジャンプ強P,8,9,30,46,,,800,true,false,false,,,,p_h,,,standalone,,true,,
rashid,jumping_heavy_kick,normal,ジャンプ強K,10,5,32,46,,,800,true,false,false,,,,k_h,,,standalone,,true,,
rashid,drive_impact,drive_impact,ドライブインパクト,26,2,35,62,,-3,800,false,false,false,,,,p_h k_h,,,standalone,,false,,
rashid,throw_forward,throw,前投げ,5,3,23,30,,,1200,false,false,false,,,,n or r plus p_l k_l,,,standalone,,false,,
rashid,throw_back,throw,後ろ投げ,5,3,23,30,,,1200,false,false,false,,,,l plus p_l k_l,,,standalone,,false,,
rashid,desert_slider,throw,デザート・スライダー,5,3,39,46,,,1200,false,false,false,,,,p_l k_l,,,standalone,,false,,
rashid,drive_parry,system,ドライブパリィ,1,12,33,45,,,0,false,false,false,,,,p_m k_m,,,standalone,,false,,
rashid,run,unique,ラン,,,,,,,0,false,false,true,,,,r charge_r,,,unknown,,false,,
rashid,buffed_dash_forward,unique,【強化】前方ステップ,1,18,0,18,,,0,false,false,true,,,,,,,standalone,,false,,
rashid,buffed_dash_back,unique,【強化】後方ステップ,1,25,0,25,,,0,false,false,true,,,,,,,standalone,,false,,
rashid,buffed_jump_forward,unique,【強化】前ジャンプ,1,44,0,44,,,0,true,false,true,,,,,,,standalone,,false,,
rashid,buffed_jump_neutral,unique,【強化】垂直ジャンプ,1,41,0,41,,,0,true,false,true,,,,,,,standalone,,false,,
rashid,buffed_jump_back,unique,【強化】後ろジャンプ,1,44,0,44,,,0,true,false,true,,,,,,,standalone,,false,,
rashid,backup,unique,バックアップ,26,10,17,52,7,-10,800,false,false,true,,,,r plus p,,,through,,false,,
rashid,tempest_moon,unique,テンペスト・ムーン,34,9,21,63,3,-4,1200,false,false,true,,,,r plus k,,,through,,false,,
rashid,buffed_tempest_moon,unique,【強化】テンペスト・ムーン,27,32,22,80,,-5,1400,false,false,true,,,,r plus k,,,through,,false,,
rashid,flapping_spin,unique,フラップ・スピン,8,18,18,43,1,-3,600,false,false,false,,,,r plus p_m,,,standalone,,false,,
rashid,beak_assault,unique,アサルト・ビーク,22,3,21,45,3,-3,800,false,false,false,,,,r plus p_h,,,standalone,,false,,
rashid,crescent_kick,unique,クレセントキック,16,4,23,42,2,-3,900,false,false,false,,,,r plus k_h,,,standalone,,false,,
rashid,blitz_strike,unique,ブリッツストライク,10,5,32,46,,,850,true,false,false,,,,d plus p_h,,,standalone,,true,,
rashid,aerial_shot,unique,エリアルシュート,8,5,34,46,,,800,true,false,false,,,,u plus k_h,,,standalone,,true,,
rashid,side_flip,unique,サイド・フリップ,1,32,0,32,,,0,false,false,false,,,,r plus k k,,,standalone,,false,,
rashid,front_flip,unique,フロント・フリップ,1,69,0,69,,,0,true,false,true,,,,l or n or r plus k k,,,through,,false,,
rashid,wall_jump,unique,三角飛び,35,42,0,76,,,0,true,false,true,,,,,,,through,,false,,
rashid,spinning_mixer_light,special,弱スピニング・ミキサー,8,16,24,47,2,-3,700,false,false,false,,,,d dr r plus p_l,,,standalone,,false,,
rashid,buffed_light_spinning_mixer,special,【強化】弱スピニング・ミキサー,6,54,15,74,4,2,1000,false,false,true,,,,d dr r plus p_l,,,standalone,,false,,
rashid,spinning_mixer_medium,special,中スピニング・ミキサー,8,19,48,74,,-45,800,false,false,false,,,,d dr r plus p_m,,,standalone,,false,,
rashid,buffed_medium_spinning_mixer,special,【強化】中スピニング・ミキサー,5,55,61,120,,-83,1400,false,false,true,,,,d dr r plus p_m,,,standalone,,false,,
rashid,spinning_mixer_heavy,special,強スピニング・ミキサー,6,34,38,77,,-55,1200,false,false,false,,,,d dr r plus p_h,,,standalone,,false,,
rashid,buffed_heavy_spinning_mixer,special,【強化】強スピニング・ミキサー,5,47,53,104,,-83,1800,false,false,true,,,,d dr r plus p_h,,,standalone,,false,,
rashid,spinning_mixer_od,special,ODスピニング・ミキサー,6,43,62,110,,-53,1400,false,false,false,,,,d dr r plus p p,,,standalone,,false,,
rashid,buffed_od_spinning_mixer,special,【強化】ODスピニング・ミキサー,4,56,60,119,,-77,1400,false,false,true,,,,d dr r plus p p,,,standalone,,false,,
rashid,eagle_spike_light,special,弱イーグル・スパイク,15,13,31,58,,-36,1100,false,false,false,,,,d dl l plus k_l,,,standalone,,false,,
rashid,buffed_light_eagle_spike,special,【強化】弱イーグル・スパイク,14,13,33,59,,-24,1300,false,false,true,,,,d dl l plus k_l,,,standalone,,false,,
rashid,eagle_spike_medium,special,中イーグル・スパイク,21,13,26,59,,-36,1300,false,false,false,,,,d dl l plus k_m,,,standalone,,false,,
rashid,buffed_medium_eagle_spike,special,【強化】中イーグル・スパイク,17,15,50,81,,-15,1300,false,false,true,,,,d dl l plus k_m,,,standalone,,false,,
rashid,eagle_spike_heavy,special,強イーグル・スパイク,26,13,27,65,,-36,1500,false,false,false,,,,d dl l plus k_h,,,standalone,,false,,
rashid,buffed_heavy_eagle_spike,special,【強化】強イーグル・スパイク,17,15,50,81,,-15,1500,false,false,true,,,,d dl l plus k_h,,,standalone,,false,,
rashid,eagle_spike_od,special,ODイーグル・スパイク,21,13,26,59,,-36,1000,false,false,false,,,,d dl l plus k k,,,standalone,,false,,
