character_code,move_code,category,name_ja,startup,active,recovery,total,on_hit,on_block,damage,is_aerial,is_projectile,is_derived,notes,notes_tool,original_move_code,command,condition_ja,condition_en,startup_basis,chain_cancel_total,fastest_unreachable,last_changed_game_version,first_hit_startup
ryu,standing_light_punch,normal,立ち弱P,4,3,7,13,4,-1,300,false,false,false,,,,p_l,,,standalone,9,false,,
ryu,standing_light_kick,normal,立ち弱K,5,3,11,18,2,-4,300,false,false,false,,,,k_l,,,standalone,,false,,
ryu,standing_medium_punch,normal,立ち中P,6,4,13,22,7,-1,600,false,false,false,,,,p_m,,,standalone,,false,,
ryu,standing_medium_kick,normal,立ち中K,9,3,18,29,4,-4,700,false,false,false,,,,k_m,,,standalone,,false,,
ryu,standing_heavy_punch,normal,立ち強P,10,5,18,32,4,-2,800,false,false,false,,,,p_h,,,standalone,,false,,
ryu,standing_heavy_kick,normal,立ち強K,12,4,20,35,9,1,900,false,false,false,,,,k_h,,,standalone,,false,,
ryu,crouching_light_punch,normal,しゃがみ弱P,4,2,9,14,4,-1,300,false,false,false,,,,d plus p_l,,,standalone,10,false,,
ryu,crouching_light_kick,normal,しゃがみ弱K,5,2,10,16,3,-1,200,false,false,false,,,,d plus k_l,,,standalone,12,false,,
ryu,crouching_medium_punch,normal,しゃがみ中P,6,4,15,24,5,0,600,false,false,false,,,,d plus p_m,,,standalone,,false,,
ryu,crouching_medium_kick,normal,しゃがみ中K,8,3,19,29,1,-6,500,false,false,false,,,,d plus k_m,,,standalone,,false,,
ryu,crouching_heavy_punch,normal,しゃがみ強P,9,6,21,35,1,-7,800,false,false,false,,,,d plus p_h,,,standalone,,false,,
ryu,crouching_heavy_kick,normal,しゃがみ強K,9,3,23,34,,-12,900,false,false,false,,,,d plus k_h,,,standalone,,false,,
ryu,jumping_light_punch,normal,ジャンプ弱P,4,10,33,46,,,300,true,false,false,,,,p_l,,,standalone,,true,,
ryu,jumping_light_kick,normal,ジャンプ弱K,6,10,31,46,,,300,true,false,false,,,,k_l,,,standalone,,true,,
ryu,jumping_medium_punch,normal,ジャンプ中P,8,5,34,46,,,700,true,false,false,,,,p_m,,,standalone,,true,,
ryu,jumping_medium_kick,normal,ジャンプ中K,7,6,34,46,,,500,true,false,false,,,,k_m,,,standalone,,true,,
ryu,jumping_heavy_punch,normal,ジャンプ強P,9,6,32,46,,,800,true,false,false,,,,p_h,,,standalone,,true,,
ryu,jumping_heavy_kick,normal,ジャンプ強K,10,8,29,46,,,800,true,false,false,,,,k_h,,,standalone,,true,,
ryu,drive_impact,drive_impact,ドライブインパクト,26,2,35,62,,-3,800,false,false,false,,,,p_h k_h,,,standalone,,false,,
ryu,throw_forward,throw,前投げ,5,3,23,30,,,1200,false,false,false,,,,n or r plus p_l k_l,,,standalone,,false,,
ryu,throw_back,throw,後ろ投げ,5,3,23,30,,,1200,false,false,false,,,,l plus p_l k_l,,,standalone,,false,,
ryu,drive_parry,system,ドライブパリィ,1,12,33,45,,,0,false,false,false,,,,p_m k_m,,,standalone,,false,,
ryu,collarbone_breaker,unique,鎖骨割り,20,4,19,42,3,-3,600,false,false,false,,,,r plus p_m,,,standalone,,false,,
ryu,solar_plexus_strike,unique,鳩尾砕き,20,5,16,40,6,3,800,false,false,false,,,,r plus p_h,,,standalone,,false,,
