character_code,move_code,category,name_ja,startup,active,recovery,total,on_hit,on_block,damage,is_aerial,is_projectile,is_derived,notes,notes_tool,original_move_code,command,condition_ja,condition_en,startup_basis,chain_cancel_total,fastest_unreachable,last_changed_game_version,first_hit_startup
sagat,standing_light_punch,normal,立ち弱P,5,3,11,18,4,-3,300,false,false,false,,,,p_l,,,standalone,13,false,,
sagat,standing_light_kick,normal,立ち弱K,7,2,17,25,0,-4,400,false,false,false,,,,k_l,,,standalone,,false,,
sagat,standing_medium_punch,normal,立ち中P,6,4,15,24,6,2,600,false,false,false,,,,p_m,,,standalone,,false,,
sagat,standing_medium_kick,normal,立ち中K,11,4,19,33,3,-3,700,false,false,false,,,,k_m,,,standalone,,false,,
sagat,standing_heavy_punch,normal,立ち強P,15,4,25,43,0,-5,800,false,false,false,,,,p_h,,,standalone,,false,,
sagat,standing_heavy_kick,normal,立ち強K,10,6,25,40,1,-5,900,false,false,false,,,,k_h,,,standalone,,false,,
sagat,crouching_light_punch,normal,しゃがみ弱P,4,2,10,15,5,-1,300,false,false,false,,,,d plus p_l,,,standalone,11,false,,
sagat,crouching_light_kick,normal,しゃがみ弱K,5,3,12,19,1,-3,200,false,false,false,,,,d plus k_l,,,standalone,14,false,,
sagat,crouching_medium_punch,normal,しゃがみ中P,7,3,19,28,4,-1,600,false,false,false,,,,d plus p_m,,,standalone,,false,,
sagat,crouching_medium_kick,normal,しゃがみ中K,9,3,18,29,5,-2,600,false,false,false,,,,d plus k_m,,,standalone,,false,,
sagat,crouching_heavy_punch,normal,しゃがみ強P,11,4,21,35,1,-5,800,false,false,false,,,,d plus p_h,,,standalone,,false,,
sagat,crouching_heavy_kick,normal,しゃがみ強K,11,3,26,39,,-12,900,false,false,false,,,,d plus k_h,,,standalone,,false,,
sagat,jumping_light_punch,normal,ジャンプ弱P,4,7,36,46,,,300,true,false,false,,,,p_l,,,standalone,,true,,
sagat,jumping_light_kick,normal,ジャンプ弱K,5,10,32,46,,,300,true,false,false,,,,k_l,,,standalone,,true,,
sagat,jumping_medium_punch,normal,ジャンプ中P,8,5,34,46,,,700,true,false,false,,,,p_m,,,standalone,,true,,
sagat,jumping_medium_kick,normal,ジャンプ中K,8,8,31,46,,,700,true,false,false,,,,k_m,,,standalone,,true,,
sagat,jumping_heavy_punch,normal,ジャンプ強P,10,6,31,46,,,800,true,false,false,,,,p_h,,,standalone,,true,,
sagat,jumping_heavy_kick,normal,ジャンプ強K,10,6,31,46,,,800,true,false,false,,,,k_h,,,standalone,,true,,
sagat,drive_impact,drive_impact,ドライブインパクト,26,2,35,62,,-3,800,false,false,false,,,,p_h k_h,,,standalone,,false,,
sagat,throw_forward,throw,前投げ,5,3,23,30,,,1200,false,false,false,,,,n or r plus p_l k_l,,,standalone,,false,,
sagat,throw_back,throw,後ろ投げ,5,3,23,30,,,1200,false,false,false,,,,l plus p_l k_l,,,standalone,,false,,
sagat,drive_parry,system,ドライブパリィ,1,12,33,45,,,0,false,false,false,,,,p_m k_m,,,standalone,,false,,
sagat,tiger_heavy_elbow,unique,タイガーヘビーエルボー,22,3,19,43,3,-3,700,false,false,false,,,,r plus p_m,,,standalone,,false,,
sagat,tiger_monolith,unique,タイガーモノリス,8,8,25,40,,-10,800,false,false,false,,,,l plus p_h,,,standalone,,false,,
sagat,low_step_kick,unique,ステップローキック,18,3,21,41,3,-3,700,false,false,false,,,,r plus k_l,,,standalone,,false,,
sagat,high_step_kick,unique,ステップハイキック,16,4,21,40,7,4,900,false,false,false,,,,r plus k_h,,,standalone,,false,,
sagat,middle_step_kick,target_combo,ステップミドルキック,16,3,23,41,,-8,1500,false,false,true,,空振りで出ない,,k_m chain k_h,,,standalone,,false,,11
sagat,tiger_sting,target_combo,タイガースティング,16,3,27,45,,-12,2000,false,false,true,,空振りで出ない,,p_h chain k_h,,,standalone,,false,,15
sagat,tiger_slash,target_combo,タイガースラッシュ,20,3,27,49,-2,-14,700,false,false,true,,空振りで出ない、コンボにならないので単発ダメージ値,,d plus p_m chain p_h,,,standalone,,false,,7
sagat,tiger_rise,target_combo,タイガーライズ,18,4,26,47,,-10,1535,false,false,true,,空振りで出ない,,d plus p_m chain k_h,,,standalone,,false,,7
sagat,low_tiger_shot,special,グランドタイガーショット,14,37,0,50,-3,-7,600,false,true,false,,,,d dr r plus p_l,,,standalone,,false,,
sagat,low_tiger_shot_od,special,ODグランドタイガーショット,12,33,0,44,,-1,800,false,true,false,,,,d dr r plus p p,,,standalone,,false,,
sagat,high_tiger_shot_medium,special,中タイガーショット,16,27,0,42,3,3,700,false,true,false,,,,d dr r plus p_m,,,standalone,,false,,
sagat,high_tiger_shot_heavy,special,強タイガーショット,12,31,0,42,-1,-1,700,false,true,false,,,,d dr r plus p_h,,,standalone,,false,,
sagat,high_tiger_shot_od,special,ODタイガーショット,21,28,0,48,,6,1000,false,true,false,,,,d dr r plus p_m p_h,,,standalone,,false,,
sagat,tiger_uppercut_light,special,弱タイガーアッパーカット,5,10,47,61,,-37,1100,false,false,false,,,,r d dr plus p_l,,,standalone,,false,,
sagat,tiger_uppercut_medium,special,中タイガーアッパーカット,10,10,55,74,,-45,1400,false,false,false,,,,r d dr plus p_m,,,standalone,,false,,
sagat,tiger_uppercut_heavy,special,強タイガーアッパーカット,18,10,55,82,,-45,1600,false,false,false,,,,r d dr plus p_h,,,standalone,,false,,
sagat,tiger_uppercut_holding_heavy,special,【ホールド】強タイガーアッパーカット,35,10,55,99,,-45,2800,false,false,false,,,,r d dr plus p_h hold,,,standalone,,false,,
sagat,tiger_uppercut_od,special,ODタイガーアッパーカット,8,12,53,72,,-43,1600,false,false,false,,,,r d dr plus p p,,,standalone,,false,,
sagat,tiger_knee_crush_light,special,弱タイガーニークラッシュ,14,11,18,42,,-8,800,false,false,false,,,,d dr r plus k_l,,,standalone,,false,,
sagat,tiger_knee_crush_medium,special,中タイガーニークラッシュ,18,11,18,46,,-7,1000,false,false,false,,,,d dr r plus k_m,,,standalone,,false,,
sagat,tiger_knee_crush_heavy,special,強タイガーニークラッシュ,22,19,18,58,,-5,1400,false,false,false,,,,d dr r plus k_h,,,standalone,,false,,
sagat,tiger_knee_crush_od,special,ODタイガーニークラッシュ,19,18,18,54,,-2,1600,false,false,false,,,,d dr r plus k k,,,standalone,,false,,
sagat,tiger_nexus_light,special,弱タイガーネクサス,17,3,23,42,2,-5,500,false,false,false,,,,d dl l plus k_l,,,standalone,,false,,
sagat,tiger_nexus_medium,special,中タイガーネクサス,20,3,23,45,2,-5,500,false,false,false,,,,d dl l plus k_m,,,standalone,,false,,
sagat,tiger_nexus_heavy,special,強タイガーネクサス,28,8,20,55,4,-3,500,false,false,false,,,,d dl l plus k_h,,,standalone,,false,,
sagat,tiger_nexus_od,special,ODタイガーネクサス,23,8,20,50,4,-3,500,false,false,false,,,,d dl l plus k k,,,standalone,,false,,
sagat,mighty_tiger_od,special,ODタイガーマイト,15,3,22,39,3,-3,800,false,false,true,,ODタイガーネクサスから派生。ただし空振りでは出せない。,,r plus k_l,,,standalone,,false,,
sagat,mighty_tiger,special,タイガーマイト,15,3,22,39,3,-5,800,false,false,true,,弱中強タイガーネクサスから派生。空振りでは出せない。,,r plus k_l,,,standalone,,false,,
sagat,greedy_tiger_od,special,ODタイガーグリード,17,3,17,36,,4,1000,false,false,true,,ODタイガーネクサスから派生。ただし空振りでは出せない。,,r plus k_m,,,standalone,,false,,
sagat,greedy_tiger,special,タイガーグリード,17,3,17,36,,4,1000,false,false,true,,弱中強タイガーネクサスから派生。空振りでは出せない。,,r plus k_m,,,standalone,,false,,
sagat,nova_tiger_od,special,ODタイガーノヴァ,21,3,19,42,,2,800,false,false,true,,ODタイガーネクサスから派生。ただし空振りでは出せない。,,r plus k_h,,,standalone,,false,,
sagat,nova_tiger,special,タイガーノヴァ,21,3,19,42,,2,800,false,false,true,,弱中強タイガーネクサスから派生。空振りでは出せない。,,r plus k_h,,,standalone,,false,,
sagat,sa1_tiger_cannon,super_art,SA1 タイガーキャノン,13,16,81,109,,-31,2200,false,true,false,,,,d dr r d dr r plus p,,,standalone,,false,,
sagat,sa2_savage_tiger_raid,super_art,SA2 サベージタイガーレイド,10,5,73,87,,-58,3000,false,false,false,,,,d dl l d dl l plus k,,,standalone,,false,,
sagat,sa2_savage_tiger_zenith,super_art,SA2 サベージタイガーゼニス,10,5,73,87,,-58,1700,false,false,false,,,,d dl l d dl l plus k chain r,,,standalone,,false,,
sagat,sa2_savage_tiger_pendulum,super_art,SA2 サベージタイガーペンデュラム,10,5,73,87,,-58,2700,false,false,false,,,,d dl l d dl l plus k chain l,,,standalone,,false,,
sagat,sa2_savage_tiger_stomp,super_art,SA2 サベージタイガースタンプ,10,5,73,87,,-58,2700,false,false,false,,,,d dl l d dl l plus k chain d,,,standalone,,false,,
sagat,sa3_tiger_vanquisher,super_art,SA3 タイガーヴァンキッシュ,12,4,67,82,,-51,4000,false,false,false,,,,d dr r d dr r plus k,,,standalone,,false,,
sagat,ca_tiger_vanquisher,critical_art,CA タイガーヴァンキッシュ,12,4,67,82,,-51,4500,false,false,false,,,,d dr r d dr r plus k,,,standalone,,false,,
sagat,rush_standing_light_punch,rush_variant,立ち弱P(ラッシュ),16,3,11,29,8,1,300,false,false,true,,,standing_light_punch,,,,through,,false,,
sagat,rush_standing_light_kick,rush_variant,立ち弱K(ラッシュ),18,2,17,36,4,0,400,false,false,true,,,standing_light_kick,,,,through,,false,,
sagat,rush_standing_medium_punch,rush_variant,立ち中P(ラッシュ),17,4,15,35,10,6,600,false,false,true,,,standing_medium_punch,,,,through,,false,,
sagat,rush_standing_medium_kick,rush_variant,立ち中K(ラッシュ),22,4,19,44,7,1,700,false,false,true,,,standing_medium_kick,,,,through,,false,,
sagat,rush_standing_heavy_punch,rush_variant,立ち強P(ラッシュ),26,4,25,54,4,-1,800,false,false,true,,,standing_heavy_punch,,,,through,,false,,
sagat,rush_standing_heavy_kick,rush_variant,立ち強K(ラッシュ),21,6,25,51,5,-1,900,false,false,true,,,standing_heavy_kick,,,,through,,false,,
sagat,rush_crouching_light_punch,rush_variant,しゃがみ弱P(ラッシュ),15,2,10,26,9,3,300,false,false,true,,,crouching_light_punch,,,,through,,false,,
sagat,rush_crouching_light_kick,rush_variant,しゃがみ弱K(ラッシュ),16,3,12,30,5,1,200,false,false,true,,,crouching_light_kick,,,,through,,false,,
sagat,rush_crouching_medium_punch,rush_variant,しゃがみ中P(ラッシュ),18,3,19,39,8,3,600,false,false,true,,,crouching_medium_punch,,,,through,,false,,
sagat,rush_crouching_medium_kick,rush_variant,しゃがみ中K(ラッシュ),20,3,18,40,9,2,600,false,false,true,,,crouching_medium_kick,,,,through,,false,,
sagat,rush_crouching_heavy_punch,rush_variant,しゃがみ強P(ラッシュ),22,4,21,46,5,-1,800,false,false,true,,,crouching_heavy_punch,,,,through,,false,,
