character_code,move_code,category,name_ja,startup,active,recovery,total,on_hit,on_block,damage,is_aerial,is_projectile,is_derived,notes,notes_tool,original_move_code,command,condition_ja,condition_en,startup_basis,chain_cancel_total,fastest_unreachable,last_changed_game_version,first_hit_startup
terry,standing_light_punch,normal,立ち弱P,4,3,7,13,4,-1,300,false,false,false,,,,p_l,,,standalone,9,false,,
terry,standing_light_kick,normal,立ち弱K,5,2,12,18,2,-2,300,false,false,false,,,,k_l,,,standalone,,false,,
terry,standing_medium_punch,normal,立ち中P,7,3,16,25,2,-3,700,false,false,false,,,,p_m,,,standalone,,false,,
terry,standing_medium_kick,normal,立ち中K,9,3,18,29,5,-2,700,false,false,false,,,,k_m,,,standalone,,false,,
terry,standing_heavy_punch,normal,立ち強P,9,4,18,30,2,1,800,false,false,false,,,,p_h,,,standalone,,false,,
terry,standing_heavy_kick,normal,立ち強K,12,4,21,36,1,-4,900,false,false,false,,,,k_h,,,standalone,,false,,
terry,crouching_light_punch,normal,しゃがみ弱P,4,3,8,14,4,-1,300,false,false,false,,,,d plus p_l,,,standalone,10,false,,
terry,crouching_light_kick,normal,しゃがみ弱K,5,2,11,17,3,-2,200,false,false,false,,,,d plus k_l,,,standalone,13,false,,
terry,crouching_medium_punch,normal,しゃがみ中P,6,4,15,24,5,-1,600,false,false,false,,,,d plus p_m,,,standalone,,false,,
terry,crouching_medium_kick,normal,しゃがみ中K,8,3,19,29,-2,-6,500,false,false,false,,,,d plus k_m,,,standalone,,false,,
terry,crouching_heavy_punch,normal,しゃがみ強P,8,6,22,35,1,-4,800,false,false,false,,,,d plus p_h,,,standalone,,false,,
terry,crouching_heavy_kick,normal,しゃがみ強K,10,3,24,36,,-11,900,false,false,false,,,,d plus k_h,,,standalone,,false,,
terry,jumping_light_punch,normal,ジャンプ弱P,4,7,36,46,,,300,true,false,false,,,,p_l,,,standalone,,true,,
terry,jumping_light_kick,normal,ジャンプ弱K,5,7,35,46,,,300,true,false,false,,,,k_l,,,standalone,,true,,
terry,jumping_medium_punch,normal,ジャンプ中P,7,4,36,46,,,700,true,false,false,,,,p_m,,,standalone,,true,,
terry,jumping_medium_kick,normal,ジャンプ中K,7,6,34,46,,,500,true,false,false,,,,k_m,,,standalone,,true,,
terry,jumping_heavy_punch,normal,ジャンプ強P,9,6,32,46,,,800,true,false,false,,,,p_h,,,standalone,,true,,
terry,jumping_heavy_kick,normal,ジャンプ強K,10,7,30,46,,,800,true,false,false,,,,k_h,,,standalone,,true,,
terry,throw_forward,throw,前投げ,5,3,23,30,,,1200,false,false,false,,,,n or r plus p_l k_l,,,standalone,,false,,
terry,throw_back,throw,後ろ投げ,5,3,23,30,,,1200,false,false,false,,,,l plus p_l k_l,,,standalone,,false,,
terry,drive_parry,system,ドライブパリィ,1,12,33,45,,,0,false,false,false,,,,p_m k_m,,,standalone,,false,,
terry,hammer_punch,unique,ハンマーパンチ,22,3,19,43,2,-3,800,false,false,false,,,,r plus p_h,,,standalone,,false,,
terry,power_wave_light,special,弱パワーウェイブ,14,36,0,49,-3,-9,600,false,true,false,,,,d dr r plus p_l,,,standalone,,false,,
terry,power_wave_medium,special,中パワーウェイブ,16,14,19,48,0,-6,700,false,true,false,,,,d dr r plus p_m,,,standalone,,false,,
terry,power_wave_od,special,ODパワーウェイブ,15,29,0,43,2,-2,800,false,true,false,,,,d dr r plus p p,,,standalone,,false,,
terry,round_wave,special,ラウンドウェイブ,29,9,14,51,8,5,900,false,false,false,,,,d dr r plus p_h,,,standalone,,false,,
terry,power_charge_light,special,弱パワーチャージ,14,5,24,42,3,-9,700,false,false,false,,,,d dr r plus k_l,,,standalone,,false,,
