character_code,move_code,category,name_ja,startup,active,recovery,total,on_hit,on_block,damage,is_aerial,is_projectile,is_derived,notes,notes_tool,original_move_code,command,condition_ja,condition_en,startup_basis,chain_cancel_total,fastest_unreachable,last_changed_game_version,first_hit_startup
yasmine,standing_light_punch,normal,立ち弱P,5,3,8,15,4,-1,300,false,false,false,,,,p_l,,,standalone,10,false,,
yasmine,standing_light_kick,normal,立ち弱K,5,2,12,18,2,-4,300,false,false,false,,,,k_l,,,standalone,,false,,
yasmine,standing_medium_punch,normal,立ち中P,6,12,18,35,2,-3,600,false,false,false,,,,p_m,,,standalone,,false,,
yasmine,standing_medium_kick,normal,立ち中K,10,3,19,31,3,-4,700,false,false,false,,,,k_m,,,standalone,,false,,
yasmine,standing_heavy_punch,normal,立ち強P,9,20,15,43,2,-3,800,false,false,false,,,,p_h,,,standalone,,false,,
yasmine,standing_heavy_kick,normal,立ち強K,14,3,20,36,1,-4,800,false,false,false,,,,k_h,,,standalone,,false,,
yasmine,crouching_light_punch,normal,しゃがみ弱P,4,3,8,14,4,-1,300,false,false,false,,,,d plus p_l,,,standalone,10,false,,
yasmine,crouching_light_kick,normal,しゃがみ弱K,5,3,10,17,2,-2,200,false,false,false,,,,d plus k_l,,,standalone,13,false,,
yasmine,crouching_medium_punch,normal,しゃがみ中P,6,3,18,26,4,0,600,false,false,false,,,,d plus p_m,,,standalone,,false,,
yasmine,crouching_medium_kick,normal,しゃがみ中K,8,3,19,29,-1,-6,500,false,false,false,,,,d plus k_m,,,standalone,,false,,
yasmine,crouching_heavy_punch,normal,しゃがみ強P,8,6,23,36,2,-11,800,false,false,false,,,,d plus p_h,,,standalone,,false,,
yasmine,crouching_heavy_kick,normal,しゃがみ強K,10,3,25,37,,-10,900,false,false,false,,,,d plus k_h,,,standalone,,false,,
yasmine,jumping_light_punch,normal,ジャンプ弱P,4,5,38,46,,,300,true,false,false,,,,p_l,,,standalone,,true,,
yasmine,jumping_light_kick,normal,ジャンプ弱K,4,6,37,46,,,300,true,false,false,,,,k_l,,,standalone,,true,,
yasmine,jumping_medium_punch,normal,ジャンプ中P,7,4,36,46,,,700,true,false,false,,,,p_m,,,standalone,,true,,
yasmine,jumping_medium_kick,normal,ジャンプ中K,7,6,34,46,,,500,true,false,false,,,,k_m,,,standalone,,true,,
yasmine,jumping_heavy_punch,normal,ジャンプ強P,9,6,32,46,,,800,true,false,false,,,,p_h,,,standalone,,true,,
yasmine,jumping_heavy_kick,normal,ジャンプ強K,10,7,30,46,,,800,true,false,false,,,,k_h,,,standalone,,true,,
yasmine,drive_impact,drive_impact,ドライブインパクト,26,2,35,62,,-3,800,false,false,false,,,,p_h k_h,,,standalone,,false,,
yasmine,throw_forward,throw,前投げ,5,3,23,30,,,1200,false,false,false,,,,n or r plus p_l k_l,,,standalone,,false,,
yasmine,throw_back,throw,後ろ投げ,5,3,23,30,,,1200,false,false,false,,,,l plus p_l k_l,,,standalone,,false,,
yasmine,drive_parry,system,ドライブパリィ,1,12,33,45,,,0,false,false,false,,,,p_m k_m,,,standalone,,false,,
yasmine,hiwang_pababa,unique,ヒワン・パババ,22,3,18,42,3,-3,600,false,false,false,,,,r plus p_m,,,standalone,,false,,
yasmine,walis_na_pabagsak,unique,ワリス・ナ・パバグサ,22,2,25,48,,-6,800,false,false,false,,,,l plus k_h,,,standalone,,false,,
yasmine,kidlat_na_hiwa,target_combo,キドラット・ナ・ヒワ,8,2,14,23,1,-3,620,false,false,true,,,,p_l chain p_l,,,standalone,,false,,5
yasmine,tatlong_hiwa,target_combo,タッロング・ヒワ,12,2,27,40,,-13,1000,false,false,true,,,,p_m chain p_m,,,standalone,,false,,6
yasmine,sunod_sunod_na_sipa_2hits,target_combo,スノスノッド・ナ・シパ(2発止め),13,2,33,47,-13,-13,1100,false,false,true,,,,k_m chain k_m,,,standalone,,false,,10
yasmine,sunod_sunod_na_sipa,target_combo,スノスノッド・ナ・シパ,16,3,23,41,,-9,1500,false,false,true,,,,k_m chain k_m chain k_h,,,standalone,,false,,10
yasmine,kumbinasyong_pampabagsak,target_combo,コンビナション・パムパバッグサ,8,2,25,34,,-10,900,false,false,true,,,,d plus k_m chain k_h,,,standalone,,false,,8
yasmine,daloy_ng_tubig_light,special,弱ダロイ・ン・トゥビグ,12,3,22,36,1,-6,400,false,false,false,,,,d dr r plus p_l,,,standalone,,false,,
yasmine,daloy_ng_tubig_medium,special,中ダロイ・ン・トゥビグ,16,3,22,40,1,-6,400,false,false,false,,,,d dr r plus p_m,,,standalone,,false,,
yasmine,daloy_ng_tubig_heavy,special,強ダロイ・ン・トゥビグ,21,3,22,45,3,-6,400,false,false,false,,,,d dr r plus p_h,,,standalone,,false,,
yasmine,daloy_ng_tubig_od,special,ODダロイ・ン・トゥビグ,12,3,22,36,-2,-3,400,false,false,false,,,,d dr r plus p p,,,standalone,,false,,
yasmine,alon_light,special,弱アロン,13,21,24,57,1,-12,1100,false,false,true,,弱ダロイ・ン・トゥビグ派生。空振りではでない,,d dr r plus p_l chain r plus p,,,standalone,,false,,
yasmine,alon_medium,special,中アロン,13,21,24,57,,-12,1000,false,false,true,,中ダロイ・ン・トゥビグ派生。空振りではでない,,d dr r plus p_m chain r plus p,,,standalone,,false,,
yasmine,alon_heavy,special,強アロン,13,21,24,57,,-12,1000,false,false,true,,強ダロイ・ン・トゥビグ派生。空振りではでない,,d dr r plus p_h chain r plus p,,,standalone,,false,,
yasmine,alon_od,special,ODアロン,13,21,24,57,,-12,1800,false,false,true,,ODダロイ・ン・トゥビグ派生。空振りではでない,,d dr r plus p p chain r plus p,,,standalone,,false,,
yasmine,bayani_light_alon,special,【バヤニ】弱アロン,13,41,20,73,,-1,1300,false,false,true,,バヤニモードで弱ダロイ・ン・トゥビグから弱アロンの替わりに派生。空振りではでない。バヤニモードを可読性のためにバヤニと表記。,,d dr r plus p_l chain r plus p,,,standalone,,false,,
yasmine,bayani_medium_alon,special,【バヤニ】中アロン,13,47,22,81,,-2,1100,false,false,true,,バヤニモードで中ダロイ・ン・トゥビグ派生から中アロンの替わりに。空振りではでない。バヤニモードを可読性のためにバヤニと表記。,,d dr r plus p_m chain r plus p,,,standalone,,false,,
yasmine,bayani_heavy_alon,special,【バヤニ】強アロン,13,47,23,82,,-3,1100,false,false,true,,バヤニモードで強ダロイ・ン・トゥビグ派生から中アロンの替わりに。空振りではでない。バヤニモードを可読性のためにバヤニと表記。,,d dr r plus p_h chain r plus p,,,standalone,,false,,
yasmine,bayani_od_alon,special,【バヤニ】ODアロン,13,41,20,73,,-1,2200,false,false,true,,バヤニモードでODダロイ・ン・トゥビグ派生からODアロンの替わりに。空振りではでない。バヤニモードを可読性のためにバヤニと表記。,,d dr r plus p p chain r plus p,,,standalone,,false,,
yasmine,talim_ng_hangin_light,special,弱タリム・ン・ハンギン,1,35,0,35,,,0,false,false,false,,,,d dl l plus p_l,,,standalone,,false,,
yasmine,talim_ng_hangin_medium,special,中タリム・ン・ハンギン,21,2,24,46,2,-3,1100,false,false,false,,,,d dl l plus p_m,,,standalone,,false,,
yasmine,talim_ng_hangin_heavy,special,強タリム・ン・ハンギン,30,2,17,48,,1,1200,false,false,false,,,,d dl l plus p_h,,,standalone,,false,,
yasmine,talim_ng_hangin_od,special,ODタリム・ン・ハンギン,20,2,28,49,,-12,800,false,false,false,,,,d dl l plus p p,,,standalone,,false,,
yasmine,mukha_ng_langit_light,special,弱ムカ・ン・ランギット,1,59,0,59,,,0,false,false,false,,,,d dr r plus k_l,,,standalone,,false,,
yasmine,mukha_ng_langit_medium,special,中ムカ・ン・ランギット,1,59,0,59,,,0,false,false,false,,,,d dr r plus k_m,,,standalone,,false,,
yasmine,mukha_ng_langit_heavy,special,強ムカ・ン・ランギット,1,59,0,59,,,0,false,false,false,,,,d dr r plus k_h,,,standalone,,false,,
yasmine,mukha_ng_langit_od,special,ODムカ・ン・ランギット,1,59,0,59,,,0,false,false,false,,弱中強ODの概念がある技だが、フレームは変化しないので1行のみ。派生版は組み合わせによりフレームが変わる事がある。,,d dr r plus k k,,,standalone,,false,,
yasmine,ulan_light,special,弱ウラン,40,4,16,59,5,-3,800,false,false,true,,弱中強ムカ・ン・ランギットから派生。こちらは派生元との組み合わせに関わらずフレームは一定。将来的にはKulogと同じ不定系にする必要があるかも。,,p,,,through,,false,,
yasmine,ulan_medium,special,中ウラン,40,4,16,59,5,-3,800,false,false,true,,弱中強ムカ・ン・ランギットから派生。こちらは派生元との組み合わせに関わらずフレームは一定。将来的にはKulogと同じ不定系にする必要があるかも。,,p,,,through,,false,,
yasmine,ulan_heavy,special,強ウラン,40,4,16,59,5,-3,800,false,false,true,,弱中強ムカ・ン・ランギットから派生。こちらは派生元との組み合わせに関わらずフレームは一定。将来的にはKulogと同じ不定系にする必要があるかも。,,p,,,through,,false,,
yasmine,ulan_od,special,ODウラン,40,4,16,59,7,0,800,false,false,true,,弱中強ODムカ・ン・ランギットから派生。こちらは派生元との組み合わせに関わらずフレームは一定。将来的にはKulogと同じ不定系にする必要があるかも。,,p p alt_sep p,,,through,,false,,
