character_code,move_code,category,name_ja,startup,active,recovery,total,on_hit,on_block,damage,is_aerial,is_projectile,is_derived,notes,notes_tool,original_move_code,command,condition_ja,condition_en,startup_basis,chain_cancel_total,fastest_unreachable,last_changed_game_version,first_hit_startup
zangief,standing_light_punch,normal,立ち弱P,7,3,9,18,4,2,400,false,false,false,,,,p_l,,,standalone,15,false,,
zangief,standing_light_kick,normal,立ち弱K,7,2,17,25,-2,-4,400,false,false,false,,,,k_l,,,standalone,,false,,
zangief,standing_medium_punch,normal,立ち中P,9,4,17,29,2,-2,700,false,false,false,,,,p_m,,,standalone,,false,,
zangief,standing_medium_kick,normal,立ち中K,10,4,19,32,1,-4,900,false,false,false,,,,k_m,,,standalone,,false,,
zangief,standing_heavy_punch,normal,立ち強P,16,3,24,42,3,-3,1000,false,false,false,,,,p_h,,,standalone,,false,,
zangief,standing_heavy_punch_holding,normal,立ち強P(ホールド),32,3,24,58,,3,1400,false,false,false,,,,p_h hold,,,standalone,,false,,
zangief,standing_heavy_kick,normal,立ち強K,13,4,21,37,3,1,1000,false,false,false,,,,k_h,,,standalone,,false,,
zangief,crouching_light_punch,normal,しゃがみ弱P,6,2,8,15,6,1,300,false,false,false,,,,d plus p_l,,,standalone,13,false,,
zangief,crouching_light_kick,normal,しゃがみ弱K,4,3,12,18,0,-3,250,false,false,false,,,,d plus k_l,,,standalone,12,false,,
zangief,crouching_medium_punch,normal,しゃがみ中P,8,3,16,26,3,-1,700,false,false,false,,,,d plus p_m,,,standalone,,false,,
zangief,crouching_medium_kick,normal,しゃがみ中K,9,3,18,29,3,-2,700,false,false,false,,,,d plus k_m,,,standalone,,false,,
zangief,crouching_heavy_punch,normal,しゃがみ強P,11,9,35,54,,-20,1000,false,false,false,,,,d plus p_h,,,standalone,,false,,
zangief,crouching_heavy_kick,normal,しゃがみ強K,12,3,27,41,,-13,1000,false,false,false,,,,d plus k_h,,,standalone,,false,,
zangief,jumping_light_punch,normal,ジャンプ弱P,5,7,36,47,,,300,true,false,false,,,,p_l,,,standalone,,true,,
zangief,jumping_light_kick,normal,ジャンプ弱K,5,10,33,47,,,300,true,false,false,,,,k_l,,,standalone,,true,,
zangief,jumping_medium_punch,normal,ジャンプ中P,8,5,35,47,,,700,true,false,false,,,,p_m,,,standalone,,true,,
zangief,jumping_medium_kick,normal,ジャンプ中K,8,8,32,47,,,500,true,false,false,,,,k_m,,,standalone,,true,,
zangief,jumping_heavy_punch,normal,ジャンプ強P,9,6,33,47,,,800,true,false,false,,,,p_h,,,standalone,,true,,
zangief,jumping_heavy_kick,normal,ジャンプ強K,10,7,31,47,,,800,true,false,false,,,,k_h,,,standalone,,true,,
zangief,jumping_heavy_kick_holding,normal,ジャンプ強K(ホールド),32,6,27,64,,,1500,true,false,false,,,,k_h hold,,,standalone,,true,,
zangief,drive_impact,drive_impact,ドライブインパクト,26,2,35,62,,-3,800,false,false,false,,,,p_h k_h,,,standalone,,false,,
zangief,throw_forward,throw,前投げ,5,3,23,30,,,1200,false,false,false,,,,n plus p_l k_l,,,standalone,,false,,
zangief,throw_back,throw,後ろ投げ,5,3,23,30,,,1400,false,false,false,,,,l plus p_l k_l,,,standalone,,false,,
zangief,german_suplex,throw,ジャーマンスープレックス,5,3,23,30,,,1500,false,false,false,,,,r plus p_l k_l,,,standalone,,false,,
zangief,spinebuster,throw,スパインバスター,5,3,23,30,,,1200,false,false,false,,,,dr plus p_l k_l,,,standalone,,false,,
zangief,russian_drop,throw,ロシアンドロップ,5,3,23,30,,,1500,false,false,false,,,,dl plus p_l k_l,,,standalone,,false,,
zangief,brain_buster,throw,ブレーンバスター,5,3,23,30,,,1500,false,false,false,,,,d plus p_l k_l,,,standalone,,false,,
zangief,drive_parry,system,ドライブパリィ,1,12,33,45,,,0,false,false,false,,,,p_m k_m,,,standalone,,false,,
